-----
{
 "description": "The table refers to district wise culturable command area and potential created through surface flow scheme. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.11.csv", 
 "title": "Download CSV for Districtwise Culturable command area and potential created through Surface Flow Scheme for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.11.csv"
}
-----
State,District,Culturable Command Area,Irrigation Potential Created - Kharif,Irrigation Potential Created - Kharif,Irrigation Potential Created - Kharif,Irrigation Potential Created - Kharif,Total - Irrigation potential created
ANDHRA PRADESH,ADILABAD,21442,21387,438,0,0,21825
ANDHRA PRADESH,ANANTHAPUR,63738,56304,22771,436,14,79525
ANDHRA PRADESH,CHITTOOR,97410,47346,70567,575,8,118496
ANDHRA PRADESH,CUDDAPAH,37899,32292,17418,539,1,50250
ANDHRA PRADESH,EAST GODAVARI,42424,41554,1280,840,13,43687
ANDHRA PRADESH,GUNTUR,6250,6144,378,207,0,6729
ANDHRA PRADESH,HYDERABAD,274,132,80,84,0,296
ANDHRA PRADESH,KARIMNAGAR,86090,84204,28883,4,0,113091
ANDHRA PRADESH,KHAMMAM,68465,69301,5437,10,0,74748
ANDHRA PRADESH,KRISHNA,34966,37255,4575,36,90,41956
ANDHRA PRADESH,KURNOOL,20367,19581,5035,0,0,24616
ANDHRA PRADESH,MAHABOOB NAGAR,82140,77140,25186,240,19,102585
ANDHRA PRADESH,MEDAK,62650,60946,18684,515,68,80213
ANDHRA PRADESH,NALGONDA,67060,63718,31593,177,24,95512
ANDHRA PRADESH,NELLORE,116477,19494,113020,490,0,133004
ANDHRA PRADESH,NIZAMABAD,61271,60418,14003,63,236,74720
ANDHRA PRADESH,PRAKASAM,40747,23378,22550,0,0,45928
ANDHRA PRADESH,RANGA REDDY,24704,21239,11490,605,3,33337
ANDHRA PRADESH,SRIKAKULUM,136279,136123,1174,224,0,137521
ANDHRA PRADESH,VIJAYA NAGARAM,109512,107009,7101,2520,172,116802
ANDHRA PRADESH,VISAKHAPATNAM,97629,89999,5418,7801,61,103279
