-----
{
 "description": "The table provides the Index Numbers of Agricultural Production with base year as the Triennium ending 2007-08. It gives details regarding Foodgrains and Non-Foodgrains for the years 2007-08 to 2011-12.\r", 
 "file_name": "tab19.xls", 
 "title": "Download XLS for Index Numbers of Agricultural Production(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab19.xls"
}
-----
"1.9  INDEX NUMBERS OF AGRICULTURAL PRODUCTION","","","","","","","","",""
"","","","                    (Base : Triennium ending 2007-08= 100)","","","","","",""
"","","Weight","2007-08","2008-09 ","2009-10","2010-11","2011-12","",""
"",1.0,2.0,3.0,4.0,5.0,6.0,7.0,"",""
"A.","Foodgrains",62.92,105.43260827,106.48988607,100.61540661,114.298067166,118.81167559,"",""
"(a)","Cereals",54.98,105.484213105,107.4296979,100.247841084,111.094219777,118.057132767,"",""
"","Rice",29.74,102.922599077,105.572598225,94.8330551629,102.163577733,111.043204055,"",""
"","Wheat",14.45,105.354277495,108.182490254,108.349029238,116.488726661,125.914686986,"",""
"","Coarse Cereals",10.79,112.13251084,110.028293144,92.335461566,118.937316011,114.721302257,""," "
"(b)","Pulses",7.94,105.191290486,102.095078699,102.33423971,129.280100457,122.340116347,"",""
"","Gram",3.07,97.5319813145,119.784868399,126.837723813,139.480794245,128.684988293,"",""
"B.","Non-foodgrains",37.08,108.624652103,107.602403903,104.969597839,127.90473317,129.54252075,"",""
"(a)","Oilseeds Totala",12.64,108.639433235,100.755221492,88.9358386686,116.844258984,107.264336062,"",""
"","Groundnut",5.6,124.992626808,97.5725181834,73.8930002314,112.500524064,94.3703248288,"",""
"","Rapeseed and Mustard",2.41,81.7695046396,100.932129741,92.6256623027,114.640884752,94.9735919935,"",""
"(b)","Fibres","","","","","","","",""
"","Cotton",4.37,115.873186411,99.7220021219,107.5363837,147.728341011,157.576897078,"",""
"","Jute",0.55,100.503495953,94.7437775964,110.438690517,98.4316101053,107.097955531,"",""
"","Mesta",0.14,105.496378355,77.854708138,62.5266297401,65.061780997,72.268747337,"",""
"(c)","Plantation Crops","","","","","","","",""
"","Tea",1.46,101.544163064,100.96767552,100.96767552,100.96767552,100.96767552,"",""
"","Coffee",0.44,95.3883495146,95.4975728155,105.436893204,109.951456311,109.951456311,"",""
"","Rubber",0.39,99.80248307,104.542889391,100.540148339,100.540148339,100.540148339,"",""
"(d)","Others","","","","","","","",""
"","Sugarcane",8.11,106.06006177,86.8215844498,89.036769375,104.291415335,108.947473061,"",""
"","Tobacco",1.12,92.9718918229,120.999212716,147.358342022,176.907036619,176.907036619,"",""
"","Potato",2.09,114.559062194,138.381372641,147.177327414,170.36227316,187.378784018,"",""
"C.","ALL COMMODITIES",100.0,107.006654545,107.03788511,102.762897903,121.010611657,124.105251198,"",""
"Source : Directorate of Economics & Statistics, Department of Agriculture & Cooperation.","","","","","","","","",""
"a include groundnut, rapeseed & mustard, sesamum, linseed, nigerseed, castorseed, safflower, sunflower and soyabean.","","","","","","","","",""
