-----
{
 "description": "The table shows the percentage of AWC that have been beneficial to the community. It provides the community leader\u2019s perception about benefit of AWC in the village. About 70 per cent of community leaders felt that the ICDS programme was very beneficial to the community and 26.5 per cent of them ...", 
 "file_name": "ICDS_Table6.46.xls", 
 "title": "Download XLS for Percentage of AWC beneficial to the community", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table6.46.xls"
}
-----
"States/UTs ","Very beneficial","To some extent","Not at all beneficial"
"Andhra Pradesh",88.8,9.0,2.1
"Assam",39.0,58.5,2.4
"Bihar",38.6,52.9,8.5
"Chhattisgarh",87.0,11.7,1.3
"Gujarat",93.3,5.0,1.7
"Haryana",67.9,23.2,8.9
"Himachal Pradesh",90.0,10.0,0.0
"Jammu and Kashmir",72.9,24.3,2.9
"Jharkhand",54.6,43.6,1.8
"Karnataka",84.7,14.3,1.0
"Kerala",91.7,8.3,0.0
"Madhya Pradesh",79.9,17.8,2.4
"Maharashtra",74.1,25.9,0.0
"Orissa",40.5,51.8,7.7
"Punjab",69.6,26.1,4.4
"Rajasthan",76.2,18.5,5.4
"Tamil Nadu",88.5,10.0,1.5
"Uttar Pradesh",70.7,26.8,2.5
"Uttrakhand",92.0,6.0,2.0
"West Bengal",66.7,32.2,1.1
"Delhi",100.0,0.0,0.0
"Chandigarh",100.0,0.0,0.0
"Arunachal Pradesh",4.0,92.0,4.0
"Manipur",30.0,40.0,30.0
"Meghalaya",56.3,43.8,0.0
"Mizoram",30.0,60.0,10.0
"Nagaland",75.0,25.0,0.0
"Tripura",65.2,26.1,8.7
"Sikkim",50.0,45.0,5.0
"Dadar & Nagar Haveli",100.0,0.0,0.0
"Daman & Diu",80.0,20.0,0.0
"Goa",0.0,100.0,0.0
"Puducherry",100.0,0.0,0.0
"Andaman & Nicobar Island",73.3,26.7,0.0
"All India",70.4,26.5,3.0
