-----
{
 "description": "The table refers to block wise distribution of Deep Tubewells by status . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.5.csv", 
 "title": "Download CSV for Block wise Distribution of Deep Tubewells by Status for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.5.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of Deep Tubewells according to average length of water conveyance channel . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.12.csv", 
 "title": "Download CSV for Block wise Distribution of Deep Tubewells according to average length of water conveyance channel for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.12.csv"
}
-----
"State","District","Block","Total","Average length of channels - Pucca","Average length of channels - Kuccha","Average length of channels - Underground"
"ANDHRA PRADESH","ADILABAD","SARANGAPUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","SIRPUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","SIRPUR (T)",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","TALAMADUGU",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","TAMSI",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","TANDUR",1,0,0,200
"ANDHRA PRADESH","ADILABAD","TANUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","TIRYANI",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","UTNUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","VEMANPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","WANKDI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","AGALI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","AMADAGUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","AMARAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","ANANTAPUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","ATMAKUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BATHALAPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BELUGUPPA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BOMMANAHAL",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BRAHMASAMUDRAM",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BUKKAPATNAM",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BUKKARAYASAMUDRAM",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","CHENNEKOTHAPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","CHILAMATHUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","D.HIREHAL",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","DHARMAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GANDLAPENTA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GARLADINNE",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GOOTY",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GORANTLA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GUDIBANDA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GUMMAGATA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GUNTAKAL",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","HINDUPUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KADIRI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KALYANDRUG",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KAMBADUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KANAGANAPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KANEKAL",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KOTHACHERUVU",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KUDAIR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KUNDURPI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","LEPAKSHI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","MADAKASIRA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","MUDIGUBBA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","NALLACHERUVU",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","NALLAMADA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","NAMBULAPULIKUNTA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","NARPALA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","OBULADEVARACHERUVU",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PAMIDI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PARIGI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PEDDAPAPPUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PEDDAVADUGUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PENUKONDA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PUTLUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PUTTAPARTHI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","RAMAGIRI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","RAPTADU",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","RAYADURG",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","RODDAM",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","ROLLA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","SETTUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","SINGANAMALA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","SOMANDEPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","TADIMARRI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","TADPATRI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","TALUPULA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","TANAKAL",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","URAVAKONDA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","VAJRAKARUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","VIDAPANAKAL",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","YADIKI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","YELLANUR",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","B.KOTHAKOTA",126,0,160,66
"ANDHRA PRADESH","CHITTOOR","BAIREDDIPALLE",4,0,23,8
"ANDHRA PRADESH","CHITTOOR","BANGARUPALEM",174,3,15,0
"ANDHRA PRADESH","CHITTOOR","BUCHINAIDU KHANDRIGA",8,0,18,0
"ANDHRA PRADESH","CHITTOOR","CHANDRAGIRI",34,19,3,20
"ANDHRA PRADESH","CHITTOOR","CHINNAGOTTIGALLU",21,21,45,70
"ANDHRA PRADESH","CHITTOOR","CHITTOOR",121,0,63,0
"ANDHRA PRADESH","CHITTOOR","CHOWDE[ALLE",86,1,70,39
"ANDHRA PRADESH","CHITTOOR","GANGADHARA NELLORE",434,1,97,7
"ANDHRA PRADESH","CHITTOOR","GANGAVARAM",43,0,84,78
"ANDHRA PRADESH","CHITTOOR","GUDIPALA",85,0,106,42
"ANDHRA PRADESH","CHITTOOR","GUDUPALLE",19,0,154,22
"ANDHRA PRADESH","CHITTOOR","GURRAMKONDA",157,2,94,31
"ANDHRA PRADESH","CHITTOOR","IRALA",206,0,50,28
"ANDHRA PRADESH","CHITTOOR","K.V.B. PURAM",5,0,82,202
"ANDHRA PRADESH","CHITTOOR","KALAKADA",47,0,39,39
"ANDHRA PRADESH","CHITTOOR","KALIKIRI",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","KAMACHANDRA PURAM",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","KAMBHAMVARIPALLE",18,22,141,40
"ANDHRA PRADESH","CHITTOOR","KARVETINAGAR",13,0,15,3
"ANDHRA PRADESH","CHITTOOR","KUPPAM",81,0,35,1
"ANDHRA PRADESH","CHITTOOR","KURABALAKOTA",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","MADANAPALLE",1,0,50,0
"ANDHRA PRADESH","CHITTOOR","MULAKALACHERUVU",67,0,103,59
"ANDHRA PRADESH","CHITTOOR","NAGALAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","NAGARI",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","NARAYANAVANAM",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","NIMMANAPALLE",15,0,132,164
"ANDHRA PRADESH","CHITTOOR","NINDRA",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","PAKALA",2,0,53,0
"ANDHRA PRADESH","CHITTOOR","PALAMANERU",60,0,47,68
"ANDHRA PRADESH","CHITTOOR","PALASAMUDRAM",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","PEDDAMANDYAM",60,0,60,23
"ANDHRA PRADESH","CHITTOOR","PEDDAPANJANI",8,10,3,47
"ANDHRA PRADESH","CHITTOOR","PEDDATHIPPASAMDRAM",245,0,47,31
"ANDHRA PRADESH","CHITTOOR","PENUMURU",187,0,52,17
"ANDHRA PRADESH","CHITTOOR","PICHATURU",62,0,169,1
"ANDHRA PRADESH","CHITTOOR","PILERU",28,0,171,29
"ANDHRA PRADESH","CHITTOOR","PULICHERLA",60,23,137,33
"ANDHRA PRADESH","CHITTOOR","PUNGANURU",118,1,128,51
"ANDHRA PRADESH","CHITTOOR","PUTHALAPATTU",125,0,85,74
"ANDHRA PRADESH","CHITTOOR","PUTTURU",24,0,91,67
"ANDHRA PRADESH","CHITTOOR","RAMAKUPPAM",131,10,38,35
"ANDHRA PRADESH","CHITTOOR","RAMASAMUDRAM",687,0,43,62
"ANDHRA PRADESH","CHITTOOR","RENIGUNTA",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","ROMPICHERLA",13,0,199,114
"ANDHRA PRADESH","CHITTOOR","SANTHIPURAM",290,0,45,31
"ANDHRA PRADESH","CHITTOOR","SATYAVEDU",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","SODAM",95,0,59,35
"ANDHRA PRADESH","CHITTOOR","SOMALA",208,0,98,80
"ANDHRA PRADESH","CHITTOOR","SRIKALAHASTI",5,0,32,27
"ANDHRA PRADESH","CHITTOOR","SRIRANGARAJAPURAM",37,0,125,16
"ANDHRA PRADESH","CHITTOOR","THAMBALLAPALLE",214,0,87,33
"ANDHRA PRADESH","CHITTOOR","THAVANAMPALLE",550,13,48,8
"ANDHRA PRADESH","CHITTOOR","THOTTAMBEDA",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","TIRUPATI (RURAL)",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","TIRUPATI (URBAN)",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","VADAMALAPETA",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","VARADAIAHPALEM",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","VAYALPAD",205,0,61,13
"ANDHRA PRADESH","CHITTOOR","VEDURUKUPPAM",39,0,116,24
"ANDHRA PRADESH","CHITTOOR","VENKATAGIRIKOTA",57,17,118,26
"ANDHRA PRADESH","CHITTOOR","VIJAYAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","YADAMARI",187,0,42,47
"ANDHRA PRADESH","CHITTOOR","YERPEDU",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","YERRAVARIPALEM",4,25,50,38
"ANDHRA PRADESH","CUDDAPAH","ATLUR",96,0,64,0
"ANDHRA PRADESH","CUDDAPAH","B.KODUR",64,0,112,0
"ANDHRA PRADESH","CUDDAPAH","BADVEL",79,0,125,0
"ANDHRA PRADESH","CUDDAPAH","BRAHMAMGARIMATHAM",124,0,393,0
"ANDHRA PRADESH","CUDDAPAH","CHAKARAYAPET",94,2,66,0
"ANDHRA PRADESH","CUDDAPAH","CHAPAD",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","CHENNAMANDEM",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","CHENNUR",5,0,22,0
"ANDHRA PRADESH","CUDDAPAH","CHINTHAKOMMADINNE",631,3,109,43
"ANDHRA PRADESH","CUDDAPAH","CHITVEL",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","CUDDAPAH",127,0,40,0
"ANDHRA PRADESH","CUDDAPAH","DUVVUR",541,16,23,18
"ANDHRA PRADESH","CUDDAPAH","GALIVEEDU",55,1,21,17
"ANDHRA PRADESH","CUDDAPAH","GOPAVARAM",45,6,68,6
"ANDHRA PRADESH","CUDDAPAH","JAMMALAMADUGU",27,7,69,10
"ANDHRA PRADESH","CUDDAPAH","KALASAPADU",295,1,109,10
"ANDHRA PRADESH","CUDDAPAH","KAMALAPURAM",83,19,150,52
"ANDHRA PRADESH","CUDDAPAH","KHAJIPET",283,17,47,37
"ANDHRA PRADESH","CUDDAPAH","KODUR",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","KONDAPURAM",51,0,122,0
"ANDHRA PRADESH","CUDDAPAH","LAKKIREDDIPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","LINGALA",215,0,28,2
"ANDHRA PRADESH","CUDDAPAH","MUDDANUR",368,34,91,2
"ANDHRA PRADESH","CUDDAPAH","MYLAVARAM",37,30,48,0
"ANDHRA PRADESH","CUDDAPAH","NANDALUR",113,0,65,1
"ANDHRA PRADESH","CUDDAPAH","OBULAVARIPALLE",441,0,23,2
"ANDHRA PRADESH","CUDDAPAH","PEDDAMUDIUM",169,25,69,44
"ANDHRA PRADESH","CUDDAPAH","PENAGALUR",355,2,74,0
"ANDHRA PRADESH","CUDDAPAH","PENDLIMARRI",287,5,20,48
"ANDHRA PRADESH","CUDDAPAH","PORUMAMILLA",178,0,146,4
"ANDHRA PRADESH","CUDDAPAH","PRODDUTUR",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","PULIVENDLA",409,1,25,15
"ANDHRA PRADESH","CUDDAPAH","PULLAMPETA",450,107,67,5
"ANDHRA PRADESH","CUDDAPAH","RAJAMPET",698,1,39,4
"ANDHRA PRADESH","CUDDAPAH","RAJUPALEM",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","RAMAPURAM",8,0,13,32
"ANDHRA PRADESH","CUDDAPAH","ROYACHOTI",52,6,42,25
"ANDHRA PRADESH","CUDDAPAH","S.MYDUKUR",211,0,91,0
"ANDHRA PRADESH","CUDDAPAH","SAMBEPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","SIDHOUT",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","SIMHADRIPURAM",406,0,24,0
"ANDHRA PRADESH","CUDDAPAH","T.SUNDUPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","THONDUR",163,4,20,1
"ANDHRA PRADESH","CUDDAPAH","VALLUR",23,0,19,2
"ANDHRA PRADESH","CUDDAPAH","VEERABALLE",9,0,122,2
"ANDHRA PRADESH","CUDDAPAH","VEERAPUNAYUNIPALLE",3,0,300,0
"ANDHRA PRADESH","CUDDAPAH","VEMPALLE",55,0,15,61
"ANDHRA PRADESH","CUDDAPAH","VEMULA",329,0,85,18
"ANDHRA PRADESH","CUDDAPAH","VONTIMITTA",314,0,45,27
"ANDHRA PRADESH","CUDDAPAH","YERRAGUNTLA",67,0,127,85
"ANDHRA PRADESH","EAST GODAVARI","ADDATEEGALA",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","AINAVILLI",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ALAMURU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ALLAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","AMALAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","AMBAJIPETA",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ANAPARTHY",67,0,26,0
"ANDHRA PRADESH","EAST GODAVARI","ATREYAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","BICCAVOLU",145,1,15,0
"ANDHRA PRADESH","EAST GODAVARI","DEVIPATNAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","GANDEPALLE",24,8,25,0
"ANDHRA PRADESH","EAST GODAVARI","GANGAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","GOKAVARAM",8,167,9,0
"ANDHRA PRADESH","EAST GODAVARI","GOLLAPROLU",146,0,3,0
"ANDHRA PRADESH","EAST GODAVARI","I. POLAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","JAGGAMPETA",1,0,20,0
"ANDHRA PRADESH","EAST GODAVARI","KADIAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAJULURU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAKINADA RURAL",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAKINADA URBAN",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAPILESWARAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KARAPA",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KATRENIKONA",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KIRLAMPUDI",1,5,40,0
"ANDHRA PRADESH","EAST GODAVARI","KORUKONDA",430,0,78,0
"ANDHRA PRADESH","EAST GODAVARI","KOTANANDURU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KOTHAPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KOTHAPETA",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MALIKIPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MAMIDIKUDURU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MANDAPETA",89,96,18,0
"ANDHRA PRADESH","EAST GODAVARI","MAREDUMILLI",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MUMMIDIVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","P.GANNAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PAMARRU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PEDAPUDI",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PEDDAPURAM",270,0,49,0
"ANDHRA PRADESH","EAST GODAVARI","PITHAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PRATHIPADU",33,0,100,0
"ANDHRA PRADESH","EAST GODAVARI","RAJAHMUNDRY RURAL",209,0,264,0
"ANDHRA PRADESH","EAST GODAVARI","RAJAHMUNDRY URBAN",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAJANAGARAM",558,0,116,0
"ANDHRA PRADESH","EAST GODAVARI","RAJAVOMMANGI",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAMACHANDRAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAMPACHODAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RANGAMPETA",195,0,9,0
"ANDHRA PRADESH","EAST GODAVARI","RAVULAPALEM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAYAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAZOLE",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","SAKHINETIPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","SAMALKOTA",8,2,19,28
"ANDHRA PRADESH","EAST GODAVARI","SANKHAVARAM",4,0,120,0
"ANDHRA PRADESH","EAST GODAVARI","SEETHANAGARAM",79,0,198,0
"ANDHRA PRADESH","EAST GODAVARI","THALLAREVU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","THONDANGI",50,0,379,0
"ANDHRA PRADESH","EAST GODAVARI","TUNI",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","UPPALAGUPTAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","Y. RAMAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","YELESWARAM",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","ACHAMPET",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","AMARAVATHI",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","AMRUTHALUR",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","BAPATLA",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","BELLAMKONDA",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","BHATTIPROLU",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","BOLLAPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","CHEBROLE",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","CHERUKUPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","CHILAKALURIPET",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","DACHEPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","DUGGIRALA",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","DURGI",451,44,37,60
"ANDHRA PRADESH","GUNTUR","EDLAPADU",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","GUNTUR",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","GURAZALA",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","IPUR",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","KAKUMANU",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","KAREMPUDI",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","KARLAPALEM",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","KOLLIPARA",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","KOLLUR",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","KROSURU",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","MACHAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","MACHERLA",216,6,103,1
"ANDHRA PRADESH","GUNTUR","MANGALAGIRI",NA,NA,NA,NA
