-----
{
 "description": "The table refers to district wise distribution of dugwells according to source of finance. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.7.csv", 
 "title": "Download CSV for District wise Distribution of Dugwells according to Finance source for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.7.csv"
}
-----
"State","District","Farmers saving","Loan and Saving","Subsidy and Bank loan","Subsidy Only","Others","Total"
"ANDHRA PRADESH","ADILABAD",13822,2002,2244,6109,1240,25417
"ANDHRA PRADESH","ANANTHAPUR",47257,4623,1758,1110,713,55461
"ANDHRA PRADESH","CHITTOOR",113169,4184,1717,2367,255,121692
"ANDHRA PRADESH","CUDDAPAH",37003,1579,1000,942,302,40826
"ANDHRA PRADESH","EAST GODAVARI",1257,479,80,240,14,2070
"ANDHRA PRADESH","GUNTUR",9281,1184,390,1212,78,12145
"ANDHRA PRADESH","HYDERABAD",90,0,0,0,0,90
"ANDHRA PRADESH","KARIMNAGAR",185057,8207,2137,2222,927,198550
"ANDHRA PRADESH","KHAMMAM",25256,2972,1922,4037,178,34365
"ANDHRA PRADESH","KRISHNA",11322,2492,325,930,486,15555
"ANDHRA PRADESH","KURNOOL",24323,4378,1624,3766,501,34592
"ANDHRA PRADESH","MAHABOOB NAGAR",76853,16017,4086,4327,262,101545
"ANDHRA PRADESH","MEDAK",56169,4252,1600,1922,1397,65340
"ANDHRA PRADESH","NALGONDA",97546,9936,2811,1989,385,112667
"ANDHRA PRADESH","NELLORE",23692,2349,1697,3996,146,31880
"ANDHRA PRADESH","NIZAMABAD",28017,1287,579,961,1730,32574
"ANDHRA PRADESH","PRAKASAM",23088,818,1277,3002,189,28374
"ANDHRA PRADESH","RANGA REDDY",28970,2365,1209,1344,647,34535
"ANDHRA PRADESH","SRIKAKULUM",24929,3298,2893,3270,686,35076
"ANDHRA PRADESH","VIJAYA NAGARAM",26268,2821,2814,2444,404,34751
"ANDHRA PRADESH","VISAKHAPATNAM",21395,1508,1127,468,1142,25640
"ANDHRA PRADESH","WARANGAL",141713,7548,1905,3313,1184,155663
"ANDHRA PRADESH","WEST GODAVARI",11103,3486,374,219,130,15312
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA,NA,NA
"ASSAM","BARPETA",NA,NA,NA,NA,NA,NA
"ASSAM","BONGAIGAON",NA,NA,NA,NA,NA,NA
"ASSAM","CACHAR",NA,NA,NA,NA,NA,NA
"ASSAM","DARRANG",NA,NA,NA,NA,NA,NA
"ASSAM","DHEMAJI",NA,NA,NA,NA,NA,NA
"ASSAM","DHUBRI",1,5,1,10,3,20
"ASSAM","DIBRUGARH",NA,NA,NA,NA,NA,NA
"ASSAM","GOALPARA",0,0,0,1,0,1
"ASSAM","GOLAGHAT",NA,NA,NA,NA,NA,NA
"ASSAM","HAILAKANDI",NA,NA,NA,NA,NA,NA
"ASSAM","JORHAT",NA,NA,NA,NA,NA,NA
"ASSAM","KAMRUP",NA,NA,NA,NA,NA,NA
"ASSAM","KARBI ANGLONG",NA,NA,NA,NA,NA,NA
"ASSAM","KARIMGANJ",NA,NA,NA,NA,NA,NA
"ASSAM","KOKRAJHAR",NA,NA,NA,NA,NA,NA
"ASSAM","LAKHIMPUR",0,2,1,0,1,4
"ASSAM","MARIGAON",0,1,0,0,1,2
"ASSAM","NAGAON",NA,NA,NA,NA,NA,NA
"ASSAM","NALBARI",NA,NA,NA,NA,NA,NA
"ASSAM","NORTH CACHAR HILLS",NA,NA,NA,NA,NA,NA
"ASSAM","SIBSAGAR",0,0,0,0,2,2
"ASSAM","SONITPUR",5,4,0,0,0,9
"ASSAM","TINSUKIA",NA,NA,NA,NA,NA,NA
"BIHAR","ARARIA",2,0,0,0,1,3
"BIHAR","AURANGABAD",4065,99,751,3674,303,8892
"BIHAR","BANKA",3319,196,340,2265,550,6670
"BIHAR","BEGUSARAI",13,0,3,20,1,37
"BIHAR","BHABUA",4594,162,223,1293,165,6437
"BIHAR","BHAGALPUR",2616,75,275,1058,27,4051
"BIHAR","BHOJPUR",3066,91,68,161,264,3650
"BIHAR","BOKARO",1327,8,605,5926,39,7905
"BIHAR","BUXAR",1683,101,44,53,223,2104
"BIHAR","CHAMPARAN EAST",14,0,1,15,0,30
"BIHAR","CHAMPARAN WEST",10,0,0,2,0,12
"BIHAR","CHATRA",7105,228,497,4268,84,12182
"BIHAR","DARBHANGA",0,1,9,1,0,11
"BIHAR","DEOGHAR",871,52,551,5247,290,7011
