-----
{
 "description": "This spread sheet describes the location of Manganese Ore deposits in India with locational attributes (locality, state, toposheets, latitude and longitude), geological attributes (host rock and its startigraphic position in terms of geological formation), metallogenesis and morphogenesis.", 
 "file_name": "Manganese_Ore_1.xls", 
 "title": "Download XLS for Location of Manganese Ore Deposits in India and its Salient Features", 
 "url": "http://data.gov.in/sites/default/files/Manganese_Ore_1.xls"
}
-----
"METALLOGENESIS","LOCALITY","STATE","TOPOSHEET","LATITUDE","LONGITUDE","LATDD","LONDD","COMMODITY","HOSTROCK","MORPHOGENESIS","FORMATION"
"BALAGHAT BELT","BALAGHAT","CHATTISGARH","64 C","21 49N","80 10E",21.8166666667,80.1666666667,"Manganese","PHYLLITE,QUARTZITE","BEDDED-CONCORDANT","LOHANGI Fm.."
"CHITRADURGA BELT","HARENABALLI","KARNATAKA","57 C","13 19N","76 43E",13.3166666667,76.7166666667,"Manganese","METAVOLCANICS-METASEDIMENTS","VOLCANOSEDIMENTARY-BEDDED","BABABUDAN (DHARWAR)"
"CHITRADURGA BELT","HULLIKATTE","KARNATAKA","57 B","14 30N","76 07E",14.5,76.1166666667,"Manganese","BFQ,PHYLLITE","VOLCANOSEDIMENTARY-BEDDED","BABABUDAN (DHARWAR)"
"CHITRADURGA BELT","KAREKUCHI","KARNATAKA","57 C","13 20 N","76 42 10 E",13.3333333333,76.7027777778,"Manganese","BHQ,METAPELITE,METAVOLCANICS","VOLCANOSEDIMENTARY-BEDDED","BABABUDAN (DHARWAR)"
"EASTERN GHAT BELT","DEVADA","ANDHRA PRADESH","65 N","18 16N","83 33E",18.2666666667,83.55,"Manganese","KHONDALITE","SEDIMENTARY-BEDDED","EASTERN GHAT Sgp."
"EASTERN GHAT BELT","GARBHAM","ANDHRA PRADESH","65 N","18 22-18 23N","83 27-83 30E",18.3666666667,83.4833333333,"Manganese","KHONDALITE","SEDIMENTARY-BEDDED","EASTERN GHAT Sgp."
"EASTERN GHAT BELT","NISHIKHAL","ORISSA","65 M","19 13N","83 13E",19.2166666667,83.2166666667,"Manganese","KHONDALITE","SEDIMENTARY-BEDDED","EASTERN GHAT Sgp."
"GOA Fe - Mn PROVINCE","CODGUI","GOA","48 I","15 30 30N","74 08E",15.5083333333,74.1333333333,"Manganese","LATERITE","SUPERGENE ENRICHMENT","DHARWAR Sgp."
"GOA Fe - Mn PROVINCE","COLAMBA","GOA","48 I","15 07-15 09N","74 07 00-42E",15.1333333333,74.1166666667,"Manganese","MANGANIFEROUS PHYLLITE","LATERITISED","DHARWAR Sgp."
"GOA Fe - Mn PROVINCE","SULKORNA","GOA","48 I","15 05-06N","74 10-11E",15.0,74.1666666667,"Manganese","MANGANIFEROUS PHYLLITE","BEDDED-SEDIMENTARY","DHARWAR Sgp."
"GODAVARI RIFT BELT","PIMPERGUDA-PIMPERKUNTA","ANDHRA PRADESH","56 I","19 44N","78 28E",19.7333333333,78.4666666667,"Manganese","LIMESTONE,SHALE,CHERT","BEDDED-SEDIMENTARY","PENGANGA Gp."
"GODAVARI RIFT BELT","PIMPERKUNTA","ANDHRA PRADESH","56 I","19 45N","78 28E",19.75,78.4666666667,"Manganese","LIMESTONE,SHALE,CHERT","BEDDED-SEDIMENTARY","PENGANGA Gp."
"JAMDA-KOIRA BELT","KOIRA","ORISSA","73 G","21 54N","85 15E",21.9,85.25,"Manganese","SHALE,TUFFACEOUS SHALE","VOLCANOSEDIMENTARY-BEDDED","BONAI Gp."
