-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells according to ownership . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.2.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells according to ownership for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.2.csv"
}
-----
"State","District","Government","Cooperative Societies","Panchayat","Group of farmers","Individual farmers","Others","Total"
"ANDHRA PRADESH","ADILABAD",0,0,0,26,70,0,96
"ANDHRA PRADESH","ANANTHAPUR",NA,NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR",0,0,0,326,5140,0,5466
"ANDHRA PRADESH","CUDDAPAH",13,8,1,1380,6558,0,7960
"ANDHRA PRADESH","EAST GODAVARI",229,9,1,24,2054,0,2317
"ANDHRA PRADESH","GUNTUR",1,0,0,1,665,0,667
"ANDHRA PRADESH","HYDERABAD",NA,NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","KARIMNAGAR",85,0,0,0,32,0,117
"ANDHRA PRADESH","KHAMMAM",218,3,0,0,316,0,537
"ANDHRA PRADESH","KRISHNA",0,1,0,68,779,0,848
"ANDHRA PRADESH","KURNOOL",0,0,0,8,1586,0,1594
"ANDHRA PRADESH","MAHABOOB NAGAR",0,0,0,2,107,0,109
"ANDHRA PRADESH","MEDAK",0,0,0,0,63,0,63
"ANDHRA PRADESH","NALGONDA",0,0,0,0,8,0,8
"ANDHRA PRADESH","NELLORE",1,2,0,20,190,0,213
"ANDHRA PRADESH","NIZAMABAD",NA,NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","PRAKASAM",0,0,0,7,171,0,178
"ANDHRA PRADESH","RANGA REDDY",0,0,0,10,76,0,86
"ANDHRA PRADESH","SRIKAKULUM",27,0,0,6,9,0,42
"ANDHRA PRADESH","VIJAYA NAGARAM",NA,NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM",3,0,0,4,11,0,18
"ANDHRA PRADESH","WARANGAL",29,14,2,4,164,0,213
"ANDHRA PRADESH","WEST GODAVARI",130,2,5,311,10236,0,10684
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA,NA,NA,NA
"ASSAM","BARPETA",11,0,0,0,0,0,11
"ASSAM","BONGAIGAON",28,0,0,0,0,0,28
"ASSAM","CACHAR",5,0,0,0,0,0,5
"ASSAM","DARRANG",34,0,0,0,0,0,34
"ASSAM","DHEMAJI",15,0,0,0,0,0,15
"ASSAM","DHUBRI",20,0,0,0,0,0,20
"ASSAM","DIBRUGARH",15,0,0,0,0,0,15
"ASSAM","GOALPARA",36,0,0,0,0,0,36
"ASSAM","GOLAGHAT",74,0,0,0,0,0,74
"ASSAM","HAILAKANDI",8,0,0,0,0,0,8
"ASSAM","JORHAT",63,0,0,0,0,0,63
"ASSAM","KAMRUP",49,0,0,0,0,0,49
"ASSAM","KARBI ANGLONG",8,0,0,0,0,0,8
"ASSAM","KARIMGANJ",5,0,0,0,0,0,5
"ASSAM","KOKRAJHAR",5,0,0,0,1,0,6
"ASSAM","LAKHIMPUR",55,0,0,0,0,0,55
"ASSAM","MARIGAON",8,0,0,0,0,0,8
"ASSAM","NAGAON",24,0,0,0,0,0,24
"ASSAM","NALBARI",69,0,0,0,0,0,69
"ASSAM","NORTH CACHAR HILLS",2,0,0,0,0,0,2
"ASSAM","SIBSAGAR",10,0,0,0,0,0,10
"ASSAM","SONITPUR",11,0,0,0,0,0,11
"ASSAM","TINSUKIA",36,0,0,0,0,0,36
"BIHAR","ARARIA",14,0,0,0,1,0,15
"BIHAR","AURANGABAD",47,1,0,1,35,0,84
"BIHAR","BANKA",3,0,0,0,0,0,3
"BIHAR","BEGUSARAI",247,0,0,0,6,0,253
"BIHAR","BHABUA",117,0,0,1,2,0,120
"BIHAR","BHAGALPUR",169,3,1,0,9,0,182
"BIHAR","BHOJPUR",160,2,0,0,32,0,194
"BIHAR","BOKARO",NA,NA,NA,NA,NA,NA,NA
"BIHAR","BUXAR",134,0,0,0,35,0,169
"BIHAR","CHAMPARAN EAST",241,0,3,1,37,0,282
"BIHAR","CHAMPARAN WEST",35,0,0,1,21,0,57
"BIHAR","CHATRA",NA,NA,NA,NA,NA,NA,NA
"BIHAR","DARBHANGA",182,0,0,0,13,0,195
"BIHAR","DEOGHAR",NA,NA,NA,NA,NA,NA,NA
"BIHAR","DHANBAD",NA,NA,NA,NA,NA,NA,NA
"BIHAR","DUMKA",0,1,0,0,0,0,1
"BIHAR","GARHWA",0,0,0,0,11,0,11
"BIHAR","GAYA",35,0,0,3,0,0,38
"BIHAR","GIRIDIH",1,0,0,0,0,0,1
