-----
{
 "description": "The table shows India's External Debt Outstanding (US $ Mn.) since 2002. It gives details regarding item-wise External debt which includes Outstanding Debt with respect to Multilateral Trade, Bilateral Trade, IMF, Export Credit, Rupee Debt, Commercial Borrowings and others.", 
 "file_name": "tab84.xls", 
 "title": "Download XLS for India&#039;s External Debt Outstanding (US $ Mn.)(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab84.xls"
}
-----
"","","8.4 (B):  India's External Debt Outstanding","","","","","","","","","","","",""
"","","","","","","","","","","","","","(US$ million)",""
"","","At end March","","","","","","","","","","","End-June  2012PR","End-Sept. 2012QE"
"","",2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,"2012PR","",""
"I.","MULTILATERAL",31899.0,29994.0,29297.0,31744.0,32620.0,35337.0,39490.0,39538.0,42857.0,48475.0,50453.0,49727.0,50702.0
"","A. Government  Borrowing",28290.0,27271.0,26826.0,29204.0,29996.0,32514.0,36171.0,35724.0,37825.0,42579.0,43686.0,42707.0,43147.0
"","    (i)   Concessional ",19713.0,21560.0,22674.0,24023.0,23731.0,24876.0,26859.0,25080.0,25711.0,26992.0,27221.0,26163.0,26574.0
"","          a)    IDA",19440.0,21258.0,22356.0,23693.0,23418.0,24548.0,26497.0,24757.0,25380.0,26637.0,26853.0,25809.0,26207.0
"","          b)   Others",273.0,302.0,318.0,330.0,313.0,328.0,362.0,323.0,331.0,355.0,368.0,354.0,367.0
"","    ii)  Non-concessional",8577.0,5711.0,4152.0,5181.0,6265.0,7638.0,9312.0,10644.0,12114.0,15587.0,16465.0,16544.0,16573.0
"","          a)    IBRD",5742.0,4009.0,3144.0,3771.0,4400.0,5015.0,5660.0,5878.0,6397.0,8774.0,8897.0,8909.0,8831.0
"","          b)   Others",2835.0,1702.0,1008.0,1410.0,1865.0,2623.0,3652.0,4766.0,5717.0,6813.0,7568.0,7635.0,7742.0
"","B.  Non-Government Borrowing   ",3609.0,2723.0,2471.0,2540.0,2624.0,2823.0,3319.0,3814.0,5032.0,5896.0,6767.0,7020.0,7555.0
"","    (i)   Concessional ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"","    (ii)   Non-concessional",3609.0,2723.0,2471.0,2540.0,2624.0,2823.0,3319.0,3814.0,5032.0,5896.0,6767.0,7020.0,7555.0
"","           a)   Public Sector",2609.0,1945.0,1770.0,1828.0,1908.0,2136.0,2589.0,2807.0,3305.0,3536.0,3808.0,3996.0,4037.0
