-----
{
 "description": "The table refers to block wise average length of water conveyance channel of surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.12.csv", 
 "title": "Download CSV for Blockwise Average length of water conveyance channel of surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.12.csv"
}
-----
-----
{
 "description": "The table refers to block wise average length of water conveyance channel of surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.12.csv", 
 "title": "Download CSV for Blockwise Average length of water conveyance channel of surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.12.csv"
}
-----
"State","District","Block","Total Number of Schemes","Average length - Pucca channel","Average length - Kutcha channel","Average length - Underground channel"
"ANDHRA PRADESH","ADILABAD","ADILABAD",71,0,8,46
"ANDHRA PRADESH","ADILABAD","ASIFABAD",25,0,48,29
"ANDHRA PRADESH","ADILABAD","BAZARHATHNOOR",17,0,138,417
"ANDHRA PRADESH","ADILABAD","BELA",31,0,47,6
"ANDHRA PRADESH","ADILABAD","BHAINSA",3,0,150,180
"ANDHRA PRADESH","ADILABAD","BOATH",81,1,42,3
"ANDHRA PRADESH","ADILABAD","CHENNUR",7,0,40,0
"ANDHRA PRADESH","ADILABAD","DANDEPALLE",265,4,25,1
"ANDHRA PRADESH","ADILABAD","DILAWARPUR",1,100,700,0
"ANDHRA PRADESH","ADILABAD","INDERAVELLY",3,0,267,0
"ANDHRA PRADESH","ADILABAD","JAINAD",129,0,17,43
"ANDHRA PRADESH","ADILABAD","JAINOOR",4,0,7,30
"ANDHRA PRADESH","ADILABAD","KADDAM (PEDDUR)",17,0,0,238
"ANDHRA PRADESH","ADILABAD","KAGAZNAGAR",4,0,16,55
"ANDHRA PRADESH","ADILABAD","KASIPET",175,7,5,10
"ANDHRA PRADESH","ADILABAD","KERAMERI",3,0,5,0
"ANDHRA PRADESH","ADILABAD","KHANPUR",70,1,4,16
"ANDHRA PRADESH","ADILABAD","KUNTALA",65,33,317,93
"ANDHRA PRADESH","ADILABAD","LAHESRA",1,0,280,0
"ANDHRA PRADESH","ADILABAD","LUXETTIPET",173,19,7,0
"ANDHRA PRADESH","ADILABAD","MANCHERIAL",25,4,39,0
"ANDHRA PRADESH","ADILABAD","MUDHOLE",2,2000,2270,500
"ANDHRA PRADESH","ADILABAD","NARNOOR",1,0,60,0
"ANDHRA PRADESH","ADILABAD","NERADIGONDA",116,0,0,165
"ANDHRA PRADESH","ADILABAD","NIRMAL",167,0,59,306
"ANDHRA PRADESH","ADILABAD","SARANGAPUR",61,0,20,0
"ANDHRA PRADESH","ADILABAD","TALAMADUGU",133,114,25,5
"ANDHRA PRADESH","ADILABAD","TAMSI",96,34,48,27
"ANDHRA PRADESH","ADILABAD","TIRYANI",54,0,1,119
"ANDHRA PRADESH","ANANTHAPUR","TANAKAL",1,16,0,0
"ANDHRA PRADESH","CHITTOOR","BUCHINAIDU KHANDRIGA",69,0,17,6
"ANDHRA PRADESH","CHITTOOR","RENIGUNTA",13,0,0,273
"ANDHRA PRADESH","CHITTOOR","THOTTAMBEDA",23,0,87,9
"ANDHRA PRADESH","CUDDAPAH","ATLUR",1,0,450,0
"ANDHRA PRADESH","CUDDAPAH","BADVEL",2,220,165,110
"ANDHRA PRADESH","CUDDAPAH","DUVVUR",4,16,0,0
"ANDHRA PRADESH","CUDDAPAH","KHAJIPET",33,87,186,158
"ANDHRA PRADESH","CUDDAPAH","PEDDAMUDIUM",25,0,177,0
"ANDHRA PRADESH","CUDDAPAH","RAMAPURAM",2,0,13,100
"ANDHRA PRADESH","CUDDAPAH","VALLUR",5,0,312,0
"ANDHRA PRADESH","CUDDAPAH","VONTIMITTA",1,520,0,0
"ANDHRA PRADESH","EAST GODAVARI","ADDATEEGALA",1,0,650,0
"ANDHRA PRADESH","EAST GODAVARI","ATREYAPURAM",13,0,34,0
"ANDHRA PRADESH","EAST GODAVARI","JAGGAMPETA",7,0,24,0
"ANDHRA PRADESH","EAST GODAVARI","KADIAM",1,300,3700,0
"ANDHRA PRADESH","EAST GODAVARI","KAJULURU",2,0,200,0
"ANDHRA PRADESH","EAST GODAVARI","KAPILESWARAPURAM",16,0,14,0
"ANDHRA PRADESH","EAST GODAVARI","KARAPA",11,200,221,0
"ANDHRA PRADESH","EAST GODAVARI","KIRLAMPUDI",1,0,1800,0
"ANDHRA PRADESH","EAST GODAVARI","PAMARRU",5,0,16,0
"ANDHRA PRADESH","EAST GODAVARI","PEDAPUDI",1,150,0,0
"ANDHRA PRADESH","EAST GODAVARI","PRATHIPADU",10,0,75,0
"ANDHRA PRADESH","EAST GODAVARI","RAJAHMUNDRY RURAL",3,2333,767,0
"ANDHRA PRADESH","EAST GODAVARI","RAJAVOMMANGI",2,0,800,100
"ANDHRA PRADESH","EAST GODAVARI","RANGAMPETA",1,30,0,0
"ANDHRA PRADESH","EAST GODAVARI","SAMALKOTA",1,0,600,0
"ANDHRA PRADESH","EAST GODAVARI","THALLAREVU",2,0,125,0
"ANDHRA PRADESH","EAST GODAVARI","Y. RAMAVARAM",1,0,500,0
"ANDHRA PRADESH","GUNTUR","ACHAMPET",40,0,107,0
"ANDHRA PRADESH","GUNTUR","AMARAVATHI",66,0,563,19
"ANDHRA PRADESH","GUNTUR","BAPATLA",51,0,463,0
"ANDHRA PRADESH","GUNTUR","BELLAMKONDA",12,0,226,0
"ANDHRA PRADESH","GUNTUR","BOLLAPALLE",1,9,135,0
"ANDHRA PRADESH","GUNTUR","CHEBROLE",5,0,900,0
"ANDHRA PRADESH","GUNTUR","CHERUKUPALLE",1,0,1150,0
"ANDHRA PRADESH","GUNTUR","CHILAKALURIPET",32,838,590,0
"ANDHRA PRADESH","GUNTUR","DACHEPALLE",87,0,127,0
"ANDHRA PRADESH","GUNTUR","EDLAPADU",32,0,236,0
"ANDHRA PRADESH","GUNTUR","GUNTUR",1,0,1000,0
"ANDHRA PRADESH","GUNTUR","GURAZALA",24,0,58,0
"ANDHRA PRADESH","GUNTUR","IPUR",1,0,1010,0
"ANDHRA PRADESH","GUNTUR","KAKUMANU",6,0,280,0
"ANDHRA PRADESH","GUNTUR","KARLAPALEM",26,400,77,0
"ANDHRA PRADESH","GUNTUR","KOLLUR",9,0,132,0
"ANDHRA PRADESH","GUNTUR","KROSURU",82,0,44,177
"ANDHRA PRADESH","GUNTUR","MACHERLA",4,79,140,90
"ANDHRA PRADESH","GUNTUR","MANGALAGIRI",6,0,2984,0
"ANDHRA PRADESH","GUNTUR","MUPPALLA",13,0,217,0
"ANDHRA PRADESH","GUNTUR","NADENDLA",28,8,666,33
"ANDHRA PRADESH","GUNTUR","NAGARAM",108,34,329,0
"ANDHRA PRADESH","GUNTUR","NARASARAOPET",2,0,163,0
"ANDHRA PRADESH","GUNTUR","NIZAMPATNAM",30,0,211,0
"ANDHRA PRADESH","GUNTUR","NUZENDLA",93,5,55,0
"ANDHRA PRADESH","GUNTUR","PEDAKAKANI",2,0,374,0
"ANDHRA PRADESH","GUNTUR","PEDAKURAPADU",3,800,225,200
"ANDHRA PRADESH","GUNTUR","PEDANANDIPADU",3,0,67,0
"ANDHRA PRADESH","GUNTUR","PHIRANGIPURAM",3,0,4300,600
"ANDHRA PRADESH","GUNTUR","PITTALAVANIPALEM",18,3,72,0
"ANDHRA PRADESH","GUNTUR","PONNUR",44,0,178,0
"ANDHRA PRADESH","GUNTUR","RAJUPALEM",47,0,0,257
"ANDHRA PRADESH","GUNTUR","REPALLE",54,0,64,0
"ANDHRA PRADESH","GUNTUR","SATTENAPALLE",91,0,269,122
"ANDHRA PRADESH","GUNTUR","SAV'PURAM KANUM'PUDI",20,14,183,0
"ANDHRA PRADESH","GUNTUR","TADEPALLE",70,75,1954,0
"ANDHRA PRADESH","GUNTUR","TADIKONDA",40,0,353,0
"ANDHRA PRADESH","GUNTUR","TENALI",1,0,250,0
"ANDHRA PRADESH","GUNTUR","THULLUR",6,0,2390,0
"ANDHRA PRADESH","GUNTUR","VATTICHERUKURU",3,0,863,0
"ANDHRA PRADESH","GUNTUR","VEMURU",7,0,36,0
"ANDHRA PRADESH","GUNTUR","VINUKONDA",133,2,21,0
"ANDHRA PRADESH","KARIMNAGAR","CHIGURUMAMIDI",3,0,0,147
"ANDHRA PRADESH","KARIMNAGAR","GAMBHIRAOPET",40,0,0,332
"ANDHRA PRADESH","KARIMNAGAR","KATARAM",1,500,200,0
"ANDHRA PRADESH","KARIMNAGAR","MALHARRAO MANDAL",1,825,625,120
"ANDHRA PRADESH","KARIMNAGAR","MANTHANI",8,117,924,10
"ANDHRA PRADESH","KARIMNAGAR","MANTHANI",8,0,141,115
"ANDHRA PRADESH","KARIMNAGAR","MUSTABAD",54,0,24,0
"ANDHRA PRADESH","KARIMNAGAR","ODELA",12,0,0,305
"ANDHRA PRADESH","KARIMNAGAR","RAIKAL",2,0,0,250
"ANDHRA PRADESH","KARIMNAGAR","SRIRAMPUR",141,14,8,0
"ANDHRA PRADESH","KARIMNAGAR","THIMMAPUR",5,0,1317,750
"ANDHRA PRADESH","KARIMNAGAR","VELGATOOR",44,0,44,27
"ANDHRA PRADESH","KHAMMAM","ASWAPURAM",82,0,285,0
"ANDHRA PRADESH","KHAMMAM","ASWARAOPETA",31,0,17,0
"ANDHRA PRADESH","KHAMMAM","BAYYARAM",147,0,42,0
"ANDHRA PRADESH","KHAMMAM","BHADRACHALAM",100,0,24,0
"ANDHRA PRADESH","KHAMMAM","BONAKAL",33,0,240,0
"ANDHRA PRADESH","KHAMMAM","BURGAMPADU",140,0,29,1
"ANDHRA PRADESH","KHAMMAM","CHANDRUGONDA",36,0,18,0
