-----
{
 "description": "The table refers to District wise Distribution of Deep Tubewells according to The Farmers holding size. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwlstate3.3.csv", 
 "title": "Download CSV for Districtwise Distribution of Deep Tubewells according to The Farmers holding size", 
 "url": "http://data.gov.in/sites/default/files/dptbwlstate3.3.csv"
}
-----
"State","District","Marginal (0-1 ha)","Small (1-2 ha)","Medium (2-10 ha)","Big ( > 10 ha)","Total"
"ANDHRA PRADESH","ADILABAD",0,1,11,9,21
"ANDHRA PRADESH","ANANTHAPUR",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR",112,276,203,16,607
"ANDHRA PRADESH","CUDDAPAH",359,1167,1314,31,2871
"ANDHRA PRADESH","EAST GODAVARI",3,3,26,34,66
"ANDHRA PRADESH","GUNTUR",0,19,5,0,24
"ANDHRA PRADESH","KARIMNAGAR",1,1,0,0,2
"ANDHRA PRADESH","KHAMMAM",0,0,0,0,0
"ANDHRA PRADESH","KRISHNA",3,2,11,1,17
"ANDHRA PRADESH","KURNOOL",16,34,33,2,85
"ANDHRA PRADESH","MEDAK",4,14,17,2,37
"ANDHRA PRADESH","NALGONDA",0,0,0,0,0
"ANDHRA PRADESH","NELLORE",0,2,5,1,8
"ANDHRA PRADESH","NIZAMABAD",0,0,0,0,0
"ANDHRA PRADESH","PRAKASAM",107,144,77,0,328
"ANDHRA PRADESH","RANGAREDDY",31,34,38,3,106
"ANDHRA PRADESH","SRIKAKULAM",1,12,29,2,44
"ANDHRA PRADESH","VISAKHAPATNAM",0,0,2,0,2
"ANDHRA PRADESH","WARANGAL",39,38,89,0,166
"ANDHRA PRADESH","WEST GODAVARI",6,57,364,7,434
"ARUNACHAL PRADESH","PAPUMPARE",0,0,0,0,0
"ASSAM","BARPETA",3,1,4,1,9
"ASSAM","BONGAIGAON",0,9,3,0,12
"ASSAM","CACHAR",0,0,0,0,0
"ASSAM","DARRANG",44,43,24,20,131
"ASSAM","DHEMAJI",0,0,0,0,0
"ASSAM","DHUBRI",0,3,8,0,11
"ASSAM","DIBRUGARH",5,0,0,0,5
"ASSAM","GOALPARA",0,0,0,3,3
"ASSAM","GOLAGHAT",0,0,0,1,1
"ASSAM","HAILAKANDI",0,0,0,0,0
"ASSAM","JORHAT",0,0,0,4,4
"ASSAM","KAMRUP",0,0,0,0,0
"ASSAM","KARBIANGLONG",0,0,0,0,0
"ASSAM","KARIMGANJ",3,0,0,5,8
"ASSAM","KOKRAJHAR",0,0,0,2,2
"ASSAM","LAKHIMPUR",0,0,1,0,1
"ASSAM","MORIGAON",4,1,1,0,6
