-----
{
 "description": "It provides details of (i) Part A -100% Women Specific Programmes; (ii) Part B -30% Women Specific Programmes. ", 
 "file_name": "stat20.xls", 
 "title": "Download XLS for Gender Budget(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/ub2013-14/eb/stat20.xls"
}
-----
"","","","","STATEMENT 20","","","","","",""
"","","","","Gender Budget","","","","","",""
"Gender Budget Statement was first introduced in Budget 2005-06. In order to make further refinement to the Statement, every year the Ministries/Departments are requested through the Annual Budget Circular to highlight the quantum of public expenditure earmarked in budget for women. On the basis of the information thus furnished by the Ministries/Departments, the Gender Budget Statement is prepared. This Statement indicates, in two parts, the budget provisions for schemes that are substantially meant for the benefit of women. Part A details schemes in which 100% provision is for women, Part B reflects schemes where the allocations for women constitute at least 30% of the provision. ","","","","","","","","","",""
"The rationale of Gender Budgeting arises from the recognition of the fact that the national budget impacts various sections of the society differently, through the pattern of resource allocation and priority accorded to competing sectors. Gender Budgeting in its simplest connotation is 'Gender Analysis' of the budget aimed at examining the budgetary allocation through a gender lens. The purpose of gender budgeting is to monitor expenditure and public service delivery from a gender perspective, as a means of mainstreaming women's concerns in all activities and improving their access to public resources. This statement has received an impetus over the last eight budgets with growing awareness of gender sensitivities. Gender Budgeting is an evolving area where, with better understanding and appreciation of the subject, more and more Ministries/Departments are reviewing programmes and schemes to address the quantum of resources that have the budgetary potential to impact and address the development needs of women.","","","","","","","","","",""
"In BE 2013-14, 30 Ministries/Departments and 5 Union territories Governments have made allocations for gender budget statement. The statement shows 18.6% increase for 100% women specific programmes, having gone up from ` 22,969 crore in BE 2012-13 to ` 27,248 crore in BE 2013-14. Overall, taking parts A and B together, there is an increase of 10.2% from ` 88,143 crore in BE 2012-13 to ` 97,134 crore in BE 2013-14. ","","","","","","","","","",""
"","","","","","","","","","",""
"","","","PART A - 100% Women specific programmes ","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","(In crores of Rupees)",""
"","","","","","","","","","",""
"","","","2012-2013 Budget","","","2012-2013 Revised","","","2013-2014 Budget",""
"MINISTRY/DEPARTMENT ","","Plan","Non-Plan","Total","Plan","Non-Plan","Total","Plan","Non-Plan","Total"
"","","","","","","","","","",""
"Demand No.2","","","","","","","","","",""
"","Department of Agricultural ","","","","","","","","",""
"","Research & Education","","","","","","","","",""
1.0,"Directorate of Women in Agriculture",1.5,3.67,5.17,1.5,3.5,5.0,4.9,3.78,8.68
2.0,"All India Co-ordinated Research Project ","","","","","","","","",""
"","on Home Science",11.5,"...",11.5,11.5,"...",11.5,15.61,"...",15.61
"","Total",13.0,3.67,16.67,13.0,3.5,16.5,20.51,3.78,24.29
"Demand No. 14","","","","","","","","","",""
"","Department of Telecommunications","","","","","","","","",""
1.0,"Amenities to staff","...",0.1,0.1,"...",0.15,0.15,"...",0.25,0.25
2.0,"Universal Service Obligation Scheme",2.2,"...",2.2,"...","...","...",1.5,"...",1.5
"","Total",2.2,0.1,2.3,"...",0.15,0.15,1.5,0.25,1.75
"Demand No. 32","","","","","","","","","",""
"","Ministry of External Affairs","","","","","","","","",""
1.0,"Establishing five Vocational Training ","","","","","","","","",""
"","Centres in Africa for Women Solar ","","","","","","","","",""
"","Engineers in collaboration with Barefoot ","","","","","","","","",""
"","College, Tilonia, Ajmer","...","...","...","...",0.15,0.15,"...",12.27,12.27
2.0,"Strengthening African civil society & NGOs ","","","","","","","","",""
"","through microfinance, micro-enterprise & ","","","","","","","","",""
"","livelihood promotion in collaboration with ","","","","","","","","",""
"","Self Employed Women's Association (SEWA)","...","...","...","...",0.9,0.9,"...",2.05,2.05
3.0,"Construction of Girls' hostel building for ","","","","","","","","",""
"","Pokhara University, Lekhnath, Kaski, Nepal","...","...","...","...",0.88,0.88,"...",0.88,0.88
4.0,"Construction of Maternity Centre for ","","","","","","","","",""
"","Tribhuvan University Teaching Hospital, ","","","","","","","","",""
"","Kathmandu, Nepal","...","...","...","...","...","...","...",0.28,0.28
5.0,"Girls Hostel building for Nepal APF ","","","","","","","","",""
"","School, Kathmandu, Nepal","...","...","...","...","...","...","...",2.43,2.43
6.0,"Construction of Anim Shedra ","","","","","","","","",""
"","(Nunnery) in Bhutan","...","...","...","...",1.93,1.93,"...","...","..."
7.0,"Construction of Labour Room and traditional ","","","","","","","","",""
"","medicine unit at Chumey BHU-II, Bhutan","...","...","...","...","...","...","...",0.03,0.03
"","Total","...","...","...","...",3.86,3.86,"...",17.94,17.94
"Demand No. 47","","","","","","","","","",""
"","Department of Health & Family Welfare","","","","","","","","",""
1.0,"Reproductive & Child Health (RCH) ","","","","","","","","",""
"","Flexible Pool ",4938.51,"...",4938.51,3857.0,"...",3857.0,5347.01,"...",5347.01
2.0,"Infrastructure Maintenance","","","","","","","","",""
"","(a)  Rural Family Welfare Services",4031.0,"...",4031.0,4295.46,"...",4295.46,4146.0,"...",4146.0
"","(b) Training Institutions under States/","","","","","","","","",""
"","       Basic Training for ANM/LHV",115.0,"...",115.0,108.52,"...",108.52,"...","...","..."
"","Total",9084.51,"...",9084.51,8260.98,"...",8260.98,9493.01,"...",9493.01
"Demand No.53","","","","","","","","","",""
"","Ministry of Home Affairs","","","","","","","","",""
1.0,"Engaging women employees on contract basis","...",0.1,0.1,"...",0.1,0.1,"...",0.1,0.1
"Demand No. 55- Police","","","","","","","","","",""
"","(i) ITBP","","","","","","","","",""
1.0,"Opening of Creche, Day Care Centre, ","","","","","","","","",""
"","Gender Sensitization , Health Care Centre, ","","","","","","","","",""
"","Nutritional Care Centre, Women's Rest ","","","","","","","","",""
"","rooms (furniture and fixtures)/Washing ","","","","","","","","",""
"","Drying/ women's Laundry","...",0.21,0.21,"...",0.12,0.12,"...",0.04,0.04
"","(ii) CRPF","","","","","","","","",""
1.0,"Women's hostel","...",40.0,40.0,"...",40.0,40.0,"...",100.0,100.0
2.0,"Other schemes like Day care centre, ","","","","","","","","",""
"","Gender Sensitization, Health/Nutritional ","","","","","","","","",""
"","Care Centre etc.","...",37.0,37.0,"...",37.0,37.0,"...",41.5,41.5
"","Total ","...",77.0,77.0,"...",77.0,77.0,"...",141.5,141.5
"","(iii) Sashastra Seema Bal","","","","","","","","",""
1.0,"Scheme like Day care centre, Gender ","","","","","","","","",""
"","Sensitization, Health and Nutritional Care","...",1.0,1.0,"...",0.15,0.15,"...",0.42,0.42
"","(iv) CISF","","","","","","","","",""
1.0,"Construction of Familly Welfare Centres ","","","","","","","","",""
"","at RTC Ananthpur and Arakkonam ","","","","","","","","",""
"","exclusively for the benefit of women",1.3,"...",1.3,0.48,"...",0.48,0.45,"...",0.45
"","(v) Bureau of Police Research & ","","","","","","","","",""
"","Development (BPR&D)","","","","","","","","",""
1.0,"5th Women National Conference for ","","","","","","","","",""
"","Women in Police","...",0.1,0.1,"...",0.1,0.1,"...",0.1,0.1
2.0,"Research study proposed by Crime and ","","","","","","","","",""
"","Criminology Division",0.25,0.1,0.35,0.09,0.1,0.19,"...",0.28,0.28
3.0,"Women Training Programmes viz. course ","","","","","","","","",""
"","on Self Development and Conflict ","","","","","","","","",""
"","Management for women police officers ","","","","","","","","",""
"","of the rank of Dy. SP to ASI","...",0.09,0.09,"...",0.08,0.08,0.01,0.26,0.27
4.0,"Organising courses on crime against women ","","","","","","","","",""
"","vis a vis Human Rights, Juvenile Justice & ","","","","","","","","",""
"","Investigation of female foeticide cases","...",0.1,0.1,0.02,0.07,0.09,0.06,0.14,0.2
5.0,"Organising the Workshop/Seminar on ","","","","","","","","",""
"","Trafficking in the States to sensitise ","","","","","","","","",""
"","Police Officers on these issues","...",0.2,0.2,0.06,0.62,0.68,0.12,0.44,0.56
6.0,"Organising the Virtual Interactive Courses ","","","","","","","","",""
"","for IPS & other senior police officers to ","","","","","","","","",""
"","sensitise them on issues relating to ","","","","","","","","",""
"","Gender Categories","...",0.2,0.2,"...",0.13,0.13,"...",0.15,0.15
7.0,"Research projects on women related issues ","","","","","","","","",""
"","by the women professionals proposed by ","","","","","","","","",""
"","the Correctional Administration Division","...",0.01,0.01,"...",0.01,0.01,"...",0.01,0.01
8.0,"Provision for the infrastructure in ","","","","","","","","",""
"","Women's Rest Room and creche and ","","","","","","","","",""
"","for women health care centres.","...",0.05,0.05,0.04,0.09,0.13,0.03,0.06,0.09
9.0,"Schemes like creation of Rest room ","","","","","","","","",""
"","for women trainee, creation of creche for ","","","","","","","","",""
"","women employees, hostel room etc.","...",0.6,0.6,0.16,0.47,0.63,0.32,0.65,0.97
"","Total",0.25,1.45,1.7,0.37,1.67,2.04,0.54,2.09,2.63
"","(vi) BSF","","","","","","","","",""
1.0,"Schemes like Women accommodation ","","","","","","","","",""
"","with toilets, cook house cum dining hall",0.4,"...",0.4,"...","...","...","...","...","..."
"","(vii) Intelligence Bureau","","","","","","","","",""
"","Creche Facilities, Yoga Centre & ","","","","","","","","",""
"","Health Mela","...","...","...","...",0.05,0.05,"...",0.05,0.05
"","Total Police",1.95,79.66,81.61,0.85,78.99,79.84,0.99,144.1,145.09
"Demand No.59","","","","","","","","","",""
"","Department of  School Education ","","","","","","","","",""
"","and Literacy","","","","","","","","",""
1.0,"Mahila Samakhya for women",60.0,"...",60.0,60.0,"...",60.0,60.0,"...",60.0
2.0,"National Scheme for Incentive to the ","","","","","","","","",""
"","Girl Child for Secondary Education",100.0,"...",100.0,100.0,"...",100.0,100.0,"...",100.0
3.0,"Scheme for construction and running of ","","","","","","","","",""
"","Girls Hostels for students of Secondary ","","","","","","","","",""
"","and Higher Secondary schools",450.0,"...",450.0,327.0,"...",327.0,450.0,"...",450.0
"","Total",610.0,"...",610.0,487.0,"...",487.0,610.0,"...",610.0
"Demand No.60","","","","","","","","","",""
"","Department of Higher Education","","","","","","","","",""
1.0,"Women's Hostel in Polytechnic",100.0,"...",100.0,70.0,"...",70.0,"...","...","..."
"Demand No. 66","","","","","","","","","",""
"","Ministry of Micro, Small & Medium ","","","","","","","","",""
"","Enterprises","","","","","","","","",""
1.0,"Trade Related Entrepreneurship ","","","","","","","","",""
"","Assistance Programme","...","...","...",2.3,"...",2.3,2.53,"...",2.53
2.0,"Mahila Coir Yojna",3.0,"...",3.0,2.91,"...",2.91,3.45,"...",3.45
"","Total",3.0,"...",3.0,5.21,"...",5.21,5.98,"...",5.98
"Demand No. 68","","","","","","","","","",""
"","Ministry of Minority Affairs","","","","","","","","",""
1.0,"Scheme for Leadership Development ","","","","","","","","",""
"","of Minority Women",15.0,"...",15.0,12.8,"...",12.8,15.0,"...",15.0
2.0,"Free Cycles for Girl Students of Class IX",5.0,"...",5.0,0.04,"...",0.04,"...","...","..."
3.0,"Scheme for containing population ","","","","","","","","",""
"","decline of small minorities","...","...","...",0.01,"...",0.01,2.0,"...",2.0
"","Total",20.0,"...",20.0,12.85,"...",12.85,17.0,"...",17.0
"Demand No.70","","","","","","","","","",""
"","Ministry of Overseas Indian Affairs","","","","","","","","",""
1.0," Legal assistance to Indian Women ","","","","","","","","",""
"","facing problems in NRI marriages ","...",0.75,0.75,"...",0.65,0.65,"...",0.75,0.75
"Demand No.83","","","","","","","","","",""
"","Department of Rural Development","","","","","","","","",""
1.0,"Rural Housing - Indira Awas Yojana",11075.0,"...",11075.0,9024.0,"...",9024.0,15184.0,"...",15184.0
"Demand No. 85","","","","","","","","","",""
"","Department of Science & Technology","","","","","","","","",""
1.0,"Women Component Plan",40.0,"...",40.0,"...","...","...","","...","..."
2.0,"Disha Programme for Women in Science",49.0,"...",49.0,47.24,"...",47.24,53.0,"...",53.0
"","Total",89.0,"...",89.0,47.24,"...",47.24,53.0,"...",53.0
"Demand No.87","","","","","","","","","",""
"","Department of Biotechnology","","","","","","","","",""
1.0,"Biotechnology Programmes for Women",3.5,"...",3.5,2.8,"...",2.8,3.5,"...",3.5
"Demand No.89","","","","","","","","","",""
"","Ministry of Social Justice & Empowerment","","","","","","","","",""
1.0,"Girls Hostel for SCs",95.0,"...",95.0,14.0,"...",14.0,50.0,"...",50.0
"Demand No.95","","","","","","","","","",""
"","Ministry of Tribal Affairs","","","","","","","","",""
1.0,"Strengthening of Education among ST girls ","","","","","","","","",""
"","in low literacy Districts",40.0,"...",40.0,40.0,"...",40.0,40.0,"...",40.0
"Demand No.96","","","","","","","","","",""
"","Andaman and Nicobar Islands",7.75,3.2,10.95,7.31,3.2,10.51,13.81,2.77,16.58
"Demand No.97","","","","","","","","","",""
"","Chandigarh",21.84,34.2,56.04,14.37,4.94,19.31,18.9,5.06,23.96
"Demand No.98","","","","","","","","","",""
"","Dadra and Nagar Haveli",3.0,0.05,3.05,3.0,0.05,3.05,3.25,0.05,3.3
"Demand No.99","","","","","","","","","",""
"","Daman and Diu",0.38,"...",0.38,0.38,"...",0.38,0.31,"...",0.31
"Demand No.100","","","","","","","","","",""
"","Lakshadweep",3.09,"...",3.09,3.09,"...",3.09,3.65,"...",3.65
"Demand No. 105","","","","","","","","","",""
"","Ministry of Women & Child Development","","","","","","","","",""
1.0,"Hostels for Working Women",10.0,"...",10.0,8.3,"...",8.3,20.0,"...",20.0
2.0,"Support to Training & Employment ","","","","","","","","",""
"","Programme (STEP)",20.0,"...",20.0,7.5,"...",7.5,20.0,"...",20.0
3.0,"Central Social Welfare Board",60.0,20.85,80.85,45.3,19.18,64.48,50.0,20.85,70.85
4.0,"Rashtriya Mahila Kosh",100.0,"...",100.0,"...","...","...",20.0,"...",20.0
5.0,"Swadhar",100.0,"...",100.0,55.0,"...",55.0,75.0,"...",75.0
6.0,"Relief to and Rehabilitation of Rape Victims ",20.0,"...",20.0,"...","...","...",85.0,"...",85.0
7.0,"National Commission for Women",11.0,4.13,15.13,12.27,3.3,15.57,15.0,4.13,19.13
8.0,"Gender Budgeting",1.0,"...",1.0,0.71,"...",0.71,1.0,"...",1.0
9.0,"Conditional Cash Transfer for girl child ","","","","","","","","",""
"","with Insurance cover (Dhanlakshmi)",5.0,"...",5.0,5.0,"...",5.0,10.0,"...",10.0
10.0,"Comprehensive scheme for combating ","","","","","","","","",""
"","trafficking (Ujjawala)",12.0,"...",12.0,7.4,"...",7.4,13.0,"...",13.0
11.0,"Priyadarshini Scheme",15.0,"...",15.0,14.0,"...",14.0,15.0,"...",15.0
12.0,"Rajiv Gandhi Scheme for Empowerment ","","","","","","","","",""
"","of Adolescent Girls (SABLA)",750.0,"...",750.0,504.0,"...",504.0,650.0,"...",650.0
13.0,"Indira Gandhi Matritva Sahyog ","","","","","","","","",""
"","Yojna (IGMSY) ",520.0,"...",520.0,84.0,"...",84.0,500.0,"...",500.0
14.0,"National Mission for Empowerment ","","","","","","","","",""
"","of Women",25.0,"...",25.0,11.0,"...",11.0,55.0,"...",55.0
"","Total",1649.0,24.98,1673.98,754.48,22.48,776.96,1529.0,24.98,1553.98
