-----
{
 "description": "The table refers to district wise distribution of dugwells according to social status. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.4.csv", 
 "title": "Download CSV for District wise Distribution of Dugwells according to social status for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.4.csv"
}
-----
"State","District","Scheduled caste","Scheduled tribe","Other social status of farmers","Total"
"ANDHRA PRADESH","ADILABAD",5423,5578,14414,25415
"ANDHRA PRADESH","ANANTHAPUR",3202,1481,50634,55317
"ANDHRA PRADESH","CHITTOOR",9664,2705,109323,121692
"ANDHRA PRADESH","CUDDAPAH",2616,649,37534,40799
"ANDHRA PRADESH","EAST GODAVARI",282,33,1747,2062
"ANDHRA PRADESH","GUNTUR",1431,426,10286,12143
"ANDHRA PRADESH","HYDERABAD",4,1,83,88
"ANDHRA PRADESH","KARIMNAGAR",21360,7496,169501,198357
"ANDHRA PRADESH","KHAMMAM",2384,7422,23422,33228
"ANDHRA PRADESH","KRISHNA",2036,623,12892,15551
"ANDHRA PRADESH","KURNOOL",5257,796,28368,34421
"ANDHRA PRADESH","MAHABOOB NAGAR",12138,8332,80808,101278
"ANDHRA PRADESH","MEDAK",8545,3352,53350,65247
"ANDHRA PRADESH","NALGONDA",10813,10973,90877,112663
"ANDHRA PRADESH","NELLORE",5703,1265,24726,31694
"ANDHRA PRADESH","NIZAMABAD",4325,2251,25921,32497
"ANDHRA PRADESH","PRAKASAM",4468,676,23230,28374
"ANDHRA PRADESH","RANGA REDDY",4527,1974,28024,34525
"ANDHRA PRADESH","SRIKAKULUM",4002,1850,29212,35064
"ANDHRA PRADESH","VIJAYA NAGARAM",2625,783,31292,34700
"ANDHRA PRADESH","VISAKHAPATNAM",1115,532,23978,25625
"ANDHRA PRADESH","WARANGAL",14634,25827,114601,155062
"ANDHRA PRADESH","WEST GODAVARI",1178,368,13759,15305
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA
