-----
{
 "description": "The table provides the Balance of Payments (BOP) (US$ million) as per IMF Balance of Payments Manual 5 - old format. BOP mainly refers to the difference between a country's external financial assets and external liabilities. This table gives item-wise details for the years 2000-01, 2006-07, 2007-08 ...", 
 "file_name": "tab62.xls", 
 "title": "Download XLS for Balance of Payments - as per old format (US$ million)(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab62.xls"
}
-----
"                                                                 6.2 :  BALANCE OF PAYMENTS AS PER IMF BALANCE OF PAYMENTS MANNUAL 5","","","","","","","","",""
"","","2000-01","","2006-07","","2007-08","","         2008-09 ",""
"","  Items","` crore","US$ million","` crore","US$ million","` crore","US$ million","` crore","US$ million"
"",1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
1.0,"Imports (c.i.f.)",264589.0,57912.0,862833.0,190670.0,1035672.0,257629.0,1405400.0,308520.0
2.0,"Exports (f.o.b.)",207852.0,45452.0,582871.0,128888.0,668008.0,166162.0,858000.0,189001.0
3.0,"Trade Balance (2-1)",-56737.0,-12460.0,-279962.0,-61782.0,-367664.0,-91467.0,-547400.0,-119519.0
4.0,"Invisibles","","","","","","","",""
"","  a) Receipts",147778.0,32267.0,517146.0,114558.0,598088.0,148875.0,770400.0,167819.0
"","  b) Payments",102639.0,22473.0,281567.0,62341.0,293902.0,73144.0,350600.0,76214.0
"","     (of which: Interest & Service Payments on Loans and Credits)","21948","4801","24742","5468","26568","6599","29992","6521"
"","  c) Net",45139.0,9794.0,235579.0,52217.0,304185.0,75731.0,419800.0,91605.0
5.0,"Current Account Balance",-11598.0,-2666.0,-44383.0,-9565.0,-63479.0,-15737.0,-127600.0,-27914.0
6.0,"Capital Account","","","","","","","",""
"","  I Foreign Investment",26744.0,5862.0,66791.0,14753.0,174400.0,43326.0,35000.0,8342.0
"","    i) Foreign Direct Investment ","","","","","","","",""
"","       a) Inward FDI",18404.0,4031.0,102652.0,22739.0,139400.0,34728.0,190600.0,41737.0
"","       b) Outward FDI",-3480.0,-759.0,-67742.0,-15046.0,-75700.0,-18835.0,145400.0,-19365.0
"","       c) Net",14924.0,3272.0,34910.0,7693.0,63800.0,15893.0,100100.0,22372.0
"","   II) Portfolio Investment (net)",11820.0,2590.0,31881.0,7060.0,110600.0,27433.0,-65100.0,-14031.0
"","  II Loans (net) ",24459.0,5264.0,110434.0,24490.0,163491.0,40653.0,34800.0,8314.0
"","    i) External Assistance","","","","","","","",""
"","     a) Inflow",13521.0,2941.0,16978.0,3767.0,17019.0,4241.0,24400.0,5230.0
"","     b) Out flow",11519.0,2531.0,9005.0,1992.0,8553.0,2126.0,12900.0,2792.0
"","     c) Net",2002.0,410.0,7973.0,1775.0,8466.0,2114.0,11500.0,2438.0
"","   ii) Commercial Borrowingsa","","","","","","","",""
"","     a) Inflow",95750.0,20865.0,229547.0,50875.0,313312.0,77951.0,260900.0,56987.0
"","     b) Out flow",73293.0,16011.0,127086.0,28160.0,158287.0,39413.0,237700.0,51111.0
"","     c) Net",22457.0,4854.0,102461.0,22715.0,155025.0,38538.0,23200.0,5876.0
"","  III) Banking","","","","","","","",""
"","     a) Receipts",44448.0,9744.0,167494.0,37209.0,223979.0,55814.0,295400.0,65207.0
"","     b) Payments",53592.0,11705.0,159017.0,35296.0,176824.0,44055.0,314600.0,68453.0
"","     c) Net",-9144.0,-1961.0,8477.0,1913.0,47155.0,11759.0,-19200.0,-3246.0
"","  IV) Rupee Debt Service (net)",-2760.0,-617.0,-725.0,-162.0,-492.0,-122.0,-500.0,-100.0
"","  V) Other Capital","","","","","","","",""
"","     a) Receipts",12948.0,2856.0,36797.0,8230.0,117094.0,29229.0,76100.0,16685.0
"","     b) Payments",11637.0,2564.0,18101.0,4021.0,73716.0,18261.0,97300.0,22602.0
"","     c) Net",1311.0,292.0,18696.0,4209.0,43377.0,10968.0,-21200.0,-5917.0
"","  VI) Errors & omissions (net)",-1369.0,-305.0,4344.0,968.0,5241.0,1316.0,1500.0,440.0
7.0,"Total Capital (I to VI of 6)",39241.0,8535.0,208017.0,46171.0,433167.0,107901.0,30500.0,7835.0
8.0,"Overall Balance (5 + 7)",27643.0,5868.0,163634.0,36606.0,369689.0,92164.0,-97100.0,-20080.0
9.0,"Monetary Movement","","","","","","","",""
""," a) IMF Transactions","","","","","","","",""
"","    i) Purchases","...","...","...","...","...","...","...","..."
"","   ii) Repurchases",115.0,26.0,"...","...","...","...","...","..."
"","   iii) Net",-115.0,-26.0,"...","...","...","...","...","..."
""," b) Increase (-)/decrease (+) in Reserves",-27528.0,-5868.0,-163634.0,-36606.0,-369689.0,-92164.0,97100.0,20080.0
10.0,"Total Reserve movement (9a(iii)+9b)",-27643.0,-5842.0,-163634.0,-36606.0,-369689.0,-92164.0,97100.0,20080.0
""," [(-) Increase/ (+) decrease] ","","","","","","","",""
"Source: Reserve Bank of India.    ----: Nil or Negligible
              
           a  Commercial borrowings includes short term credit.
Notes :  Totals may not tally due to rounding off                                                                                                                                                                        Contd..... ","","","","","","","","",""
"                                                                  6.2 :  BALANCE OF PAYMENTS AS PER IMF BALANCE OF PAYMENTS MANNUAL 6 (Concl.)","","","","","","","","",""
"","","         2009-10","","         2010-11 PR","","         2011-12 P","","         2012-13 (Apr-Sept) P",""
"","  Items","` crore","US$ million","` crore","US$ million","` crore","US$ million","` crore","US$ million"
"",1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
1.0,"Imports (c.i.f.)",1423200.0,300644.0,1746100.0,383481.0,2394600.0,499533.0,1296600.0,237221.0
2.0,"Exports (f.o.b.)",863300.0,182442.0,1165700.0,256159.0,1482500.0,309774.0,800700.0,146549.0
3.0,"Trade Balance (2-1)",-559900.0,-118202.0,-580500.0,-127322.0,-912100.0,-189759.0,-496000.0,-90672.0
4.0,"Invisibles","","","","","","","",""
"","  a) Receipts",774600.0,163430.0,867200.0,190488.0,1053500.0,219229.0,596100.0,109048.0
"","  b) Payments",394400.0,83408.0,506400.0,111218.0,517300.0,107625.0,313500.0,57349.0
"","     (of which: Interest & Service Payments on Loans and Credits)",27133.0,5719.0,27670.0,6073.0,41046.0,8527.0,28816.0,5273.0
"","  c) Net",380200.0,80022.0,360800.0,79269.0,536200.0,111604.0,282600.0,51699.0
5.0,"Current Account Balance",-179700.0,-38180.0,-219700.0,-48053.0,-376000.0,-78155.0,-213400.0,-38973.0
6.0,"Capital Account","","","","","","","",""
"","  I Foreign Investment",240000.0,50362.0,193500.0,42127.0,188700.0,39231.0,102500.0,18608.0
"","    i) Foreign Direct Investment (FDI)","","","","","","","",""
"","       a) Inward FDI",157800.0,33109.0,132400.0,29029.0,155000.0,32952.0,89000.0,16246.0
"","       b) Outward FDI",-71800.0,-15143.0,-78300.0,-17195.0,-51800.0,-10892.0,-18700.0,-3434.0
"","       c) Net",86000.0,17966.0,54100.0,11834.0,103200.0,22061.0,70300.0,12812.0
