-----
{
 "description": "The table shows the lactating mothers following advices regarding services/activities about Child Care discussed during NHE. It is observed that the best performing states have been Andhra Pradesh, Kerala and Himachal Pradesh specifically on factors such taking care and monitoring of child's ...", 
 "file_name": "ICDS_Table7.25.xls", 
 "title": "Download XLS for Lactating Mothers Following Advices Regarding Services/Activities about Child Care Discussed During NHE", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table7.25.xls"
}
-----
"States/UTs","Taking care and monitoring of child's growth","Timely immunization","About breastfeeding","About colostrum  feeding","About treatment of diarrhoea/minor illness","About preparation of nutritious food/feeding practices","Provide medicine/consult AWW during illness","Importance of education of the child","Cleanliness and hygiene"
"Andhra Pradesh",57.7,56.8,57.7,56.8,53.1,53.0,57.3,53.6,58.4
"Assam",14.2,14.2,16.3,15.5,10.2,9.3,9.7,11.9,10.5
"Bihar",3.0,3.5,2.5,2.5,3.5,1.8,0.3,2.5,1.8
"Chhattisgarh",59.9,61.4,53.4,50.0,57.5,22.2,21.9,27.5,40.2
"Gujarat",50.8,61.4,52.5,42.4,45.9,43.0,38.6,43.9,52.6
"Haryana",28.8,28.8,28.8,28.8,27.7,27.7,28.8,28.8,28.8
"Himachal Pradesh",20.9,20.9,20.9,11.4,14.3,20.9,14.3,20.9,14.3
"Jammu and Kashmir",18.8,19.4,19.4,19.4,18.8,19.4,18.0,19.4,19.4
"Jharkhand",36.8,39.6,25.6,22.7,30.3,24.4,27.5,36.2,32.5
"Karnataka",8.3,5.7,8.3,4.3,8.3,5.7,8.3,4.7,8.3
"Kerala",39.6,39.6,39.6,39.6,39.6,39.6,39.6,37.9,39.6
"Madhya Pradesh",17.3,17.3,17.3,17.3,17.3,17.3,16.8,16.8,16.8
"Maharashtra",46.5,47.5,45.8,43.0,46.7,35.3,42.8,40.8,34.4
"Orissa",39.4,41.9,34.9,32.1,29.8,21.7,19.8,22.5,33.8
"Punjab",7.1,5.2,7.1,9.7,5.0,5.2,5.2,7.1,9.7
"Rajasthan",12.4,13.1,13.1,12.4,10.9,9.4,7.6,10.1,10.9
"Tamil Nadu",38.6,38.2,37.9,33.3,38.1,38.0,37.8,31.5,37.3
"Uttar Pradesh",7.5,7.9,7.1,6.7,6.6,6.0,5.4,7.1,5.9
"Uttarkhand",25.5,25.5,25.5,25.5,23.8,23.8,25.5,25.5,25.5
"West Bengal",26.4,26.4,19.0,21.6,13.0,17.4,26.1,26.4,19.9
"Delhi",41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6
"Chandigarh",62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8
"Arunachal Pradesh",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Manipur",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Meghalaya",8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8
"Mizoram",51.8,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
"Nagaland",4.7,4.7,4.7,4.7,0.0,0.0,0.0,4.7,4.7
"Tripura",7.7,7.7,7.7,7.0,7.7,7.7,7.0,7.7,7.0
"Sikkim",20.2,28.2,28.2,28.2,20.2,17.1,21.6,21.6,25.1
"Dadar & Nagar Haveli",4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1
"Daman & Diu",28.3,28.3,28.3,28.3,14.9,14.9,28.3,28.3,28.3
"Goa",29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5
"Puducherry",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Andaman & Nicobar Islands",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"All India",24.1,24.8,22.7,21.4,21.4,18.5,19.4,20.5,21.1
