-----
{
 "description": "The table refers to block wise irrigation potential utilised under surface flow schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.12.csv", 
 "title": "Download CSV for Blockwise Irrigation potential utilised under Surface Flow Schemes for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.12.csv"
}
-----
State,District,Block,Actual area irrigated (Ha) - Kharif,Actual area irrigated (Ha) - Rabi,Actual area irrigated (Ha) - Perennial,Actual area irrigated (Ha) - Others,Total
ANDHRA PRADESH,ADILABAD,ADILABAD,162,13,0,0,175
ANDHRA PRADESH,ADILABAD,ASIFABAD,35,0,0,0,35
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,BEJJUR,498,12,0,0,510
ANDHRA PRADESH,ADILABAD,BELA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,274,0,0,0,274
ANDHRA PRADESH,ADILABAD,BHAINSA,363,0,0,0,363
ANDHRA PRADESH,ADILABAD,BHEEMINI,421,0,0,0,421
ANDHRA PRADESH,ADILABAD,BOATH,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,CHENNUR,1243,0,0,0,1243
ANDHRA PRADESH,ADILABAD,DAHEGAON,202,0,0,0,202
ANDHRA PRADESH,ADILABAD,DANDEPALLE,369,0,0,0,369
ANDHRA PRADESH,ADILABAD,DILAWARPUR,615,24,0,0,639
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,ICHODA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,INDERAVELLY,16,0,0,0,16
ANDHRA PRADESH,ADILABAD,JAINAD,27,6,0,0,33
ANDHRA PRADESH,ADILABAD,JAINOOR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,JAIPUR,1272,0,0,0,1272
