-----
{
 "description": "The table provides the Minimum Support Price/Procurement Price for Crops (Crop year basis) for the years 1990-91, 1999-00, 2002-03, 2004-05 to 2012-13. Minimum Support Price is the price at which government purchases crops for the farmers, to safeguard the interests of the farmers. The Minimum ...", 
 "file_name": "tab55.xls", 
 "title": "Download XLS for Minimum Support Price/Procurement Price for Crops (Crop year basis)(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab55.xls"
}
-----
"5.5 : MINIMUM SUPPORT PRICE/PROCUREMENT PRICE FOR CROPS","","","","","","","","","","","",""
"(CROP YEAR BASIS)","","","","","","","","","","","",""
"(Rs./quintal)","","","","","","","","","","","",""
"Commodities","1990-91","1999-00","2002-03b","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Paddy (Common) ",205.0,490.0,550.0,560.0,570.0,"580c","645h","850k","950k",1000.0,1080.0,1250.0
"Paddy (Fine )",215.0,"...","...","...","...","...","...","...","...","...","...","..."
"Paddy (Super fine) ",225.0,"...","...","...","...","...","...","...","...","...","...","..."
"Paddy (Grade ‘A’) ","...",520.0,580.0,590.0,600.0,"610c","675h","880k","980k",1030.0,1110.0,1280.0
"Wheat ",225.0,580.0,630.0,640.0,"650g","750h",1000.0,1080.0,1100.0,1120.0,1285.0,1350.0
"Jowar (Hybrid)",180.0,415.0,490.0,515.0,525.0,540.0,600.0,840.0,840.0,880.0,980.0,1500.0
"Jowar (Maldandi)","...","...","...","...","...",555.0,620.0,860.0,860.0,900.0,1000.0,1520.0
"Bajra",180.0,415.0,495.0,515.0,525.0,540.0,600.0,840.0,840.0,880.0,980.0,1175.0
"Ragi",180.0,415.0,490.0,515.0,525.0,540.0,600.0,915.0,915.0,965.0,1050.0,1500.0
"Maize ",180.0,415.0,490.0,525.0,540.0,540.0,620.0,840.0,840.0,880.0,980.0,1175.0
"Barley ",200.0,430.0,505.0,540.0,550.0,565.0,650.0,680.0,750.0,780.0,980.0,980.0
"Gram ",450.0,1015.0,1225.0,1425.0,1435.0,1445.0,1600.0,1730.0,1760.0,2100.0,2800.0,3000.0
"Masur","...","...","...",1525.0,1535.0,1545.0,1700.0,1870.0,1870.0,2250.0,2800.0,2900.0
"Arhar ",480.0,1105.0,1325.0,1390.0,1400.0,1410.0,"1550d",2000.0,2300.0,"3000l","3200l",3850.0
"Moong ",480.0,1105.0,1335.0,1410.0,1520.0,1520.0,"1700d",2520.0,2760.0,"3170l","3500l",4400.0
"Urad ",480.0,1105.0,1335.0,1410.0,1520.0,1520.0,"1700d",2520.0,2520.0,"2900l","3300l",4300.0
"Sugarcane (Statutory minimum price) a",23.0,56.1,69.5,74.5,79.5,80.25,81.18,81.18,129.84,139.12,"145.00m",170.0
"Cotton F-414/H-777 ",620.0,1575.0,1695.0,1760.0,1760.0,"1770e","1800e","2500i","2500i","2500i","2800i",3600.0
