-----
{
 "description": "The table shows the Nutritional status of children aged 7 months-60 months by Expenditure classes. It provides state-wise details regarding the nutritional status of children who are under the ICDS scheme and those who are not covered under the scheme, categorized on the basis of  their by Asset ...", 
 "file_name": "ICDS_Table9.5.xls", 
 "title": "Download XLS for Nutritional status of children aged 7 months-60 months by Asset class", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table9.5.xls"
}
-----
"States/UTs ","ICDS-Asset 1-Moderately","ICDS-Asset 1-Severely","ICDS-Asset 2-Moderately","ICDS-Asset 2-Severely","Non-ICDS-Asset 1-Moderately","Non-ICDS-Asset 1-Severely","Non-ICDS-Asset 2-Moderately","Non-ICDS-Asset 2-Severely"
"Andhra Pradesh",29.4,3.5,47.5,5.4,29.7,0.8,49.9,6.9
"Assam",44.5,0.0,46.3,7.9,25.9,2.0,52.1,6.1
"Bihar",27.9,3.9,44.3,10.7,43.3,6.0,49.9,12.4
"Chhattisgarh",68.9,6.3,36.7,11.4,23.6,0.0,65.6,17.3
"Gujarat",48.6,2.0,54.9,7.8,50.8,0.0,35.8,13.7
"Haryana",34.9,0.0,49.5,4.1,40.6,0.0,55.1,1.9
"Himachal Pradesh",34.5,0.7,49.5,0.5,37.0,0.0,50.6,0.0
"Jammu and Kashmir",41.2,1.3,32.4,2.3,3.7,0.0,74.4,7.9
"Jharkhand",43.6,3.3,43.9,8.3,38.0,0.0,40.6,6.4
"Karnataka",32.9,2.8,56.0,6.3,40.3,0.0,39.0,17.1
"Kerala",36.1,0.0,34.7,1.9,1.4,0.0,77.0,0.0
"Madhya Pradesh",46.7,5.5,54.5,11.8,58.8,1.7,60.3,18.2
"Maharashtra",35.3,1.3,52.3,4.1,31.5,2.0,49.6,21.0
"Orissa",34.1,5.5,49.3,10.1,36.1,0.0,42.5,25.4
"Punjab",33.4,1.1,31.3,8.8,21.4,3.9,27.9,6.2
"Rajasthan",41.3,2.5,44.9,11.8,33.7,3.4,58.5,19.6
"Tamil Nadu",28.9,2.3,46.6,3.7,36.7,0.5,45.7,5.8
"Uttar Pradesh",44.2,8.1,55.5,9.0,48.2,5.5,53.8,10.7
"Uttrakhand",65.7,0.0,39.5,7.8,"NA","NA",35.0,9.0
"West Bengal",18.0,1.2,40.3,4.1,25.7,1.1,49.3,8.0
"Delhi",50.7,2.1,63.7,0.0,34.9,0.0,67.7,0.0
"Chandigarh",7.4,0.0,39.2,17.0,82.2,0.0,0.0,0.0
"Arunachal Pradesh",0.0,0.0,41.1,12.0,"NA","NA","NA","NA"
"Manipur",26.5,0.0,30.8,0.0,14.4,0.0,50.9,0.0
"Meghalaya",24.9,0.0,57.8,13.6,48.1,11.0,14.8,0.0
"Mizoram",30.5,12.7,29.3,0.0,0.0,0.0,23.5,16.3
"Nagaland",8.7,2.4,16.4,0.0,15.5,5.0,0.0,0.0
"Tripura",2.2,0.0,49.0,6.8,38.9,0.0,40.2,7.4
"Sikkim",33.2,0.0,28.7,0.0,47.0,0.0,50.7,0.0
"Dadar& Nagar Haveli",100.0,0.0,66.7,0.0,9.1,0.0,15.0,0.0
"Daman & Diu",22.7,8.2,49.4,5.4,16.3,0.0,31.7,15.9
"Goa",30.0,0.0,0.0,0.0,51.9,0.0,0.0,0.0
"Puducherry",19.7,0.0,45.5,0.0,0.0,0.0,19.8,0.0
"Andaman & Nicobar Islands",37.0,0.0,25.1,0.0,67.8,0.0,50.9,0.0
"All India",39.0,3.8,49.0,7.8,37.8,2.3,50.3,9.9
