-----
{
 "description": "The table refers to Block wise Distribution of Deep Tubewells according to Social status. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwldistr3.4.csv", 
 "title": "Download CSV for Blockwise Distribution of Deep Tubewells according to Social status", 
 "url": "http://data.gov.in/sites/default/files/dptbwldistr3.4.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Scheduled caste,Scheduled tribe,Other social status of farmers,Total
ANDHRA PRADESH,ADILABAD,CHENNUR,0,0,0,0
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,0,0,0,0
ANDHRA PRADESH,ADILABAD,JAIPUR,0,0,0,0
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,0,0,21,21
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,0,0,0,0
ANDHRA PRADESH,ADILABAD,SIRPUR (T),0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,0,0,0,0
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,2,6,131,139
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,0,0,0,0
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,0,0,0,0
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,0,0,0,0
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,0,0,6,6
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,0,0,1,1
ANDHRA PRADESH,CHITTOOR,CHITTOOR,0,0,0,0
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,0,0,6,6
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,4,0,4,8
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,0,0,0,0
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,0,0,0,0
ANDHRA PRADESH,CHITTOOR,GUDIPALA,10,0,90,100
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,1,2,63,66
ANDHRA PRADESH,CHITTOOR,IRALA,0,0,15,15
ANDHRA PRADESH,CHITTOOR,K V P PURAM,2,0,0,2
ANDHRA PRADESH,CHITTOOR,KALAKADA,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KALIKIRI,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KUPPAM,5,0,53,58
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,1,0,42,43
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,0,0,0,0
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,2,1,56,59
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PAKALA,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PALAMANER,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,3,0,0,3
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,0,0,1,1
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PENUMURU,2,0,27,29
ANDHRA PRADESH,CHITTOOR,PICHATUR,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PILERU,1,0,12,13
ANDHRA PRADESH,CHITTOOR,PULICHERLA,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PUNGANUR,0,0,4,4
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,0,0,0,0
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,1,0,0,1
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,1,0,13,14
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,0,0,4,4
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,0,0,0,0
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,1,0,0,1
ANDHRA PRADESH,CHITTOOR,SODAM,0,0,0,0
ANDHRA PRADESH,CHITTOOR,SOMALA,0,0,19,19
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,0,0,0,0
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,0,0,0,0
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,0,0,0,0
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,0,0,0,0
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,0,0,0,0
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,0,0,0,0
ANDHRA PRADESH,CHITTOOR,VAYALPAD,0,0,7,7
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,0,0,0,0
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,0,0,8,8
ANDHRA PRADESH,CHITTOOR,YADAMARI,0,0,0,0
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,21,0,151,172
ANDHRA PRADESH,CUDDAPAH,ATLUR,45,4,261,310
ANDHRA PRADESH,CUDDAPAH,B KODUR,18,0,323,341
ANDHRA PRADESH,CUDDAPAH,BADVEL,13,0,167,180
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,21,0,108,129
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,0,0,2,2
ANDHRA PRADESH,CUDDAPAH,CHENNUR,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,0,0,27,27
