-----
{
 "description": "The table refers to Block wise Distribution of Surface Flow Schemes (Tanks) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.14.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes (Tanks) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.14.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. in use - Public,No. in use - Private,No. in use - Total,Potential created (Ha) - Public,Potential created (Ha) - Private,Potential created (Ha) - Total,Potential utilised (Ha) - Public,Potential utilised (Ha) - Private,Potential utilised (Ha) - Total
ANDHRA PRADESH,ADILABAD,ADILABAD,65,0,65,430,0,430,419,0,419
ANDHRA PRADESH,ADILABAD,BEJJUR,27,0,27,535,0,535,410,0,410
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,29,0,29,525,0,525,479,0,479
ANDHRA PRADESH,ADILABAD,BHAINSA,43,0,43,2507,0,2507,2400,0,2400
ANDHRA PRADESH,ADILABAD,BHEEMINI,44,0,44,402,0,402,401,0,401
ANDHRA PRADESH,ADILABAD,BOATH,1,0,1,9,0,9,3,0,3
ANDHRA PRADESH,ADILABAD,CHENNUR,70,0,70,1540,0,1540,1510,0,1510
ANDHRA PRADESH,ADILABAD,DAHEGAON,25,0,25,280,0,280,280,0,280
ANDHRA PRADESH,ADILABAD,DANDEPALLE,32,32,64,750,6,756,750,5,755
ANDHRA PRADESH,ADILABAD,DILAWARPUR,38,3,41,888,20,908,791,20,811
ANDHRA PRADESH,ADILABAD,ICHODA,1,88,89,1,1812,1813,0,20,20
ANDHRA PRADESH,ADILABAD,INDERAVELLY,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,JAINAD,243,707,950,930,1135,2065,899,1022,1921
ANDHRA PRADESH,ADILABAD,JAINOOR,1,0,1,2,0,2,2,0,2
ANDHRA PRADESH,ADILABAD,JAIPUR,97,0,97,1577,0,1577,1576,0,1576
ANDHRA PRADESH,ADILABAD,JANNARAM,0,7,7,0,47,47,0,31,31
ANDHRA PRADESH,ADILABAD,KADDAMPEDDUR,18,0,18,772,0,772,666,0,666
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,37,0,37,1081,0,1081,1081,0,1081
ANDHRA PRADESH,ADILABAD,KASIPET,11,0,11,277,0,277,187,0,187
ANDHRA PRADESH,ADILABAD,KERAMERI,0,2,2,0,2,2,0,2,2
ANDHRA PRADESH,ADILABAD,KHANPUR,17,0,17,621,0,621,433,0,433
ANDHRA PRADESH,ADILABAD,KOTAPALLE,45,0,45,428,0,428,422,0,422
ANDHRA PRADESH,ADILABAD,KOUTHALA,11,19,30,96,113,209,96,113,209
ANDHRA PRADESH,ADILABAD,KUBEER,8,0,8,335,0,335,326,0,326
ANDHRA PRADESH,ADILABAD,KUNTALA,27,0,27,866,0,866,441,0,441
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,6,1,7,152,14,166,138,14,152
ANDHRA PRADESH,ADILABAD,LOHESRA,70,0,70,1321,0,1321,1189,0,1189
ANDHRA PRADESH,ADILABAD,LUXETTIPET,20,214,234,640,62,702,530,0,530
ANDHRA PRADESH,ADILABAD,MAMDA,28,0,28,1399,0,1399,1373,0,1373
ANDHRA PRADESH,ADILABAD,MANCHERIAL,1,28,29,34,375,409,34,375,409
ANDHRA PRADESH,ADILABAD,MANDAMARRI,14,0,14,506,0,506,506,0,506
ANDHRA PRADESH,ADILABAD,NENNAL,28,1,29,478,2,480,478,2,480
ANDHRA PRADESH,ADILABAD,NERADIGONDA,0,19,19,0,10,10,0,10,10
