-----
{
 "description": "This data provides details on Disability Adjusted Life Years In India, 2009. The causes of mortality have been classified into 3 major categories namely: Communicable, Maternal, Perinatal and Nutritional Conditions, Non Communicable diseases and Injuries.", 
 "file_name": "Disability_Adjusted_Life_Years_in_India.xls", 
 "title": "Download XLS for Disability Adjusted Life Years In India, 2009 - Estimated Percentage Of DALY By Cause", 
 "url": "http://data.gov.in/sites/default/files/Disability_Adjusted_Life_Years_in_India.xls"
}
-----
"","Disability Adjusted Life Years","Category","Total DALY (in '000)","Percentage Share of Total"
"","Communicable, Maternal, Perinatal and Nutritional","Communicable, Maternal, Perinatal and Nutritional",134077.636,43.9437439367
"A.","Infectious and parasitic diseases","Communicable, Maternal, Perinatal and Nutritional",58836.002,19.2834113375
"1.","Tuberculosis","Communicable, Maternal, Perinatal and Nutritional",7286.141,2.38802177561
"2.","STDs excluding HIV","Communicable, Maternal, Perinatal and Nutritional",3000.700375,0.983475043591
"a.","Syphilis","Communicable, Maternal, Perinatal and Nutritional",695.595625,0.227980421943
"b.","Chlamydia","Communicable, Maternal, Perinatal and Nutritional",1096.11549219,0.359250207199
"c.","Gonorrhoea","Communicable, Maternal, Perinatal and Nutritional",1121.8860625,0.367696472935
"3.","HIV/AIDS","Communicable, Maternal, Perinatal and Nutritional",3851.9035,1.26245559008
"4.","Diarrhoeal diseases","Communicable, Maternal, Perinatal and Nutritional",17445.007,5.71757485776
"5.","Childhood-cluster diseases","Communicable, Maternal, Perinatal and Nutritional",10569.8165,3.46424149165
"a.","Pertussis","Communicable, Maternal, Perinatal and Nutritional",4157.068,1.36247279687
"b.","Poliomyelitis","Communicable, Maternal, Perinatal and Nutritional",2.42842602539,0.00079591298454
"c.","Diphtheria","Communicable, Maternal, Perinatal and Nutritional",61.1776132812,0.0200508709199
"d.","Measles","Communicable, Maternal, Perinatal and Nutritional",4994.00925,1.63677903524
"e.","Tetanus","Communicable, Maternal, Perinatal and Nutritional",1355.13303125,0.444142816818
"6.","Meningitis","Communicable, Maternal, Perinatal and Nutritional",2361.860625,0.774096274483
