-----
{
 "description": "The table shows the Net Availability of Cereals and Pulses in India (in Mn.tonnes). It gives details regarding net production, net imports and change in government stocks for the years 1960-61 to 2011-12. It also provides the Per capita Net Availability of Cereals and Pulses.\r", 
 "file_name": "tab116.xls", 
 "title": "Download XLS for Net Availability of Cereals and Pulses(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab116.xls"
}
-----
"1.16 NET AVAILABILITY OF CEREALS AND PULSES","","","","","","","","",""
"","","","","","","","Per capita net availability","",""
"Year","Population","Cereals","","","","Pulses","per day (grams)","",""
"","(million)","Net","Net","Change in","Net","Net","Cereals","Pulses","Total"
"","","production","imports","Government","availability","availability","","",""
"","","(million","(million","stocks","(Col. 3+4-5)","(million","","",""
"","","tonnes)","tonnes)","(million","(million","tonnes)","","",""
"","","","","tonnes)","tonnes)","","","",""
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
1961.0,442.4,60.9,3.5,"(-)0.2",64.6,11.1,399.7,69.0,468.7
1971.0,551.3,84.5,2.0,"(+)2.6",84.0,10.3,417.6,51.2,468.8
1972.0,563.9,82.3,"(-)0.5","(-)4.7",86.5,9.7,419.1,47.0,466.1
1973.0,576.8,76.2,3.6,"(-)0.3",80.1,8.7,350.5,41.1,421.6
1974.0,590.0,82.8,5.2,"(-)0.4",88.4,8.8,410.4,40.8,451.2
1975.0,603.5,78.6,7.5,"(+)5.6",80.6,8.8,365.8,39.7,405.5
1976.0,617.2,94.5,0.7,"(+)10.7",84.4,11.4,373.8,50.5,424.3
1977.0,631.3,87.3,0.1,"(-)1.6",89.0,10.0,386.3,43.3,429.6
1978.0,645.7,100.1,"(-)0.8","(-)0.3",99.6,10.7,422.5,45.5,468.0
1979.0,660.3,104.8,"(-)0.3","(+)0.4",104.1,10.8,431.8,44.7,476.5
1980.0,675.2,88.5,"(-)0.5","(-)5.8",93.8,7.6,379.5,30.9,410.4
1981.0,688.5,104.1,0.5,"(-)0.2",104.8,9.4,417.3,37.5,454.8
1982.0,703.8,106.6,1.6,"(+)1.3",106.8,10.1,415.6,39.2,454.8
