-----
{
 "description": "The table shows adolescent girls following advices regarding health and hygiene care discussed during NHE. It gives state-wise  details regarding taking care and monitoring, health and nutrition, self confidence, treatment of minor illness, cleanliness, hygiene, age of marriage and  Importance of ...", 
 "file_name": "ICDS_Table7.31.xls", 
 "title": "Download XLS for Adolescent Girls Following Advices Regarding Health and Hygiene Care Discussed During NHE", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table7.31.xls"
}
-----
"States/UTs","AG attended NHE meetings","Taking Care and monitoring","About health and nutrition","About growing self confidence","About treatment of minor illness","About cleanliness and hygiene","Importance of education","About the age of marriage"
"Andhra Pradesh",16.3,17.8,19.8,17.8,20.0,16.5,18.1,18.0
"Assam",7.4,16.6,6.1,6.6,16.6,14.9,18.6,16.6
"Bihar",16.7,11.7,10.2,11.6,12.0,14.5,10.8,11.0
"Chhattisgarh",18.0,22.1,11.5,7.6,22.7,12.7,9.8,20.2
"Gujarat",58.2,57.3,63.6,45.8,46.7,62.9,54.1,59.9
"Haryana",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Himachal Pradesh",8.4,14.0,14.0,8.4,14.0,8.4,14.0,10.8
"Jammu and Kashmir",31.0,38.1,39.6,39.6,38.7,39.2,39.6,39.6
"Jharkhand",24.6,28.6,24.1,27.6,24.3,31.0,29.9,27.8
"Karnataka",32.5,33.1,24.6,32.9,22.1,32.2,24.5,32.3
"Kerala",63.2,56.8,56.7,52.3,59.2,60.1,56.7,42.9
"Madhya Pradesh",51.4,62.4,62.9,61.0,61.8,62.9,62.2,62.4
"Maharashtra",29.2,38.6,35.2,28.6,28.0,34.0,34.6,33.9
"Orissa",37.3,33.6,28.8,28.0,23.7,35.7,31.8,36.7
"Punjab",3.8,0.0,1.4,2.4,1.0,2.4,1.0,2.4
"Rajasthan",49.8,35.6,48.1,38.3,39.6,42.8,40.4,39.5
"Tamil Nadu",24.7,31.2,31.2,30.6,30.9,31.2,29.3,29.1
"Uttar Pradesh",13.0,10.0,13.0,9.7,10.8,12.5,11.5,11.2
"Uttarakhand",33.9,42.9,42.9,42.9,42.9,42.9,41.2,41.2
"West Bengal",8.9,11.1,11.6,9.4,9.4,11.6,13.3,11.6
"Delhi",46.2,70.8,70.8,70.8,70.8,70.8,70.8,70.8
"Arunachal Pradesh",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
"Manipur",0.0,13.9,13.9,13.9,13.9,13.9,13.9,13.9
"Meghalaya",48.7,43.5,39.5,38.4,47.6,38.4,42.5,42.5
"Mizoram",33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
"Nagaland",5.2,11.5,8.9,11.5,11.5,11.5,11.5,11.5
"Tripura",4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1
"Sikkim",2.2,0.0,0.0,0.0,0.0,2.2,0.0,2.2
"Dadar & Nagar Haveli",40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
"Daman & Diu",70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
"Goa",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Puducherry",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Andaman & Nicobar Islands",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"All India",24.4,27.7,26.5,24.2,25.6,27.1,26.3,26.9
