-----
{
 "description": "The table gives the Overall Financing Pattern of the Public Sector Plan outlay during the Eleventh Five Year Plan (2007-2012) for Centre, States and Union Territories. It gives item-wise details of plan resources during the plan period at 2006-07 base year prices.", 
 "file_name": "tab215.xls", 
 "title": "Download XLS for Overall Financing Pattern of the Public Sector Plan outlay during the Eleventh Plan: 2007-2012(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab215.xls"
}
-----
"2.15   OVERALL FINANCING PATTERN OF THE PUBLIC SECTOR PLAN OUTLAY DURING","","","",""
"","THE ELEVENTH PLAN : 2007-2012","","",""
"","","","   (` crore at 2006-07 prices)",""
"","","","",""
"","Resources","Centre (Including","States and UTs","Total"
"","","UTs without","with Legislature",""
"","","Legislature)","",""
"",1.0,2.0,3.0,4.0
1.0,"Balance from current revenues (BCR )",653989.0,385050.0,1039039.0
2.0,"Borrowings(including net MCR & other liabilities)",767722.0,649423.0,1417145.0
3.0,"Net inflow from abroad","…","…","…"
4.0,"Centre's GBS (1+2+3)",1421711.0,"…",2456184.0
5.0,"Resources of Public Sector Enterprises",1059711.0,128824.0,1188535.0
6.0,"State's Own Resources (1+2+5)","…",1163296.0,1163296.0
7.0,"Central Assistance  States & UTs",-324851.0,324851.0,"…"
8.0,"Resources of the Public Sector Plan (1+2+3+5+7)",2156571.0,1488147.0,3644718.0
"","Source : Eleventh Plan Document, Planning Commission.","","",""
