-----
{
 "description": "The table refers to District wise Distribution of Surface Flow Schemes(Tanks) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowstate4.14.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes(Tanks) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.14.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"ANDHRA PRADESH","ADILABAD",1227,1165,2392,24782,4162,28943,22075,2171,24246
"ANDHRA PRADESH","ANANTHAPUR",450,32,482,23609,633,24243,5902,129,6032
"ANDHRA PRADESH","CHITTOOR",4290,407,4697,81646,7091,88736,34339,1272,35610
"ANDHRA PRADESH","CUDDAPAH",399,22,421,19171,303,19474,6883,90,6974
"ANDHRA PRADESH","EAST GODAVARI",1465,46,1511,37740,340,38080,34283,337,34620
"ANDHRA PRADESH","GUNTUR",152,2,154,6864,53,6917,5188,25,5213
"ANDHRA PRADESH","KARIMNAGAR",1523,0,1523,58778,0,58778,36967,0,36967
"ANDHRA PRADESH","KHAMMAM",1590,173,1763,47929,4485,52414,40475,3951,44426
"ANDHRA PRADESH","KRISHNA",851,84,935,46322,1617,47940,37339,1207,38547
"ANDHRA PRADESH","KURNOOL",400,51,451,23241,102,23343,15793,100,15893
"ANDHRA PRADESH","MAHABOOBNAGAR",808,189,997,25890,383,26273,9569,216,9785
"ANDHRA PRADESH","MEDAK",744,0,744,29246,0,29246,6714,0,6714
"ANDHRA PRADESH","NALGONDA",473,80,553,27725,2968,30693,14669,1186,15854
"ANDHRA PRADESH","NELLORE",1228,297,1525,84860,13291,98151,56457,7048,63506
"ANDHRA PRADESH","NIZAMABAD",1173,68,1241,45172,5789,50961,27642,2900,30542
"ANDHRA PRADESH","PRAKASAM",549,35,584,35508,1332,36840,25002,617,25619
"ANDHRA PRADESH","RANGAREDDY",47,174,221,3106,2763,5868,1212,1307,2519
"ANDHRA PRADESH","SRIKAKULAM",7037,120,7157,96209,932,97140,91699,907,92606
"ANDHRA PRADESH","VISAKHAPATNAM",3339,158,3497,64461,1433,65894,55417,1384,56801
"ANDHRA PRADESH","VIZIANAGARAM",8894,26,8920,112206,191,112397,89196,152,89348
"ANDHRA PRADESH","WARANGAL",1903,169,2072,177851,13851,191702,138106,12657,150762
"ANDHRA PRADESH","WEST GODAVARI",1275,23,1298,36338,78,36415,29643,78,29721
