-----
{
 "description": "The table refers to district wise distribution of surface flow schemes according to ownership. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.2.csv", 
 "title": "Download CSV for Districtwise Distribution of surface flow schemes according to ownership for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.2.csv"
}
-----
State,District,Government owned,Cooperative Societies,Panchayat owned,Group of farmers,Individual farmers,Others,Total
ANDHRA PRADESH,ADILABAD,1064,2,147,1,122,3,1339
ANDHRA PRADESH,ANANTHAPUR,2210,7,262,33,123,57,2692
ANDHRA PRADESH,CHITTOOR,6959,11,55,20,265,227,7537
ANDHRA PRADESH,CUDDAPAH,1731,4,52,44,30,2,1863
ANDHRA PRADESH,EAST GODAVARI,1415,2,134,43,188,5,1787
ANDHRA PRADESH,GUNTUR,134,0,54,1,9,4,202
ANDHRA PRADESH,HYDERABAD,32,0,0,0,3,3,38
ANDHRA PRADESH,KARIMNAGAR,4343,3,785,0,18,99,5248
ANDHRA PRADESH,KHAMMAM,132,27,2333,24,165,32,2713
ANDHRA PRADESH,KRISHNA,265,4,623,23,81,14,1010
ANDHRA PRADESH,KURNOOL,178,454,97,2,293,8,1032
ANDHRA PRADESH,MAHABOOB NAGAR,2050,8,3805,22,1281,8,7174
ANDHRA PRADESH,MEDAK,1924,19,1363,21,776,53,4156
ANDHRA PRADESH,NALGONDA,1528,0,1306,104,1481,3,4422
ANDHRA PRADESH,NELLORE,893,6,836,41,97,6,1879
ANDHRA PRADESH,NIZAMABAD,481,1,1377,169,70,112,2210
ANDHRA PRADESH,PRAKASAM,632,4,28,254,185,0,1103
ANDHRA PRADESH,RANGA REDDY,1336,1,347,8,27,2,1721
ANDHRA PRADESH,SRIKAKULUM,8965,6,75,9,65,0,9120
ANDHRA PRADESH,VIJAYA NAGARAM,9549,5,20,27,79,9,9689
ANDHRA PRADESH,VISAKHAPATNAM,3524,35,352,53,254,1676,5894
ANDHRA PRADESH,WARANGAL,3134,59,472,64,1416,490,5635
ANDHRA PRADESH,WEST GODAVARI,705,1,715,24,34,10,1489
ARUNACHAL PRADESH,CHANGLANG,132,0,1,41,64,0,238
ARUNACHAL PRADESH,DIBANG VALLEY,64,1,0,29,10,0,104
ARUNACHAL PRADESH,EAST KAMENG,82,0,0,1,0,2,85
ARUNACHAL PRADESH,EAST SIANG,106,10,10,334,430,3,893
ARUNACHAL PRADESH,LOHIT,64,0,1,1,0,0,66
ARUNACHAL PRADESH,LOWER SUBANSIRI,657,0,0,29,1,15,702
ARUNACHAL PRADESH,PAPUM PARE,29,0,3,46,60,9,147
ARUNACHAL PRADESH,TAWANG,51,0,0,19,0,1,71
ARUNACHAL PRADESH,TIRAP,48,1,0,29,30,0,108
ARUNACHAL PRADESH,UPPER SIANG,24,1,2,192,78,0,297
ARUNACHAL PRADESH,UPPER SUBANSIRI,76,0,12,39,441,13,581
ARUNACHAL PRADESH,WEST KAMENG,50,1,0,0,1,1,53
ARUNACHAL PRADESH,WEST SIANG,156,3,2,18,64,0,243
ASSAM,BARPETA,6,0,0,0,0,0,6
ASSAM,BONGAIGAON,5,0,0,0,1,0,6
ASSAM,CACHAR,7,0,0,0,0,0,7
ASSAM,DARRANG,45,0,3,169,0,0,217
ASSAM,DHEMAJI,8,0,0,0,0,0,8
ASSAM,DHUBRI,6,0,0,35,6,0,47
ASSAM,DIBRUGARH,1,0,0,0,0,0,1
ASSAM,GOALPARA,60,0,0,86,0,0,146
ASSAM,GOLAGHAT,3,0,0,0,0,0,3
ASSAM,HAILAKANDI,NA,NA,NA,NA,NA,NA,NA
ASSAM,JORHAT,4,0,0,0,0,0,4
ASSAM,KAMRUP,6,0,0,98,0,0,104
ASSAM,KARBI ANGLONG,454,49,5,129,639,0,1276
ASSAM,KARIMGANJ,1,0,0,0,0,0,1
ASSAM,KOKRAJHAR,24,0,0,0,0,0,24
ASSAM,LAKHIMPUR,2,0,0,0,0,0,2
ASSAM,MARIGAON,29,0,0,0,5,0,34
ASSAM,NAGAON,66,0,0,0,0,0,66
ASSAM,NALBARI,13,0,0,67,9,0,89
ASSAM,NORTH CACHAR HILLS,78,0,95,23,68,1,265
ASSAM,SIBSAGAR,4,0,0,0,0,0,4
ASSAM,SONITPUR,23,1,0,6,2,0,32
ASSAM,TINSUKIA,3,0,0,0,2,0,5
BIHAR,ARARIA,0,0,0,0,40,0,40
BIHAR,AURANGABAD,NA,NA,NA,NA,NA,NA,NA
BIHAR,BANKA,1763,2,6,40,160,2,1973
BIHAR,BEGUSARAI,2,0,0,0,0,0,2
BIHAR,BHABUA,278,4,36,3,69,7,397
BIHAR,BHAGALPUR,676,4,73,13,45,41,852
BIHAR,BHOJPUR,214,0,3,0,8,0,225
BIHAR,BOKARO,485,0,0,16,1881,0,2382
BIHAR,BUXAR,110,0,0,0,2,0,112
BIHAR,CHAMPARAN EAST,21,0,0,0,18,0,39
BIHAR,CHAMPARAN WEST,38,0,3,45,1,0,87
BIHAR,CHATRA,781,0,20,52,1413,3,2269
BIHAR,DARBHANGA,0,0,0,0,85,0,85
BIHAR,DEOGHAR,1125,3,17,220,1056,13,2434
BIHAR,DHANBAD,209,2,14,101,535,1,862
BIHAR,DUMKA,1061,8,15,483,7405,12,8984
BIHAR,GARHWA,859,2,62,804,970,10,2707
BIHAR,GAYA,6629,14,212,1168,143,9,8175
BIHAR,GIRIDIH,1986,5,20,421,239,0,2671
BIHAR,GODDA,1012,2,180,100,383,6,1683
BIHAR,GOPALGANJ,NA,NA,NA,NA,NA,NA,NA
BIHAR,GUMLA,132,1,0,25,110,4,272
BIHAR,HAZARIBAG,330,1,102,21,10,1,465
BIHAR,JAMUI,765,14,30,800,336,15,1960
BIHAR,JEHANABAD,390,1,0,6,126,0,523
BIHAR,KATIHAR,NA,NA,NA,NA,NA,NA,NA
BIHAR,KHAGARIA,0,0,0,0,2,0,2
