-----
{
 "description": "The table refers to district wise surface flow schemes according to constraints. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.14.csv", 
 "title": "Download CSV for Districtwise Surface Flow Schemes according to the constraints for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.14.csv"
}
-----
State,District,Total No. of Schemes in use,No. of Schemes with no constraints,Constraints in utilisation of irrigation potential created - Non-filling of storage,Constraints in utilisation of irrigation potential created - Siltation of storage,Constraints in utilisation of irrigation potential created - Break down of channel,Constraints in utilisation of irrigation potential created - Other reason,Total - Constraints in utilisation of irrigation potential created,Grand Total
ANDHRA PRADESH,ADILABAD,1207,873,183,66,12,73,334,1207
ANDHRA PRADESH,ANANTHAPUR,442,74,273,21,47,27,368,442
ANDHRA PRADESH,CHITTOOR,6194,1251,4055,149,362,377,4943,6194
ANDHRA PRADESH,CUDDAPAH,619,71,302,65,133,48,548,619
ANDHRA PRADESH,EAST GODAVARI,1561,782,207,14,27,531,779,1561
ANDHRA PRADESH,GUNTUR,128,83,10,1,16,18,45,128
ANDHRA PRADESH,HYDERABAD,37,12,1,1,6,17,25,37
ANDHRA PRADESH,KARIMNAGAR,2100,796,460,26,159,659,1304,2100
ANDHRA PRADESH,KHAMMAM,2217,1323,268,227,306,93,894,2217
ANDHRA PRADESH,KRISHNA,630,304,262,5,45,14,326,630
ANDHRA PRADESH,KURNOOL,813,119,439,10,163,82,694,813
ANDHRA PRADESH,MAHABOOB NAGAR,1524,209,759,15,399,142,1315,1524
ANDHRA PRADESH,MEDAK,1497,185,381,103,345,483,1312,1497
ANDHRA PRADESH,NALGONDA,823,416,147,10,191,59,407,823
ANDHRA PRADESH,NELLORE,1790,1301,199,52,16,222,489,1790
ANDHRA PRADESH,NIZAMABAD,1721,723,845,15,58,80,998,1721
ANDHRA PRADESH,PRAKASAM,928,742,12,1,113,60,186,928
ANDHRA PRADESH,RANGA REDDY,321,90,111,40,48,32,231,321
ANDHRA PRADESH,SRIKAKULUM,8268,7035,1089,9,82,53,1233,8268
ANDHRA PRADESH,VIJAYA NAGARAM,8461,5330,2710,66,169,186,3131,8461
ANDHRA PRADESH,VISAKHAPATNAM,5540,2501,1036,164,676,1163,3039,5540
ANDHRA PRADESH,WARANGAL,3155,2010,201,49,364,531,1145,3155
ANDHRA PRADESH,WEST GODAVARI,790,485,162,9,117,17,305,790
ARUNACHAL PRADESH,CHANGLANG,201,0,40,65,38,58,201,201
ARUNACHAL PRADESH,DIBANG VALLEY,37,15,0,2,10,10,22,37
ARUNACHAL PRADESH,EAST KAMENG,81,3,1,16,46,15,78,81
ARUNACHAL PRADESH,EAST SIANG,820,492,4,19,114,191,328,820
ARUNACHAL PRADESH,LOHIT,33,10,1,2,12,8,23,33
ARUNACHAL PRADESH,LOWER SUBANSIRI,693,352,0,2,154,185,341,693
ARUNACHAL PRADESH,PAPUM PARE,122,29,4,2,29,58,93,122
ARUNACHAL PRADESH,TAWANG,64,20,0,0,18,26,44,64
ARUNACHAL PRADESH,TIRAP,79,65,0,1,3,10,14,79
ARUNACHAL PRADESH,UPPER SIANG,270,92,12,0,100,66,178,270
ARUNACHAL PRADESH,UPPER SUBANSIRI,387,262,5,5,55,60,125,387
ARUNACHAL PRADESH,WEST KAMENG,17,5,0,0,0,12,12,17
ARUNACHAL PRADESH,WEST SIANG,190,155,0,0,7,28,35,190
ASSAM,BARPETA,4,0,0,0,1,3,4,4
ASSAM,BONGAIGAON,6,0,0,0,0,6,6,6
ASSAM,CACHAR,7,0,0,0,1,6,7,7
ASSAM,DARRANG,209,0,2,2,18,187,209,209
ASSAM,DHEMAJI,4,0,0,0,0,4,4,4
ASSAM,DHUBRI,47,0,37,0,7,3,47,47
ASSAM,DIBRUGARH,1,0,0,0,0,1,1,1
ASSAM,GOALPARA,144,0,0,0,3,141,144,144
ASSAM,GOLAGHAT,1,0,0,0,0,1,1,1
ASSAM,HAILAKANDI,NA,NA,NA,NA,NA,NA,NA,NA
ASSAM,JORHAT,4,0,0,0,4,0,4,4
ASSAM,KAMRUP,103,0,0,1,68,34,103,103
ASSAM,KARBI ANGLONG,1220,0,10,2,84,1124,1220,1220
ASSAM,KARIMGANJ,0,0,0,0,0,0,0,0
ASSAM,KOKRAJHAR,21,0,0,0,0,21,21,21
ASSAM,LAKHIMPUR,2,0,0,0,0,2,2,2
ASSAM,MARIGAON,19,0,0,3,6,10,19,19
ASSAM,NAGAON,23,0,0,1,2,20,23,23
ASSAM,NALBARI,88,0,2,3,6,77,88,88
ASSAM,NORTH CACHAR HILLS,261,0,5,0,1,255,261,261
ASSAM,SIBSAGAR,3,0,0,0,1,2,3,3
ASSAM,SONITPUR,29,0,0,0,2,27,29,29
ASSAM,TINSUKIA,5,0,0,0,0,5,5,5
BIHAR,ARARIA,40,0,0,16,24,0,40,40
BIHAR,AURANGABAD,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BANKA,1951,1,173,469,169,1139,1950,1951
BIHAR,BEGUSARAI,0,0,0,0,0,0,0,0
BIHAR,BHABUA,385,0,143,23,62,157,385,385
BIHAR,BHAGALPUR,831,0,58,53,165,555,831,831
BIHAR,BHOJPUR,206,0,13,22,5,166,206,206
BIHAR,BOKARO,2361,2,1794,386,37,142,2359,2361
BIHAR,BUXAR,70,1,5,3,0,61,69,70
BIHAR,CHAMPARAN EAST,39,0,0,0,0,39,39,39
BIHAR,CHAMPARAN WEST,58,0,9,4,15,30,58,58
BIHAR,CHATRA,2141,3,426,303,135,1274,2138,2141
BIHAR,DARBHANGA,85,0,0,0,0,85,85,85
BIHAR,DEOGHAR,2142,5,294,690,247,906,2137,2142
BIHAR,DHANBAD,762,1,39,161,99,462,761,762
BIHAR,DUMKA,7405,154,2006,1299,727,3219,7251,7405
BIHAR,GARHWA,2523,59,741,87,242,1394,2464,2523
BIHAR,GAYA,7738,56,2142,987,319,4234,7682,7738
BIHAR,GIRIDIH,2455,3,251,347,303,1551,2452,2455
BIHAR,GODDA,1372,0,247,273,96,756,1372,1372
BIHAR,GOPALGANJ,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,GUMLA,232,0,73,17,24,118,232,232
BIHAR,HAZARIBAG,425,0,60,27,128,210,425,425
BIHAR,JAMUI,1757,0,640,176,83,858,1757,1757
BIHAR,JEHANABAD,431,3,83,131,15,199,428,431
BIHAR,KATIHAR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KHAGARIA,0,0,0,0,0,0,0,0
