-----
{
 "description": "The table refers to district wise distribution of surface flow schemes according to source of finance. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.7.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes according to Finance source for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.7.csv"
}
-----
State,District,Government funds,Farmers saving,Loan & Saving,Subsidy & Bank loan,Subsidy only,Others,Total
ANDHRA PRADESH,ADILABAD,146,85,9,0,0,35,275
ANDHRA PRADESH,ANANTHAPUR,329,65,23,2,0,63,482
ANDHRA PRADESH,CHITTOOR,526,9,10,1,22,10,578
ANDHRA PRADESH,CUDDAPAH,79,18,0,1,0,34,132
ANDHRA PRADESH,EAST GODAVARI,247,36,22,2,13,52,372
ANDHRA PRADESH,GUNTUR,44,3,0,0,0,21,68
ANDHRA PRADESH,HYDERABAD,1,3,0,0,0,2,6
ANDHRA PRADESH,KARIMNAGAR,892,12,0,0,0,1,905
ANDHRA PRADESH,KHAMMAM,1874,155,226,268,38,20,2581
ANDHRA PRADESH,KRISHNA,543,100,15,2,7,78,745
ANDHRA PRADESH,KURNOOL,657,31,3,11,79,73,854
ANDHRA PRADESH,MAHABOOB NAGAR,3660,213,415,16,8,812,5124
ANDHRA PRADESH,MEDAK,1569,39,78,14,122,410,2232
ANDHRA PRADESH,NALGONDA,2461,215,125,18,58,17,2894
ANDHRA PRADESH,NELLORE,825,41,5,4,48,63,986
ANDHRA PRADESH,NIZAMABAD,1380,23,32,5,232,57,1729
ANDHRA PRADESH,PRAKASAM,204,250,5,2,8,2,471
ANDHRA PRADESH,RANGA REDDY,314,18,0,0,0,53,385
ANDHRA PRADESH,SRIKAKULUM,65,40,4,6,40,0,155
ANDHRA PRADESH,VIJAYA NAGARAM,0,1,0,0,0,139,140
ANDHRA PRADESH,VISAKHAPATNAM,921,79,10,5,140,1215,2370
ANDHRA PRADESH,WARANGAL,1844,168,100,34,17,338,2501
ANDHRA PRADESH,WEST GODAVARI,654,49,8,1,53,19,784
ARUNACHAL PRADESH,CHANGLANG,15,86,0,1,3,1,106
