-----
{
 "description": "The table presents data on R&D expenditure by Public or Joint Sector Undertakings for 2005-06. The data is collected and compiled as a part of National Survey on R&D resources by DST, New Delhi, Government of India.", 
 "file_name": "Expenditure_On_Research_And_Development_By_Public_or_Joint_Sector_Undertakings_2005-06.xls", 
 "title": "Download XLS for Expenditure On Research And Development By Public / Joint Sector Undertakings: 2005-06", 
 "url": "http://data.gov.in/sites/default/files/Expenditure_On_Research_And_Development_By_Public_or_Joint_Sector_Undertakings_2005-06.xls"
}
-----
"Ministry/Department/State","Public/Joint Sector Undertaking","R&D Expenditure (Rs. Lakhs)","R&D Expenditure as % of S.T.O."
"Atomic Energy","Electronics Corporation of India Ltd.",3637.0,5.2
"Atomic Energy","Indian Rare Earths Ltd.",201.9,0.61
"Agriculture and Cooperation","Indian Farmers Fertiliser Coop. Ltd. (Consolidated)",61.4,0.01
"Biotechnology","Bharat Immunologicals",8.0,0.26
"Chemicals and Petrochemicals","Hindustan Antibiotics Ltd.",108.48,2.22
"Chemicals and Petrochemicals","Hindustan Insecticides Ltd.",112.27,0.64
"Chemicals and Petrochemicals","Hindustan Organic Chemicals Ltd.",100.0,0.22
"Chemicals and Petrochemicals","Indian Petrochemicals Corporation Ltd.",1120.0,0.12
"Coal","Central Mine Planning & Design Institute Ltd.",2290.0,15.71
"Coal","Neyveli Lignite Corporation Ltd.",696.3,0.28
"Coal","The Singareni Collieries Company Ltd.",287.56,0.08
"Communication & Information Technology","CMC Ltd.",1181.0,12.89
"Communication & Information Technology","Semiconductor Complex Ltd.",495.76,18.77
"Communication & Information Technology","Central Electronics Ltd.",12.0,0.11
"Defence Production and Supplies","Bharat Dynamics Ltd.",457.22,0.86
"Defence Production and Supplies","Bharat Earth Movers Ltd.",1914.4,86.78
"Defence Production and Supplies","Bharat Electronics Ltd.",13015.0,3.68
"Defence Production and Supplies","Hindustan Aeronautics Ltd. (Consolidated)",37128.61,13.01
"Defence Production and Supplies","Goa Shipyard Ltd.",300.0,"NA"
"Defence Production and Supplies","Mishra Dhatu Nigam Ltd.",168.78,1.1
"Family Welfare","Hindustan Latex Ltd.",80.48,0.38
"Fertilizers","Fertilizers & Chemicals Travancore Ltd.",31.17,0.02
"Fertilizers","Rashtriya Chemicals & Fertilizers Ltd.",142.28,0.05
"Heavy Industry","Bharat Heavy Electricals Ltd. (Consolidated)",10220.38,0.71
"Heavy Industry","Bharat Heavy Plates & Vessels Ltd.",95.97,0.79
"Heavy Industry","Bharat Pumps & Compressors Ltd.",6.0,0.06
"Heavy Industry","HMT Ltd. (Consolidated)",861.66,3.53
"Heavy Industry","Heavy Engineering Corporation Ltd.",7.37,0.32
"Heavy Industry","Hindustan Cables Ltd.",90.0,3.0
"Heavy Industry","Hindustan Newsprint Ltd.",15.34,0.05
"Heavy Industry","Hindustan Photo Films Mfg. Co. Ltd.",67.57,4.62
"Heavy Industry","Hindustan Salts Ltd.",0.51,0.08
"Heavy Industry","Instrumentation Ltd.",26.46,0.12
