-----
{
 "description": "The table shows the Nutritional status of children aged 7 months-60 months by Expenditure classes. It provides state-wise details regarding the nutritional status of children who are under the ICDS scheme and those who are not covered under the scheme, categorized on the basis of  their by ...", 
 "file_name": "ICDS_Table9.4.xls", 
 "title": "Download XLS for Nutritional status of children aged 7 months-60 months by Occupation group", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table9.4.xls"
}
-----
"States/UTs ","ICDS-Agriculture-Moderately","ICDS-Agriculture-Severely","ICDS-Wage earners-Moderately","ICDS-Wage earners-Severely","ICDS-Others-Moderately","ICDS-Others-Severely","Non-ICDS-Agriculture-Moderately","Non-ICDS-Agriculture-Severely","Non-ICDS-Wage earners-Moderately","Non-ICDS-Wage earners-Severely","Non-ICDS-Others-Moderately","Non-ICDS-Others-Severely"
"Andhra Pradesh",37.4,4.1,53.1,6.4,11.3,0.7,34.9,0.0,58.7,9.0,25.2,1.4
"Assam",26.9,6.3,57.8,14.1,47.0,0.0,31.0,0.0,67.3,13.3,37.3,0.4
"Bihar",47.7,5.7,45.9,17.1,37.2,2.2,45.5,3.3,49.6,14.5,48.8,9.9
"Chhattisgarh",53.2,11.9,36.8,13.8,58.2,1.1,39.6,9.3,53.1,26.7,37.5,0.0
"Gujarat",53.6,9.1,49.5,5.8,58.0,2.1,57.7,1.0,35.9,23.1,18.2,0.0
"Haryana",43.0,0.0,42.3,4.7,42.7,0.0,30.6,0.0,68.8,2.0,32.8,0.0
"Himachal Pradesh",24.6,0.0,60.7,2.0,39.3,0.0,30.0,0.0,84.6,0.0,38.1,0.0
"Jammu and Kashmir",14.8,1.0,54.8,7.2,35.9,0.8,32.5,26.9,76.4,0.0,24.5,0.0
"Jharkhand",39.3,2.8,42.8,11.2,50.0,0.0,37.0,0.0,40.8,8.6,40.5,0.0
"Karnataka",43.8,3.5,63.76,9.7,32.7,0.0,58.0,0.6,36.6,21.5,12.2,0.0
"Kerala",41.7,17.2,44.0,1.2,12.0,0.0,"NA","NA",61.9,0.0,2.0,0.0
"Madhya Pradesh",46.1,7.3,53.7,11.9,55.1,7.0,65.7,3.7,59.2,19.0,52.6,5.3
"Maharashtra",46.8,3.1,52.6,2.0,22.3,2.0,36.4,1.3,31.0,17.8,35.3,1.6
"Orissa",53.7,14.8,48.0,10.4,35.7,3.0,68.0,10.0,40.7,29.9,24.3,1.8
"Punjab",34.9,0.0,28.7,6.6,41.5,0.0,26.1,0.0,33.3,3.4,10.0,8.8
"Rajasthan",44.5,4.6,47.2,14.2,39.7,5.0,55.1,14.3,58.2,24.6,31.8,0.6
"Tamil Nadu",46.6,2.1,44.8,4.3,28.8,1.4,37.5,9.5,35.2,4.2,56.0,0.2
"Uttar Pradesh",48.7,8.9,59.7,9.0,39.3,7.7,48.8,5.6,54.5,15.7,56.1,2.5
"Uttrakhand",40.2,0.0,44.9,9.0,42.8,2.1,0.0,0.0,45.9,12.0,35.7,0.0
"West Bengal",38.4,3.7,40.9,4.3,28.2,2.1,27.4,1.7,45.7,8.8,46.4,2.8
"Chandigarh","NA","NA",14.4,18.7,21.9,0.0,"NA","NA",0.0,0.0,82.2,0.0
"Arunachal Pradesh",39.7,10.7,9.4,62.4,45.6,0.0,100.0,0.0,16.9,0.0,16.9,0.0
"Manipur",0.0,0.0,9.1,0.0,40.9,0.0,0.0,0.0,27.8,0.0,6.4,0.0
"Meghalaya",18.8,0.0,34.3,5.3,44.6,6.3,0.0,0.0,49.2,20.2,22.5,0.0
"Mizoram",22.4,0.0,54.1,0.0,28.5,16.1,0.0,0.0,"NA","NA",0.0,0.0
"Nagaland",0.0,0.0,34.3,31.5,11.5,0.0,59.7,7.3,0.0,0.0,7.4,5.2
"Tripura",69.8,0.0,61.3,2.4,8.0,11.2,100.0,0.0,50.0,0.0,43.3,0.0
"Sikkim",20.6,0.0,32.5,0.0,29.9,0.0,0.0,0.0,0.0,0.0,45.7,0.0
"Dadar& Nagar Haveli",50.0,0.0,84.6,0.0,55.4,0.0,31.7,15.9,"NA","NA",9.1,0.0
"Daman & Diu","NA","NA",0.0,33.7,42.0,3.9,"NA","NA","NA","NA",12.8,0.0
"Goa",0.0,0.0,16.4,0.0,15.9,0.0,"NA","NA",0.0,0.0,56.5,0.0
"Puducherry","NA","NA",29.8,0.0,57.2,0.0,"NA","NA",9.7,0.0,0.0,0.0
"Andaman & Nicobar Islands",0.0,0.0,25.7,0.0,34.8,0.0,0.0,0.0,51.0,0.0,61.1,0.0
"All India",45.7,6.7,50.7,8.4,37.4,3.0,45.5,4.2,48.8,11.5,42.4,3.6
