-----
{
 "description": "The table refers to block wise irrigation potential utilised through Deep Tubewells . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.14.csv", 
 "title": "Download CSV for Block wise Irrigation potential utilised through Deep Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.14.csv"
}
-----
"State","District","Block","Actual area irrigated (Ha) - Kharif","Actual area irrigated (Ha) - Rabi","Actual area irrigated (Ha) - Perennial","Actual area irrigated (Ha) - Others"
"ANDHRA PRADESH","ADILABAD","ADILABAD",5,15,0,0
"ANDHRA PRADESH","ADILABAD","ASIFABAD",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BAZARHATHNOOR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BEJJUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BELA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BELLAMPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BHAINSA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BHEEMINI",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BOATH",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","CHENNUR",55,23,0,0
"ANDHRA PRADESH","ADILABAD","DAHEGAON",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","DANDEPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","DILAWARPUR",19,0,0,0
"ANDHRA PRADESH","ADILABAD","GUDIHATHNUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","ICHODA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","INDERAVELLY",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","JAINAD",62,31,2,0
"ANDHRA PRADESH","ADILABAD","JAINOOR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","JAIPUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","JANNARAM",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KADDAM (PEDDUR)",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KAGAZNAGAR",32,20,0,0
"ANDHRA PRADESH","ADILABAD","KASIPET",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KERAMERI",0,7,0,0
"ANDHRA PRADESH","ADILABAD","KHANPUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KOTAPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KOUTHALA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KUBEER",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KUNTALA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","LAHESRA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","LAXMANCHANDA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","LUXETTIPET",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","MAMDA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","MANCHERIAL",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","MANDAMARRI",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","MUDHOLE",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","NARNOOR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","NENNAL",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","NERADIGONDA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","NIRMAL",4,1,0,0
"ANDHRA PRADESH","ADILABAD","REBBENA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","SARANGAPUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","SIRPUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","SIRPUR (T)",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","TALAMADUGU",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","TAMSI",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","TANDUR",0,0,0,0
"ANDHRA PRADESH","ADILABAD","TANUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","TIRYANI",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","UTNUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","VEMANPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","WANKDI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","AGALI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","AMADAGUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","AMARAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","ANANTAPUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","ATMAKUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BATHALAPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BELUGUPPA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BOMMANAHAL",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BRAHMASAMUDRAM",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BUKKAPATNAM",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BUKKARAYASAMUDRAM",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","CHENNEKOTHAPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","CHILAMATHUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","D.HIREHAL",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","DHARMAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GANDLAPENTA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GARLADINNE",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GOOTY",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GORANTLA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GUDIBANDA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GUMMAGATA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GUNTAKAL",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","HINDUPUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KADIRI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KALYANDRUG",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KAMBADUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KANAGANAPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KANEKAL",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KOTHACHERUVU",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KUDAIR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KUNDURPI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","LEPAKSHI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","MADAKASIRA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","MUDIGUBBA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","NALLACHERUVU",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","NALLAMADA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","NAMBULAPULIKUNTA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","NARPALA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","OBULADEVARACHERUVU",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PAMIDI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PARIGI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PEDDAPAPPUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PEDDAVADUGUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PENUKONDA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PUTLUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PUTTAPARTHI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","RAMAGIRI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","RAPTADU",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","RAYADURG",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","RODDAM",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","ROLLA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","SETTUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","SINGANAMALA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","SOMANDEPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","TADIMARRI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","TADPATRI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","TALUPULA",NA,NA,NA,NA
