-----
{
 "description": "The table shows the investigators\u2019 observations on accuracy of maintenance of different records (%AWC). Record maintenance facilitates supervision and evaluation, and helps ensure better implementation of the ICDS programme. In most states attendance registers were updated pretty accurately and ...", 
 "file_name": "ICDS_Table6.39.xls", 
 "title": "Download XLS for Observation of the Investigator about Cleanliness of the AWC (% AWC)", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table6.39.xls"
}
-----
"States/UTs ","Maintenance registers","Maintenance of attendance","Recording individual growth cards"
"Andhra Pradesh",43.9,45.2,44.6
"Assam",37.5,44.4,19.2
"Bihar",10.8,21.8,1.7
"Chhattisgarh",10.0,43.1,18.7
"Gujarat",30.4,45.7,22.2
"Haryana",94.0,95.1,95.5
"Himachal Pradesh",60.0,71.3,54.0
"Jammu and Kashmir",26.9,29.0,2.6
"Jharkhand",59.6,73.9,36.9
"Karnataka",36.4,52.8,28.2
"Kerala",62.8,74.8,65.8
"Madhya Pradesh",21.4,30.6,10.5
"Maharashtra",73.4,88.1,70.8
"Orissa",52.9,50.5,50.0
"Punjab",71.3,71.3,0.0
"Rajasthan",8.7,14.7,3.9
"Tamil Nadu",71.3,69.8,58.8
"Uttar Pradesh",33.5,55.4,7.3
"Uttrakhand",49.7,55.4,9.7
"West Bengal",56.4,75.4,27.1
"Delhi",36.7,100.0,100.0
"Chandigarh",0.0,0.0,0.0
"Arunachal Pradesh",1.6,3.2,0.0
"Manipur",44.0,80.0,0.0
"Meghalaya",26.5,13.5,13.5
"Mizoram",100.0,100.0,40.0
"Nagaland",66.3,72.5,18.8
"Tripura",1.9,26.7,1.9
"Sikkim",14.3,14.3,0.0
"Dadar & Nagar Haveli",100.0,100.0,80.0
"Daman & Diu",80.0,100.0,100.0
"Goa",0.0,20.0,0.0
"Puducherry",80.0,100.0,40.0
"Andaman & Nicobar Island",25.4,33.7,5.7
"All India",41.4,53.9,28.2
