-----
{
 "description": "The table shows the percentage of children (aged below 6 year) suffered from the most common diseases during last one year. It gives the Community leader\u2019s perception about common diseases of children in the village. Rajasthan has the highest percentage of children (79.2%) free from all diseases, ...", 
 "file_name": "ICDS_Table6.47.xls", 
 "title": "Download XLS for Percentage of children (aged below 6 year) suffered from the most common diseases during last one year", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table6.47.xls"
}
-----
"States/UTs ","None","Diarrhea/dysentery","Cough/Cold & common fever","Others"
"Andhra Pradesh",32.5,15.4,45.2,6.9
"Assam",4.9,9.8,73.2,12.2
"Bihar",31.8,14.8,45.0,8.5
"Chhattisgarh",35.1,11.7,49.4,3.9
"Gujarat",28.3,23.3,35.0,13.3
"Haryana",48.2,7.1,41.1,3.6
"Himachal Pradesh",57.5,10.0,30.0,2.5
"Jammu and Kashmir",44.3,10.0,30.0,15.7
"Jharkhand",1.8,0.9,90.0,7.3
"Karnataka",10.2,17.4,71.4,1.0
"Kerala",16.7,2.8,80.6,0.0
"Madhya Pradesh",50.9,7.7,38.5,3.0
"Maharashtra",23.9,7.6,62.4,6.1
"Orissa",5.4,17.9,72.6,4.2
"Punjab",75.4,2.9,18.8,2.9
"Rajasthan",79.2,3.1,13.1,4.6
"Tamil Nadu",53.5,4.5,37.5,4.5
"Uttar Pradesh",33.8,18.4,39.0,8.9
"Uttrakhand",26.0,6.0,60.0,8.0
"West Bengal",1.7,7.2,87.2,3.9
"Delhi",80.0,0.0,15.0,5.0
"Chandigarh",50.0,0.0,50.0,0.0
"Arunachal Pradesh",0.0,56.0,36.0,8.0
"Manipur",30.0,10.0,60.0,0.0
"Meghalaya",0.0,18.8,81.3,0.0
"Mizoram",0.0,0.0,100.0,0.0
"Nagaland",12.5,12.5,43.8,31.3
"Tripura",17.4,30.4,52.2,0.0
"Sikkim",0.0,30.0,65.0,5.0
"Dadar & Nagar Haveli",40.0,10.0,50.0,0.0
"Daman & Diu",50.0,0.0,50.0,0.0
"Goa",0.0,0.0,100.0,0.0
"Puducherry",80.0,10.0,10.0,0.0
"Andaman & Nicobar Island",0.0,0.0,100.0,0.0
"All India",31.1,11.7,50.9,6.2
