-----
{
 "description": "The table shows Number of Visits by Auxiliary Nurse Midwife (ANM)/ Lady Health Visitor (LHV) in AWC and Issues discussed as reported by AWW. It gives details regarding visits in the last 30 days, last 90 days and last 6 months and the issues discussed thereof.", 
 "file_name": "ICDS_Table6.20.xls", 
 "title": "Download XLS for Number of Visits by ANM/ LHV in AWC and Issues Discussed: Reported by AWW", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table6.20.xls"
}
-----
"States/UTs","Visits by ANM/LHV (no.)-During last 30 days","Visits by ANM/LHV (no.)-During last 90 days","Visits by ANM/LHV (no.)-During last 6 months","What did he/she do? (%)-Guidance for preparing growth charts","What did he/she do? (%)-Record keeping","What did he/she do? (%)-Target/priority setting","What did he/she do? (%)-Link with administration"
"Andhra Pradesh",2.0,5.0,9.0,14.2,46.1,3.4,36.3
"Assam",1.0,3.0,7.0,15.2,47.9,29.7,7.2
"Bihar",1.0,3.0,6.0,0.7,88.7,10.6,0.0
"Chhattisgarh",2.0,7.0,13.0,17.3,35.3,47.4,0.0
"Gujarat",2.0,6.0,12.0,24.1,63.1,12.8,0.0
"Haryana",3.0,9.0,18.0,22.5,77.5,0.0,0.0
"Himachal Pradesh",1.0,4.0,7.0,0.0,55.1,44.9,0.0
"Jammu and Kashmir",1.0,3.0,6.0,0.6,61.3,37.2,0.9
"Jharkhand",1.0,3.0,5.0,36.4,29.4,34.2,0.0
"Karnataka",2.0,5.0,9.0,32.5,50.8,11.5,5.2
"Kerala",1.0,3.0,6.0,6.2,28.3,65.4,0.0
"Madhya Pradesh",2.0,5.0,11.0,17.2,72.8,7.4,2.6
"Maharashtra",2.0,4.0,9.0,25.5,57.2,15.9,1.4
"Orissa",2.0,5.0,10.0,10.6,75.3,14.1,0.0
"Punjab",1.0,5.0,9.0,0.0,100.0,0.0,0.0
"Rajasthan",1.0,4.0,8.0,10.9,80.4,8.7,0.0
"Tamil Nadu",1.0,4.0,9.0,24.7,48.3,18.8,8.2
"Uttar Pradesh",1.0,3.0,5.0,4.3,83.1,12.6,0.0
"Uttrakhand",1.0,3.0,6.0,0.0,58.6,41.4,0.0
"West Bengal",1.0,2.0,4.0,41.6,25.1,33.3,0.0
"Delhi",2.0,4.0,7.0,11.9,76.1,11.9,0.0
"Chandigarh",2.0,5.0,10.0,0.0,100.0,0.0,0.0
"Arunachal Pradesh",0.0,0.0,1.0,0.0,50.0,50.0,0.0
"Manipur",0.0,1.0,2.0,0.0,69.3,15.3,15.3
"Meghalaya",1.0,3.0,6.0,8.1,41.9,50.0,0.0
"Mizoram",0.0,0.0,0.0,"NA","NA","NA","NA"
"Nagaland",0.0,0.0,0.0,7.8,92.2,0.0,0.0
"Tripura",0.0,0.0,0.0,0.0,0.0,100.0,0.0
"Sikkim",1.0,3.0,4.0,0.0,100.0,0.0,0.0
"Dadar & Nagar Haveli",1.0,4.0,8.0,20.0,60.0,20.0,0.0
"Daman & Diu",2.0,6.0,15.0,0.0,60.0,40.0,0.0
"Goa",1.0,2.0,4.0,0.0,100.0,0.0,0.0
"Puducherry",1.0,4.0,5.0,40.0,20.0,40.0,0.0
"Andaman & Nicobar Island",1.0,3.0,5.0,31.0,39.2,29.8,0.0
"All India",1.0,4.0,8.0,16.0,61.5,18.4,4.1
