-----
{
 "description": "The table refers to district wise distribution of dug-wells according to horse power of lifting device. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.10.csv", 
 "title": "Download CSV for District wise Dugwells according to horse power of lifting device for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.10.csv"
}
-----
"State","District","Horse Power (0-2)","Horse Power (2 - 4)","Horse Power (4 - 6)","Horse Power (6 -8)","Horse Power (8 - 10)","Horse Power (Above 10)","Unspecified","Total"
"ANDHRA PRADESH","ADILABAD",720,15987,5943,39,34,32,2664,25419
"ANDHRA PRADESH","ANANTHAPUR",126,3027,46938,4518,366,86,519,55580
"ANDHRA PRADESH","CHITTOOR",389,65432,50239,1880,461,179,3112,121692
"ANDHRA PRADESH","CUDDAPAH",65,5020,31285,2322,534,94,1596,40916
"ANDHRA PRADESH","EAST GODAVARI",9,8,808,797,187,146,130,2085
"ANDHRA PRADESH","GUNTUR",169,1075,3085,24,14,3,7776,12146
"ANDHRA PRADESH","HYDERABAD",0,12,63,2,4,0,9,90
"ANDHRA PRADESH","KARIMNAGAR",1566,175130,18273,534,188,269,2605,198565
"ANDHRA PRADESH","KHAMMAM",379,20603,12456,42,29,6,850,34365
"ANDHRA PRADESH","KRISHNA",29,3998,8887,1105,620,134,783,15556
"ANDHRA PRADESH","KURNOOL",38,925,32855,640,133,41,97,34729
"ANDHRA PRADESH","MAHABOOB NAGAR",189,12009,86792,951,267,103,1307,101618
"ANDHRA PRADESH","MEDAK",132,41178,23416,236,40,53,342,65397
"ANDHRA PRADESH","NALGONDA",280,62926,47696,588,83,144,950,112667
"ANDHRA PRADESH","NELLORE",93,2147,29483,418,146,35,6,32328
"ANDHRA PRADESH","NIZAMABAD",45,9217,23086,38,18,106,84,32594
"ANDHRA PRADESH","PRAKASAM",369,4713,22487,514,258,33,0,28374
"ANDHRA PRADESH","RANGA REDDY",157,17501,16340,251,57,62,167,34535
"ANDHRA PRADESH","SRIKAKULUM",263,3786,3722,11,9,37,27251,35079
"ANDHRA PRADESH","VIJAYA NAGARAM",106,4917,3470,18,26,9,26606,35152
"ANDHRA PRADESH","VISAKHAPATNAM",155,1933,7911,200,209,84,15151,25643
"ANDHRA PRADESH","WARANGAL",1156,142470,9708,90,19,150,2967,156560
"ANDHRA PRADESH","WEST GODAVARI",12,195,7012,4142,2592,1340,29,15322
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","BARPETA",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","BONGAIGAON",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","CACHAR",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","DARRANG",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","DHEMAJI",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","DHUBRI",0,0,15,0,0,0,5,20
"ASSAM","DIBRUGARH",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","GOALPARA",0,0,1,0,0,0,0,1
"ASSAM","GOLAGHAT",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","HAILAKANDI",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","JORHAT",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","KAMRUP",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","KARBI ANGLONG",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","KARIMGANJ",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","KOKRAJHAR",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","LAKHIMPUR",0,0,4,0,0,0,0,4
"ASSAM","MARIGAON",0,0,2,0,0,0,0,2
"ASSAM","NAGAON",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","NALBARI",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","NORTH CACHAR HILLS",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","SIBSAGAR",0,0,2,0,0,0,0,2
"ASSAM","SONITPUR",0,0,5,0,0,0,4,9
"ASSAM","TINSUKIA",NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","ARARIA",0,0,1,0,0,0,4,5
"BIHAR","AURANGABAD",85,783,3621,38,2,5,4522,9056
"BIHAR","BANKA",9,65,2312,1,1,1,4316,6705
"BIHAR","BEGUSARAI",4,0,1,0,0,0,33,38
"BIHAR","BHABUA",225,1226,2112,2334,290,25,719,6931
"BIHAR","BHAGALPUR",19,514,1724,52,1,10,1744,4064
"BIHAR","BHOJPUR",12,16,1487,814,4,1,1428,3762
"BIHAR","BOKARO",1007,49,646,0,70,1,6140,7913
"BIHAR","BUXAR",48,76,1057,336,180,1,415,2113
"BIHAR","CHAMPARAN EAST",1,0,3,0,0,0,26,30
"BIHAR","CHAMPARAN WEST",0,0,5,0,0,0,7,12
"BIHAR","CHATRA",1934,239,2579,4,1,3,7440,12200
"BIHAR","DARBHANGA",0,0,11,0,0,4,5,20
"BIHAR","DEOGHAR",110,66,6044,4,0,11,2210,8445
"BIHAR","DHANBAD",413,53,360,0,4,1,1758,2589
"BIHAR","DUMKA",1647,417,11843,17,3,27,15513,29467
"BIHAR","GARHWA",660,212,5601,4,2,19,6866,13364
"BIHAR","GAYA",833,1547,10987,17,25,21,5437,18867
"BIHAR","GIRIDIH",1595,202,4710,32,13,544,15270,22366
"BIHAR","GODDA",45,41,780,3,2,3,6431,7305
"BIHAR","GOPALGANJ",5,0,282,11,1,3,1799,2101
"BIHAR","GUMLA",4407,299,896,4,2,20,26718,32346
"BIHAR","HAZARIBAG",10284,386,2183,1,2,29,18995,31880
"BIHAR","JAMUI",53,226,1400,6,13,3,4146,5847
"BIHAR","JEHANABAD",39,428,2263,78,1,4,534,3347
"BIHAR","KATIHAR",0,0,2,0,0,0,0,2
"BIHAR","KHAGARIA",0,0,3,3,0,0,0,6
"BIHAR","KISHANGANJ",0,0,0,0,1,0,0,1
"BIHAR","KODARMA",856,390,1955,0,0,9,6543,9753
"BIHAR","LAKHISARAI",101,7,156,4,0,0,341,609
"BIHAR","LOHARDAGA",6376,31,300,2,0,3,8900,15612
"BIHAR","MADHEPURA",0,0,2,0,0,0,0,2
"BIHAR","MADHUBANI",5,1,12,2,0,0,39,59
"BIHAR","MUNGER",7,49,998,6,1,3,1064,2128
"BIHAR","MUZAFFARPUR",300,0,248,0,0,2,910,1460
"BIHAR","NALANDA",1080,926,18932,153,92,49,1223,22455
"BIHAR","NAWADA",290,416,1683,7,2,10,3479,5887
"BIHAR","PAKUR",9,1,143,0,0,0,729,882
"BIHAR","PALAMU",1562,1135,5155,9,8,17,14899,22785
"BIHAR","PATNA",50,1436,4134,148,4,10,1276,7058
"BIHAR","PURNIA",0,0,3,0,0,0,0,3
"BIHAR","RANCHI",18875,711,719,8,1,119,18938,39371
"BIHAR","ROHTAS",423,757,3581,1298,53,29,944,7085
"BIHAR","SAHARSA",NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","SAHEBGANJ",38,3,619,3,0,2,1439,2104
"BIHAR","SAMASTIPUR",0,0,1,0,0,0,22,23
"BIHAR","SARAN",149,8,189,0,2,10,2524,2882
"BIHAR","SHEIKHPURA",4,3,382,0,0,0,155,544
"BIHAR","SHEOHAR",NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","SINGHBHUM EAST",87,40,1260,5,1,8,948,2349
"BIHAR","SINGHBHUM WEST",270,20,686,1,3,0,3782,4762
"BIHAR","SITAMARHI",0,0,1,0,0,0,9,10
"BIHAR","SIWAN",23,1,212,10,0,0,10765,11011
"BIHAR","SUPAUL",NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","VAISHALI",2,122,1271,31,0,1,155,1582
"GOA","NORTH GOA",957,457,264,14,13,13,1135,2853
"GOA","SOUTH GOA",378,310,239,24,36,16,119,1122
"GUJARAT","",NA,NA,NA,NA,NA,NA,NA,NA
"HARYANA","AMBALA",9,12,807,472,166,265,0,1731
"HARYANA","BHIWANI",13,13,386,1266,2560,269,5,4512
"HARYANA","FARIDABAD",NA,NA,NA,NA,NA,NA,NA,NA
"HARYANA","GURGAON",283,94,1644,1675,354,48,8,4106
"HARYANA","HISAR",0,0,1,44,108,2,0,155
"HARYANA","JIND",NA,NA,NA,NA,NA,NA,NA,NA
"HARYANA","KAITHAL",3,0,1449,3053,229,27,31,4792
"HARYANA","KARNAL",1,0,1147,880,70,8,5,2111
