-----
{
 "description": "The table refers to state wise distribution of surface lift schemes according to social status. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Natsrfclfttab5.4_1.csv", 
 "title": "Download CSV for Statewise Distribution of surface lift schemes according to social status for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Natsrfclfttab5.4_1.csv"
}
-----
State,Schedule Caste,Schedule Tribe,Others,Total,Owned by other than Individual/Group of farmers,Grand Total
ANDHRA PRADESH,1200,2135,14594,17929,1497,19426
ARUNACHAL PRADESH,NA,NA,NA,NA,NA,NA
ASSAM,604,1861,5856,8321,789,9110
BIHAR,491,3025,2598,6114,4952,11066
GOA,5,0,672,677,75,752
GUJARAT,NA,NA,NA,NA,NA,NA
HARYANA,0,0,181,181,1,182
HIMACHAL PRADESH,7,7,139,153,404,557
JAMMU & KASHMIR,11,0,37,48,303,351
KARNATAKA,1536,1222,29078,31836,512,32348
KERALA,101,69,10504,10674,590,11264
MADHYA PRADESH,11300,34418,128906,174624,14251,188875
MAHARASHTRA,NA,NA,NA,NA,NA,NA
MANIPUR,0,0,0,0,20,20
MEGHALAYA,0,3,0,3,12,15
MIZORAM,0,9,0,9,3,12
NAGALAND,0,19,0,19,0,19
ORISSA,1042,2277,9044,12363,8241,20604
PUNJAB,38,0,713,751,13,764
RAJASTHAN,12,81,105,198,91,289
SIKKIM,NA,NA,NA,NA,NA,NA
TAMIL NADU,219,37,9560,9816,1761,11577
TRIPURA,69,80,255,404,425,829
UTTAR PRADESH,240,263,2363,2866,600,3466
WEST BENGAL,13357,1508,61445,76310,7335,83645
ANDAMAN & NICOBARS,2,19,1185,1206,4,1210
CHANDIGARH,NA,NA,NA,NA,NA,NA
DADRA & NAGAR HAVELI,1,31,1,33,21,54
DAMAN & DIU,NA,NA,NA,NA,NA,NA
DELHI,NA,NA,NA,NA,NA,NA
LAKSHADWEEP,NA,NA,NA,NA,NA,NA
PONDICHERRY,41,0,360,401,5,406
ALL INDIA,30276,47064,277596,354936,41905,396841
