-----
{
 "description": "This table provides data related to outlay and actual expenditure during the Tenth Plan of the Department of Health and Family Welfare.", 
 "file_name": "Outlay_and_Actual_Expenditure_other_than_NRHM_during_the_Tenth_Plan_for_Department_of_Health_and_Family_Welfare.xls", 
 "title": "Download XLS for Outlay and Actual Expenditure other than NRHM during the Tenth Plan for Department of Health and Family Welfare", 
 "url": "http://data.gov.in/sites/default/files/Outlay_and_Actual_Expenditure_other_than_NRHM_during_the_Tenth_Plan_for_Department_of_Health_and_Family_Welfare.xls"
}
-----
"Schemes/Programmes","Detail","Name of the Schemes/Institutions","Outlay Tenth Plan (2002–07)","Tenth Plan (2002–07) Sum of AnnualOutlay ","Tenth Plan (2002–07) Sum of Actual Expenditure"
"CENTRALLY SPONSORED PROGRAMMES","Control of Communicable Diseases","1 NACP and National STD Control Programme",1392.8,2165.17,2055.55
"CENTRALLY SPONSORED PROGRAMMES","1 - Control of NCDs","2(i) Cancer : NCCP",266.0,333.0,252.63
"CENTRALLY SPONSORED PROGRAMMES","1 - Control of NCDs","2(ii) Cancer : Tobacco Control Programme",0.0,0.0,0.0
"CENTRALLY SPONSORED PROGRAMMES","1 - Control of NCDs","3 NMHP",139.0,183.0,106.5
"CENTRALLY SPONSORED PROGRAMMES","3- Other Programmes","4 Assistance to State for Capacity Building for Trauma Care",110.0,140.0,142.03
"CENTRALLY SPONSORED PROGRAMMES","3- Other Programmes","5(i) Assistance to States for Drug & PFA Control : Drugs Control",60.0,0.0,0.0
"CENTRALLY SPONSORED PROGRAMMES","3- Other Programmes","5(ii) Assistance to States for Drug & PFA Control : PFA Control",78.0,0.0,0.0
"CENTRALLY SPONSORED PROGRAMMES","New Initiatives under CSS","6(i) Initiatives during 2006–07 : Telemedicine",0.0,15.0,0.0
"CENTRALLY SPONSORED PROGRAMMES","New Initiatives under CSS","6(iii) Initiatives during 2006–07 : CVD, and Stroke",0.0,5.0,0.0
"CENTRALLY SPONSORED PROGRAMMES","New Initiatives under CSS","6(iv) Initiatives during 2006–07 : National Programme for Deafness",0.0,15.0,4.23
"CENTRALLY SPONSORED PROGRAMMES","New Initiatives under CSS","6(v) Initiatives during 2006–07 : Other Initiatives",0.0,26.0,0.0
"CENTRAL SECTOR SCHEMES (CS)","Control of Communicable Diseases","7(i) NICD : Ongoing Activities (including Guineaworm & Yaws Eradication)",50.0,0.0,0.0
"CENTRAL SECTOR SCHEMES (CS)","Control of Communicable Diseases","7(ii) NICD : Strengthening of the Institute",15.0,4.0,0.0
"CENTRAL SECTOR SCHEMES (CS)","Control of Communicable Diseases","8 National Tuberculosis Institute, Bangalore",10.3,9.73,3.49
"CENTRAL SECTOR SCHEMES (CS)","Control of Communicable Diseases","9 BCG Vaccine Laboratory, Guindy, Chennai",19.5,17.27,9.48
"CENTRAL SECTOR SCHEMES (CS)","Control of Communicable Diseases","10 Pasteur Institute of India, Coonoor",35.0,44.0,31.18
"CENTRAL SECTOR SCHEMES (CS)","Control of Communicable Diseases","11 Lala Ram Sarup Institute of Tuberculosis and Allied Diseases, Mehrauli, Delhi",54.5,52.55,55.54
"CENTRAL SECTOR SCHEMES (CS)","Control of Communicable Diseases","12 Central Leprosy Training & Research Institute, Chengalpattu (Tamil Nadu)",5.5,7.0,4.73
"CENTRAL SECTOR SCHEMES (CS)","Control of Communicable Diseases","13 (i) Regional Institute of Training, Research & Treatment under Leprosy : Control Programme: RLTRI, Aska (Orissa)",2.0,2.35,0.37
"CENTRAL SECTOR SCHEMES (CS)","Control of Communicable Diseases","13 (ii) Regional Institute of Training, Research & Treatment under Leprosy : Control Programme: RLTRI, Raipur (MP)",1.0,0.96,0.71
"CENTRAL SECTOR SCHEMES (CS)","Control of Communicable Diseases","13 (iii) Regional Institute of Training, Research & Treatment under Leprosy : Control Programme: RLTRI, Gauripur (WB)",7.0,7.6,6.05
