-----
{
 "description": "This table gives the Commodity Balance of Petroleum and Petroleum Products in India. It gives details of Crude Oil and Petroleum products regarding Domestic production, Imports, Exports, etc. for the years 1950-51, 1960-61, 1970-71, 1980-81, 1990-91, 2000-01, 2007-08, 2008-09, 2009-10, 2010-11 and ...", 
 "file_name": "tab129.xls", 
 "title": "Download XLS for Commodity Balance of Petroleum and Petroleum Products(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab129.xls"
}
-----
"","","","","","","","","","","","",""
"1.29 COMMODITY BALANCE OF PETROLEUM AND PETROLEUM PRODUCTS","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Item","1950-51a","1960-61a","1970-71a","1980-81","1990-91","2000-01","2007-08","2008-9","2009-10","2010-11","2011-12","2012-13"
"","","","","","","","","","","","","(Apr.-Nov.)"
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0
"I. Crude Oil","","","","","","","","","","","",""
"1. Refinery throughput",0.3,6.6,18.4,25.8,51.8,103.4,156.1,160.8,192.8,206.2,211.4,144.0
"2. Domestic production",0.3,0.5,6.8,10.5,32.2,32.4,34.1,33.5,33.7,37.7,38.1,25.4
"     (a) On-shore",0.3,0.5,6.8,5.5,11.8,11.8,11.2,11.3,11.8,16.4,18.0,13.1
"     (b) Off-shore","...","...","...",5.0,20.4,20.6,22.9,22.2,21.9,21.3,20.1,12.3
"3. Imports","na",6.0,11.7,16.2,20.7,74.1,121.7,132.8,159.0,163.6,171.7,118.0
"4. Exports","...","...","...","...","...","...","...","...","…","…","",""
"5. Net imports (3-4)","na",6.0,11.7,16.2,20.7,74.1,121.7,132.8,159.0,163.6,171.7,118.0
"II. Petroleum Products","","","","","","","","","","","",""
"1. Domestic consumption b",3.3,7.7,17.9,30.9,55.0,100.1,128.9,133.6,137.8,141.0,148.0,102.1
"of which","","","","","","","","","","","",""
"     (a) Naphtha ","...","...",0.9,2.3,3.4,11.7,13.29,13.9,10.1,10.7,11.1,8.2
"     (b) Kerosene",0.9,2.0,3.3,4.2,8.4,11.3,9.37,9.3,9.3,8.9,8.2,5.0
"     (c) High speed diesel oil",0.2,1.2,3.8,10.3,21.1,37.9,47.67,51.7,56.2,60.1,64.7,45.7
"     (d) Fuel oils",0.9,1.7,4.7,7.5,9.0,12.7,12.72,12.6,11.6,10.8,9.2,5.4
"2. Domestic production c",0.2,5.7,17.1,24.1,48.6,95.6,144.9,150.5,179.8,190.3,196.7,137.6
"of which","","","","","","","","","","","",""
"     (a) Naphtha","na","...",1.2,2.1,4.9,9.9,16.4,14.8,17.1,17.5,17.2,11.0
"     (b) Kerosene","na",0.9,2.9,2.4,5.5,8.7,7.8,8.2,8.5,7.7,7.5,5.2
"     (c) High speed diesel oil","na",1.1,3.8,7.4,17.2,39.1,58.4,62.9,73.3,78.1,81.9,59.2
"     (d) Fuel oils","na",1.6,4.1,6.1,9.4,11.4,15.8,17.7,18.3,20.1,19.5,11.0
"3. Imports",3.1,2.5,1.1,7.3,8.7,9.3,22.5,18.5,14.7,16.8,15.0,10.4
"4. Exports","na","na",0.3,"…",2.7,8.4,40.8,38.9,51.0,59.1,60.8,41.1
"5. Net Imports (3-4)","na","na",0.8,7.3,6.0,0.9,-18.3,-20.4,-36.3,-42.3,-45.8,-30.7
"Source: Ministry of Petroleum and Natural Gas.","","","","","","","","","","","",""
"a   Calender year ","","","","","","","","","","","",""
"b   Excluding refinery fuel consumption including import by private parties.","","","","","","","","","","","",""
"c   Excludes LPG production from fractionators","","","","","","","","","","","",""
"na: Not available.","","","","","","","","","","","",""
