-----
{
 "description": "The table shows the Investigators observations on about items of Pre-School Education (PSE) (% AWC). It can be seen that Bihar had the least number of AWC with adequate facilities for PSE with only around 10-20 per cent having the required items for PSE. ", 
 "file_name": "ICDS_Table6.43.xls", 
 "title": "Download XLS for Investigators Observations on about Items of PSE (% AWC)", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table6.43.xls"
}
-----
"States/UTs ","Toys","Building blocks","Counting frames","Paint/brushes","Posters/charts","Learning aids/ kits for non-formal education","Pamphlets","Story books/ picture books","Material made by AWW"
"Andhra Pradesh",53.1,36.1,40.6,30.8,82.4,71.4,63.5,69.2,40.3
"Assam",48.5,44.1,60.6,49.7,83.5,57.1,53.4,76.8,50.7
"Bihar",10.4,0.0,15.1,4.3,50.3,7.9,14.3,21.3,3.8
"Chhattisgarh",75.2,49.5,68.9,16.8,75.6,58.4,60.5,62.8,14.8
"Gujarat",85.7,68.1,62.6,33.8,75.8,45.8,20.8,32.4,27.3
"Haryana",84.3,63.9,94.3,27.1,98.8,97.3,96.0,96.8,44.3
"Himachal Pradesh",100.0,83.5,98.8,60.3,98.8,97.6,87.5,96.2,82.4
"Jammu and Kashmir",60.2,44.8,48.3,3.3,85.4,51.5,76.2,79.5,78.8
"Jharkhand",30.8,7.0,26.0,11.8,78.1,47.0,28.9,35.9,5.9
"Karnataka",79.1,53.3,82.2,41.5,89.9,78.7,63.7,78.1,34.5
"Kerala",96.9,95.1,96.9,69.3,95.1,96.9,79.9,87.7,29.6
"Madhya Pradesh",44.3,19.8,48.9,8.8,73.9,47.1,39.9,38.7,30.1
"Maharashtra",87.3,82.0,95.7,67.1,96.3,84.3,83.2,85.5,67.2
"Orissa",86.8,77.6,89.8,56.9,91.3,87.4,84.5,87.3,40.9
"Punjab",47.8,22.5,12.7,0.0,89.5,17.1,5.1,42.3,28.9
"Rajasthan",69.4,27.6,36.0,8.3,81.5,41.8,52.6,52.8,40.5
"Tamil Nadu",73.4,78.9,76.5,57.2,77.1,78.3,65.8,75.3,66.5
"Uttar Pradesh",73.9,62.3,83.6,23.1,80.5,57.5,25.6,52.1,25.2
"Uttrakhand",57.2,56.9,64.4,19.6,87.7,62.2,28.8,52.6,51.4
"West Bengal",41.6,21.8,25.5,8.1,47.8,20.5,16.6,30.8,4.8
"Delhi",60.0,18.3,49.2,0.0,70.8,60.0,60.0,49.2,10.8
"Chandigarh",80.0,80.0,80.0,0.0,100.0,100.0,20.0,100.0,40.0
"Arunachal Pradesh",9.4,3.1,3.1,0.0,15.5,6.2,0.0,3.1,0.0
"Manipur",72.0,56.0,60.0,16.0,88.1,56.0,68.1,36.0,36.0
"Meghalaya",93.5,93.5,100.0,40.0,86.5,86.5,52.9,86.5,87.1
"Mizoram",100.0,100.0,40.0,0.0,80.0,0.0,0.0,100.0,20.0
"Nagaland",53.8,62.6,65.1,4.9,68.7,43.8,2.4,13.8,72.5
"Tripura",17.3,18.1,37.9,34.6,62.7,38.1,26.5,78.4,20.0
"Sikkim",25.7,31.3,74.3,0.0,85.7,74.3,14.3,65.7,5.7
"Dadar & Nagar Haveli",40.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0
"Daman & Diu",60.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0
"Goa",80.0,0.0,80.0,0.0,100.0,0.0,100.0,100.0,0.0
"Puducherry",40.0,80.0,80.0,40.0,100.0,60.0,40.0,40.0,60.0
"Andaman & Nicobar Island",94.3,63.6,80.3,60.6,100.0,94.3,52.2,100.0,66.3
"All India",62.3,47.0,60.0,28.5,77.7,55.8,46.5,57.5,33.2
