-----
{
 "description": "The table gives the Index Numbers of Wholesale Prices of selected commodities and commodity groups since 1994-95. The figures are given at 1993-94 and 2004-05 base year prices.\r", 
 "file_name": "tab52.xls", 
 "title": "Download XLS for Index Numbers of Wholesale Prices - Selected Commodities and Commodity Groups(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab52.xls"
}
-----
"5.2 : INDEX NUMBERS OF WHOLESALE PRICES – SELECTED COMMODITIES AND COMMODITY GROUPS","","","","","","","","","","","","","","","","",""
"(Base: 2004-05=100)","","","","","","","","","","","","","","","","",""
"","Rice","Wheat","Pulses","Tea","Raw","Raw","Ground-","Coal","Mineral","Sugar,","Edible","Cotton","Cotton","Jute,hemp","Fertili-","Cement","Iron,steel"
"","","","","","cotton","jute","nut","mining","oils","khandsari","oils","yarn","cloth","& mesta","zers","","& ferro"
"","","","","","","","seed","","","& gur","","","(Mills)","textiles","","","alloysa"
"Weight-Base:(1993-94=100)",2.45,1.38,0.6,0.16,1.36,0.11,1.03,1.75,6.99,3.93,2.76,3.31,0.9,0.38,3.69,1.73,3.72
"Weight-Base:(2004-05=100)",1.79348,1.11595,0.71662,0.11233,0.70488,0.06373,0.39668,2.09419,9.36439,2.08859,3.04293,1.37708,1.22818,0.26129,2.66123,1.38646,6.87862
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0
"Last week of (Base:1993-94=100)","","","","","","","","","","","","","","","","",""
"1994-95",112.0,113.0,124.0,76.0,173.0,140.0,136.0,106.0,106.0,110.0,118.0,152.0,134.0,121.0,122.0,127.0,112.0
"1995-96",120.0,119.0,147.0,93.0,131.0,261.0,130.0,107.0,106.0,114.0,111.0,141.0,141.0,164.0,130.0,140.0,119.0
"1996-97",130.0,156.0,145.0,113.0,136.0,"na",130.0,125.0,129.0,126.0,112.0,135.0,148.0,150.0,137.0,130.0,126.0
"1997-98",135.0,137.0,152.0,162.0,166.0,117.0,138.0,144.0,146.0,134.0,120.0,143.0,150.0,152.0,137.0,121.0,133.0
"1998-99",161.0,171.0,152.0,123.0,155.0,108.0,148.0,144.0,144.0,154.0,135.0,143.0,155.0,160.0,142.0,128.0,134.0
"1999-00",166.0,180.0,169.0,104.0,145.0,156.0,139.0,156.0,204.0,158.0,111.0,140.0,155.0,170.0,155.0,127.0,136.0
"2000-01",165.0,172.0,182.0,116.0,156.0,171.0,140.0,185.0,240.0,149.0,105.0,153.0,157.0,169.0,160.0,153.0,137.0
"2001-02",162.0,177.0,176.0,91.0,123.0,187.0,145.0,181.0,243.0,145.0,119.0,139.0,161.0,184.0,166.0,146.0,137.0
"2002-03",168.0,178.0,177.0,104.0,165.0,131.0,199.0,181.0,287.0,129.0,151.0,153.0,162.0,165.0,169.0,147.0,150.0
