-----
{
 "description": "The table shows the Net Availability, Procurement and Public Distribution of Food grains in India (in Mn.tonnes). It gives details regarding net production, net imports, net availability, procurement and public distribution of Food grains since 1950-51.", 
 "file_name": "tab117.xls", 
 "title": "Download XLS for Net Availability, Procurement and Public Distribution of Foodgrains(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab117.xls"
}
-----
"1.17 NET AVAILIBILITY, PROCUREMENT AND PUBLIC DISTRIBUTION OF FOODGRAINS","","","","","","","",""
"","","","","","","","(Million tonnes)",""
"Year","Net production of foodgrains","Net Imports","Net Availability of Foodgrainsa","Procure-","Public","Col. 3 as","Col. 5 as","Col. 6 as"
"","","","","ment","distribution b","per cent","per cent","per cent"
"","","","","","","of Col. 4","of Col. 2","of Col. 4"
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
1951.0,48.1,4.8,52.4,3.8,8.0,9.2,7.9,15.3
1961.0,72.0,3.5,75.7,0.5,4.0,4.6,0.7,5.3
1971.0,94.9,2.0,94.3,8.9,7.8,2.1,9.3,8.3
1972.0,92.0,"(-)0.5",96.2,7.7,10.5,"(-)0.5",8.3,10.9
1973.0,84.9,3.6,88.8,8.4,11.4,4.0,9.9,12.8
1974.0,91.6,5.2,97.1,5.6,10.8,5.3,6.2,11.1
1975.0,87.4,7.5,89.3,9.6,11.3,8.4,10.9,12.6
1976.0,105.9,0.7,95.8,12.8,9.2,0.7,12.1,9.6
1977.0,97.3,0.1,99.0,9.9,11.7,0.1,10.1,11.8
1978.0,110.6,"(-)0.6",110.2,11.1,10.2,"(-)0.5",10.0,9.2
1979.0,115.4,"(-)0.2",114.9,13.8,11.7,"(-)0.2",12.0,10.2
1980.0,96.0,"(-)0.3",101.4,11.2,15.0,"(-)0.3",11.6,14.8
1981.0,113.4,0.7,114.3,13.0,13.0,0.6,11.4,11.4
1982.0,116.6,1.6,116.9,15.4,14.8,1.4,13.2,12.6
1983.0,113.3,4.1,114.7,15.6,16.2,3.5,13.7,14.1
1984.0,133.3,2.4,128.6,18.7,13.3,1.8,14.0,10.4
1985.0,127.4,"(-)0.4",124.3,20.1,15.8,"(-)0.3",15.8,12.7
1986.0,131.6,0.5,133.8,19.7,17.3,0.4,15.0,12.9
1987.0,125.5,"(-)0.2",134.8,15.7,18.7,"(-)0.1",12.5,13.8
1988.0,122.8,3.8,130.8,14.1,18.6,2.9,11.5,14.2
1989.0,148.7,1.2,147.2,18.9,16.4,0.8,12.7,11.1
1990.0,149.7,1.3,144.8,24.0,16.0,0.9,16.0,11.0
1991.0,154.3,"(-)0.1",158.6,19.6,20.8,"...",12.7,13.1
1992.0,147.3,"(-)0.4",148.5,17.9,18.8,"(-)0.3",12.2,12.7
1993.0,157.5,3.1,149.8,28.1,16.4,2.1,17.9,10.9
1994.0,161.2,1.1,154.8,26.0,14.0,0.7,16.1,9.1
1995.0,167.6,"(-)2.6",166.7,22.6,15.3,"(-)1.6",13.5,9.0
1996.0,157.9,"(-)3.1",163.3,19.8,18.3,"(-)1.9",12.5,11.2
1997.0,174.5,"(-)0.1",176.2,23.6,17.8,"...",13.5,10.1
1998.0,168.2,"(-)2.5",159.6,26.3,18.6,"(-)1.6",15.6,11.1
1999.0,178.2,"(-)1.3",169.4,30.8,17.7,"(-)0.8",17.3,9.9
2000.0,183.6,"(-)1.4",168.3,35.6,13.0,"(-)0.8",19.4,7.7
2001.0,172.2,"(-)2.9",156.9,42.6,13.2,"(-)1.8",24.7,8.4
2002.0,186.2,"(-)6.7",189.5,40.3,18.2,"(-)3.5",21.7,9.6
2003.0,152.9,"(-)5.5",170.6,34.5,23.22,"(-)2.8",22.6,13.2
2004.0,186.5,"(-)6.5",183.3,41.1,28.32,"(-) 3.5",22.0,15.5
2005.0,173.6,"(-)6.0",170.0,41.5,30.97,"(-) 3.5",23.9,18.2
2006.0,182.5,"(-)2.3",181.9,37.0,31.77,"(-)  1.3",20.3,17.5
2007.0,190.1,"(-)4.7",183.7,35.8,32.77,"(-) 2.6",18.8,17.8
2008.0,210.2,"(-) 9.7",183.5,54.2,34.7,"(-) 5.3",25.8,18.9100817439
2009.0,205.2,"(-) 4.1",189.5,60.5,41.3,"(-) 2.2",29.4834307992,21.7941952507
2010.0,190.8,"(-) 2.2",189.2,56.1,43.7,"(-)1.2",29.4,23.0972515856
"2011(P)",214.2,"(-) 2.9",203.1,64.5,47.9,"(-)1.4",30.1,23.584441162
"Sources : 1. Department of Food and Public Distribution.
                  2. Directorate of Economics & Statistics, Department of Agriculture & Cooperation","","","","","","","",""
"                           a Net availability =Net production +Net Imports - changes in Government stocks.","","","","","","","",""
"                 b Includes quantities released under the Food for Work Programme during the year 1978 to 1990.","","","","","","","",""
"                  ... Negligible.         P Provisional


","","","","","","","",""
"Notes : 1. Production figures relate to agricultural year: 1951 figures correspond to 1950-51 and so on.","","","","","","","",""
"                 Figures for procurement and public distribution relate to calender years.","","","","","","","",""
"             2. Net Imports from 1981 to 1994 are only on Government account and from 1995 onwards the ","","","","","","","",""
"                  net Imports are total Imports and Export of the Country.","","","","","","","",""
