-----
{
 "description": "This dataset contains the list of organizations working under the umbrella of Indian Council of Agricultural Research, New Delhi. The list includes the institutes and their Regional Stations, National Bureaus, National Research Centres and their Regional Stations, Directorates and their Regional ...", 
 "file_name": "List_of_ICAR_Institutes.xls", 
 "title": "Download XLS for ICAR Institutes List", 
 "url": "http://data.gov.in/sites/default/files/List_of_ICAR_Institutes.xls"
}
-----
"Name of Institute","Name of Institute (Acronym)","Address","State"
"National Bureau of Plant Genetic Resources","NBPGR","Pusa Campus, New Delhi","Delhi"
"Regional Station,NBPGR (Akola)","NBPGR , RS","Opposite,P K V Guest House,Dr.PDKV Campus, Akola","Maharashtra"
"Regional Station,NBPGR (Nainital)","NBPGR , RS","Bhowali, Nainital","Uttranchal"
"Regional Station,NBPGR (Trichur)","NBPGR,RS","Vellanikkara, Trichur","Kerala"
"Regional Station,NBPGR (Shillong)","NBPGR,RS","New Kanch's Trace,Bishnupur,East Khasi Hills, Shillong","Meghalaya"
"Regional Station,NBPGR (Shimla)","NBPGR,RS","Phagli, Shimla","Himachal Pradesh"
"Regional Station,NBPGR, Exploration Base Center(Cuttack)","NBPGR,RS","C/o CRRI Campus","Orissa"
"Regional Station,NBPGR, Plant Quarantine Station(Hyderabad)","NBPGR,RS","ARI Campus, Rajendra Nagar","Andhra Pradesh"
"Regional Station,NBPGR, Exploration Base Center(Ranchi)","NBPGR,RS","Ches Campus, P.O.Rlandld","Bihar"
"Regional Station,NBPGR Satellite Center(Amravati)","NBPGR,RS","Mendse appa Garden Road","Maharashtra"
"Regional Station,NBPGR (Jodhpur)","NBPGR,RS","C/o CAZRI","Rajasthan"
"Regional Station,NBPGR(Srinagar)","NBPGR,RS","C/o CITH , PO- Sanat Nagar","Jammu & Kashmir"
"National Bureau for Agriculturally Important Insects","NBAII","Kushmaur, P.B. No. 6, Kaithauli, Mau Nath Bhajan - 275101","Uttar Pradesh"
"National Bureau of Soil Survey and Land Use planning","NBSSLUP","Amravati Road, Nagpur - 440010","Maharashtra"
"Regional Station,NBSSLUP(Banglore)","NBSSLUP,RS","Hebbal Agricultural Farm,P.B.NO 24","Karnataka"
"Regional Station,NBSSLUP(Calcutta)","NBSSLUP,RS","Salt Lake City,D K Block,Sector II,Bidhan Nagar","West Bengal"
"Regional Station,NBSSLUP(New Delhi)","NBSSLUP,RS","NTC Building ,IARI Campus, New Delhi -110012","Delhi"
"Regional Station,NBSSLUP(Jorhat)","NBSSLUP,RS","NER Center,Jamujuri Road, Rawriah - 785004","Assam"
"Regional Station,NBSSLUP(Udaipur)","NBSSLUP,RS","Bohra Ganeshji Road, University Campus - 313001","Rajasthan"
"National Bureau of Agricultural Important Microorganisms","NBAIMO","Kusmaur, Post Bag No 6","Uttar Pradesh"
"National Bureau of Animal Genetics Resources","NBAGR","Makarmpur Campus, G.T. Road Bypass P.O. Box No.129 , Karnal","Haryana"
"National Bureau of Fish Genetics Resources","NBFGR","Canal Ring Road, P.O.Dilkusha, Telibagh","Uttar Pradesh"
