-----
{
 "description": "The table shows India's External Debt Outstanding (US $ Mn.) since 2002. It gives details regarding item-wise External debt which includes Outstanding Debt with respect to Multilateral Trade, Bilateral Trade, IMF, Export Credit, Rupee Debt, Commercial Borrowings and others.", 
 "file_name": "tab84.xls", 
 "title": "Download XLS for India&#039;s External Debt Outstanding (US $ Mn.)(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab84.xls"
}
-----
"",""," 8.4 (A):  India's External Debt Outstanding","","","","","","","","","","","",""
"","","","","","","","","","","","","","(` crore)",""
"","","At end-March","","","","","","","","","","","End-June  2012PR","End-Sept. 2012QE"
"","",2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,"2012PR","",""
"I.","MULTILATERAL",155633.0,142683.0,131105.0,138897.0,145503.0,154053.0,157901.0,201425.0,193436.0,216672.0,257091.0,284573.0,271604.0
"","A. Government  Borrowing",138023.0,129727.0,120073.0,127782.0,133800.0,141746.0,144627.0,181997.0,170722.0,190326.0,222582.0,244539.0,231302.0
"","    (i)   Concessional ",96177.0,102559.0,101490.0,105114.0,105852.0,108448.0,107395.0,127771.0,116046.0,120653.0,138691.0,149810.0,142459.0
"","          a)    IDA",94848.0,101122.0,100065.0,103671.0,104457.0,107019.0,105947.0,126127.0,114552.0,119068.0,136816.0,147783.0,140490.0
"","          b)   Others",1329.0,1437.0,1425.0,1443.0,1395.0,1429.0,1448.0,1644.0,1494.0,1585.0,1875.0,2027.0,1969.0
"","    ii)  Non-concessional",41846.0,27168.0,18583.0,22668.0,27948.0,33298.0,37232.0,54226.0,54676.0,69673.0,83891.0,94729.0,88843.0
"","          a)    IBRD",28012.0,19069.0,14074.0,16500.0,19626.0,21864.0,22631.0,29948.0,28874.0,39218.0,45331.0,51010.0,47340.0
"","          b)   Others",13834.0,8099.0,4509.0,6168.0,8322.0,11434.0,14601.0,24278.0,25802.0,30455.0,38560.0,43719.0,41503.0
"","B.  Non-Government Borrowing   ",17610.0,12956.0,11032.0,11115.0,11703.0,12307.0,13274.0,19428.0,22714.0,26346.0,34509.0,40034.0,40302.0
"","    (i)   Concessional ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"","    (ii)   Non-concessional",17610.0,12956.0,11032.0,11115.0,11703.0,12307.0,13274.0,19428.0,22714.0,26346.0,34509.0,40034.0,40302.0
"","           a)   Public Sector",12729.0,9255.0,7916.0,8000.0,8510.0,9315.0,10352.0,14298.0,14919.0,15802.0,19407.0,22859.0,21620.0
"","                 i)     IBRD",7298.0,4378.0,4402.0,4462.0,4594.0,4550.0,4690.0,7105.0,8544.0,9193.0,11092.0,12661.0,12053.0
"","                ii)    Others",5431.0,4877.0,3514.0,3538.0,3916.0,4765.0,5662.0,7193.0,6375.0,6609.0,8315.0,10198.0,9567.0
"","           b)   Financial Institutions",3736.0,3177.0,2902.0,2789.0,2628.0,2414.0,2350.0,3721.0,5385.0,7511.0,10290.0,11591.0,13296.0
"","                 i)     IBRD",1049.0,525.0,381.0,252.0,630.0,655.0,593.0,744.0,1343.0,1899.0,2707.0,3008.0,2816.0
"","                ii)    Others",2687.0,2652.0,2521.0,2537.0,1998.0,1759.0,1757.0,2977.0,4042.0,5612.0,7583.0,8583.0,10480.0
"","           c)   Private  Sector",1145.0,524.0,214.0,326.0,565.0,578.0,572.0,1409.0,2410.0,3033.0,4812.0,5584.0,5386.0
"","                 i)     IBRD",929.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"","                ii)    Others",216.0,226.0,214.0,326.0,565.0,578.0,572.0,1409.0,2410.0,3033.0,4812.0,5584.0,5386.0
"","","","","","","","","","","","","","",""
"II.","BILATERAL",74762.0,79921.0,77084.0,74530.0,70302.0,70034.0,78802.0,104997.0,101976.0,114905.0,136275.0,154852.0,147462.0
"","A.Government borrowing",56302.0,60243.0,58121.0,57458.0,54593.0,53810.0,59391.0,74662.0,71584.0,80406.0,91641.0,104968.0,100016.0
"","    (i)   Concessional ",55418.0,59688.0,57742.0,57207.0,54468.0,53810.0,59391.0,74662.0,71584.0,80406.0,91641.0,104968.0,100016.0
"","    (ii)   Non-concessional",884.0,555.0,379.0,251.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"","B.Non-Government borrowing ",18460.0,19678.0,18963.0,17072.0,15709.0,16224.0,19411.0,30335.0,30392.0,34499.0,44634.0,49884.0,47446.0
"","    i)   Concessional ",6885.0,8013.0,8876.0,7471.0,6949.0,1727.0,1737.0,3262.0,3169.0,4101.0,6821.0,7887.0,8105.0
"","           a) Public Sector",4278.0,5152.0,5759.0,5653.0,5285.0,1241.0,1226.0,1156.0,1121.0,1621.0,4137.0,4873.0,5214.0
"","           b) Financial Institutions",2607.0,2861.0,3117.0,1818.0,1664.0,486.0,511.0,2106.0,2048.0,2480.0,2684.0,3014.0,2891.0
