-----
{
 "description": "The table shows the Impact of ICDS on nutritional status of children aged 7 months-60 months. Parameter estimates with a positive signs indicate a positive impact, while those with negative signs imply a negative impact of ICDS in influencing the nutritional status of the children surveyed. At a ...", 
 "file_name": "ICDS_Table8.8.xls", 
 "title": "Download XLS for Impact of ICDS on nutritional status of children aged 7 months-60 months", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table8.8.xls"
}
-----
"State","Normal","Grade I","Grade II","Grade III","Grade IV"
"Andhra Pradesh",6.2,-5.8,-0.2,1.2,-1.4
"Assam",0.6,4.0,-8.0,4.4,-1.0
"Bihar",6.9,5.3,-11.0,1.1,-2.3
"Chhattisgarh",-10.9,11.6,-3.0,1.5,0.8
"Gujarat",-9.1,10.5,6.2,-9.1,1.4
"Haryana",2.3,2.7,-6.4,1.4,0.0
"Himachal Pradesh",-0.8,7.6,-7.3,0.3,0.3
"Jammu and Kashmir",-4.1,5.8,-0.4,-1.3,-0.1
"Jharkhand",-6.1,6.2,-2.5,1.2,1.2
"Karnataka",-7.1,7.4,2.6,-3.5,0.6
"Kerala",6.5,-11.9,4.2,1.2,0.0
"Madhya Pradesh",7.5,-1.7,-6.2,0.0,0.4
"Maharashtra",3.5,0.2,-0.3,-3.3,0.0
"Orissa",-1.8,11.1,-5.3,-6.0,2.0
"Punjab",-9.6,6.1,4.1,-1.2,0.7
"Rajasthan",2.9,1.3,-2.2,-3.7,1.7
"Tamil Nadu",1.4,3.2,-4.1,0.8,-1.3
"Uttar Pradesh",-0.2,2.0,-1.4,-0.5,0.1
"Uttarakhand",-14.7,-0.2,17.5,-2.9,0.4
"West Bengal",11.7,-4.1,-4.7,-3.2,0.4
"All",1.3,2.1,-2.6,-0.4,-0.4
