-----
{
 "description": "The table refers to District wise Distribution of Surface Flow Schemes(Water conservation -cum Ground Water Recharge) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of ...", 
 "file_name": "srfcflowstate4.18.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes(Water conservation -cum Ground Water Recharge) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.18.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"ANDHRA PRADESH","ADILABAD",8,1,9,7,1,7,7,1,7
"ANDHRA PRADESH","ANANTHAPUR",53,3,56,356,3,360,57,1,57
"ANDHRA PRADESH","CHITTOOR",31,0,31,164,0,164,0,0,0
"ANDHRA PRADESH","CUDDAPAH",232,3,235,278,3,281,9,0,9
"ANDHRA PRADESH","EAST GODAVARI",25,1,26,844,4,848,477,4,481
"ANDHRA PRADESH","GUNTUR",5,1,6,150,6,156,136,5,141
"ANDHRA PRADESH","KARIMNAGAR",0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","KHAMMAM",6,1,7,36,61,97,32,61,92
"ANDHRA PRADESH","KRISHNA",1,0,1,50,0,50,40,0,40
"ANDHRA PRADESH","KURNOOL",4,0,4,295,0,295,233,0,233
"ANDHRA PRADESH","MAHABOOBNAGAR",248,157,405,278,164,442,52,6,58
"ANDHRA PRADESH","MEDAK",0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","NALGONDA",13,0,13,102,0,102,0,0,0
"ANDHRA PRADESH","NELLORE",2,0,2,2,0,2,0,0,0
"ANDHRA PRADESH","NIZAMABAD",2,0,2,254,0,254,5,0,5
"ANDHRA PRADESH","PRAKASAM",4,1,5,225,159,384,225,61,286
"ANDHRA PRADESH","RANGAREDDY",0,2,2,0,20,20,0,13,13
"ANDHRA PRADESH","SRIKAKULAM",96,1,97,633,2,636,442,2,444
"ANDHRA PRADESH","VISAKHAPATNAM",622,0,622,9774,0,9774,8901,0,8901
"ANDHRA PRADESH","VIZIANAGARAM",8,0,8,98,0,98,62,0,62
"ANDHRA PRADESH","WARANGAL",0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","WEST GODAVARI",9,0,9,248,0,248,157,0,157
"ARUNACHAL PRADESH","CHANGLANG",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","DIBANG VALLEY",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","EAST KAMENG",1,0,1,10,0,10,9,0,9
"ARUNACHAL PRADESH","EAST SIANG",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","LOHIT",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","LOWER SUBANSIRI",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","PAPUMPARE",0,1,1,0,1,1,0,1,1
"ARUNACHAL PRADESH","TAWANG",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","TIRAP",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","UPPER SIANG",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","UPPER SUBANSIRI",0,0,0,0,0,0,0,0,0
