-----
{
 "description": "The table refers to block wise distribution of surface lift schemes according to source of finance. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.7.csv", 
 "title": "Download CSV for Blockwise Distribution of surface lift schemes according to finance sources for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.7.csv"
}
-----
"State","District","Block","Government fund","Farmers saving","Loan & Saving","Subsidy & Bank Loan","Subsidy Only","Others","Total"
"ANDHRA PRADESH","ADILABAD","ADILABAD",42,19,10,0,0,0,71
"ANDHRA PRADESH","ADILABAD","ASIFABAD",0,0,0,25,0,0,25
"ANDHRA PRADESH","ADILABAD","BAZARHATHNOOR",0,5,0,12,0,0,17
"ANDHRA PRADESH","ADILABAD","BELA",0,1,4,3,20,3,31
"ANDHRA PRADESH","ADILABAD","BHAINSA",0,0,2,0,0,0,2
"ANDHRA PRADESH","ADILABAD","BOATH",31,6,44,0,0,0,81
"ANDHRA PRADESH","ADILABAD","CHENNUR",0,0,2,0,0,4,6
"ANDHRA PRADESH","ADILABAD","DANDEPALLE",14,65,54,132,0,0,265
"ANDHRA PRADESH","ADILABAD","DILAWARPUR",0,0,0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","INDERAVELLY",0,0,0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","JAINAD",36,43,10,40,0,0,129
"ANDHRA PRADESH","ADILABAD","JAINOOR",0,0,4,0,0,0,4
"ANDHRA PRADESH","ADILABAD","KADDAM (PEDDUR)",14,0,0,3,0,0,17
"ANDHRA PRADESH","ADILABAD","KAGAZNAGAR",4,0,0,0,0,0,4
"ANDHRA PRADESH","ADILABAD","KASIPET",107,27,13,28,0,0,175
"ANDHRA PRADESH","ADILABAD","KERAMERI",0,0,0,3,0,0,3
"ANDHRA PRADESH","ADILABAD","KHANPUR",13,0,3,31,23,0,70
"ANDHRA PRADESH","ADILABAD","KUNTALA",60,0,2,0,0,0,62
"ANDHRA PRADESH","ADILABAD","LAHESRA",0,0,0,1,0,0,1
"ANDHRA PRADESH","ADILABAD","LUXETTIPET",170,2,0,1,0,0,173
"ANDHRA PRADESH","ADILABAD","MANCHERIAL",25,0,0,0,0,0,25
"ANDHRA PRADESH","ADILABAD","MUDHOLE",0,0,0,0,0,2,2
"ANDHRA PRADESH","ADILABAD","NARNOOR",0,0,0,1,0,0,1
"ANDHRA PRADESH","ADILABAD","NERADIGONDA",50,21,36,9,0,0,116
"ANDHRA PRADESH","ADILABAD","NIRMAL",164,3,0,0,0,0,167
"ANDHRA PRADESH","ADILABAD","SARANGAPUR",58,3,0,0,0,0,61
"ANDHRA PRADESH","ADILABAD","TALAMADUGU",38,9,83,3,0,0,133
"ANDHRA PRADESH","ADILABAD","TAMSI",44,34,17,1,0,0,96
"ANDHRA PRADESH","ADILABAD","TIRYANI",1,0,0,53,0,0,54
"ANDHRA PRADESH","ANANTHAPUR","TANAKAL",0,0,0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","BUCHINAIDU KHANDRIGA",69,0,0,0,0,0,69
"ANDHRA PRADESH","CHITTOOR","RENIGUNTA",1,12,0,0,0,0,13
"ANDHRA PRADESH","CHITTOOR","THOTTAMBEDA",23,0,0,0,0,0,23
"ANDHRA PRADESH","CUDDAPAH","ATLUR",0,0,0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","BADVEL",0,0,0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","DUVVUR",4,0,0,0,0,0,4
