-----
{
 "description": "The table refers to district wise distribution of surface flow schemes in the major/medium project command. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.9.csv", 
 "title": "Download CSV for Districtwise Surface Flow Schemes in the major/medium project command for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.9.csv"
}
-----
State,District,Location of Schemes - On the command,Location of schemes - Outside command,Location of schemes - Augmentation,Total
ARUNACHAL PRADESH,LOWER SUBANSIRI,0,702,0,702
ARUNACHAL PRADESH,PAPUM PARE,0,147,0,147
ARUNACHAL PRADESH,TAWANG,0,71,0,71
ARUNACHAL PRADESH,TIRAP,0,108,0,108
ARUNACHAL PRADESH,UPPER SIANG,0,297,0,297
ARUNACHAL PRADESH,UPPER SUBANSIRI,0,581,0,581
ARUNACHAL PRADESH,WEST KAMENG,0,53,0,53
ARUNACHAL PRADESH,WEST SIANG,0,243,0,243
ASSAM,BARPETA,0,6,0,6
ASSAM,BONGAIGAON,0,6,0,6
ASSAM,CACHAR,0,7,0,7
ASSAM,DARRANG,0,217,0,217
ASSAM,DHEMAJI,0,8,0,8
ASSAM,DHUBRI,0,47,0,47
ASSAM,DIBRUGARH,0,1,0,1
ASSAM,GOALPARA,0,146,0,146
ASSAM,GOLAGHAT,0,3,0,3
ASSAM,HAILAKANDI,NA,NA,NA,NA
ASSAM,JORHAT,0,4,0,4
ASSAM,KAMRUP,0,104,0,104
ASSAM,KARBI ANGLONG,0,1276,0,1276
ASSAM,KARIMGANJ,0,1,0,1
ASSAM,KOKRAJHAR,0,24,0,24
ASSAM,LAKHIMPUR,0,2,0,2
ASSAM,MARIGAON,0,34,0,34
ASSAM,NAGAON,0,66,0,66
ASSAM,NALBARI,0,89,0,89
ASSAM,NORTH CACHAR HILLS,0,265,0,265
ASSAM,SIBSAGAR,0,4,0,4
ASSAM,SONITPUR,0,32,0,32
ASSAM,TINSUKIA,0,5,0,5
BIHAR,ARARIA,0,40,0,40
BIHAR,AURANGABAD,NA,NA,NA,NA
BIHAR,BANKA,385,1588,0,1973
BIHAR,BEGUSARAI,0,2,0,2
BIHAR,BHABUA,44,353,0,397
BIHAR,BHAGALPUR,5,847,0,852
BIHAR,BHOJPUR,60,165,0,225
BIHAR,BOKARO,181,2200,1,2382
BIHAR,BUXAR,97,14,1,112
BIHAR,CHAMPARAN EAST,0,39,0,39
BIHAR,CHAMPARAN WEST,41,46,0,87
BIHAR,CHATRA,3,2266,0,2269
BIHAR,DARBHANGA,0,85,0,85
BIHAR,DEOGHAR,87,2345,2,2434
BIHAR,DHANBAD,39,823,0,862
BIHAR,DUMKA,492,8424,68,8984
BIHAR,GARHWA,159,2541,7,2707
BIHAR,GAYA,261,7865,49,8175
BIHAR,GIRIDIH,23,2648,0,2671
BIHAR,GODDA,109,1574,0,1683
BIHAR,GOPALGANJ,NA,NA,NA,NA
BIHAR,GUMLA,48,224,0,272
BIHAR,HAZARIBAG,20,444,1,465
BIHAR,JAMUI,119,1817,24,1960
BIHAR,JEHANABAD,51,472,0,523
BIHAR,KATIHAR,NA,NA,NA,NA
BIHAR,KHAGARIA,0,2,0,2
BIHAR,KISHANGANJ,NA,NA,NA,NA
BIHAR,KODARMA,16,295,2,313
BIHAR,LAKHISARAI,55,212,0,267
BIHAR,LOHARDAGA,0,190,0,190
BIHAR,MADHEPURA,0,3,0,3
BIHAR,MADHUBANI,71,29,1,101
BIHAR,MUNGER,49,422,2,473
BIHAR,MUZAFFARPUR,0,4,0,4
BIHAR,NALANDA,14,515,3,532
BIHAR,NAWADA,54,2931,19,3004
BIHAR,PAKUR,19,3213,0,3232
BIHAR,PALAMU,267,8972,30,9269
BIHAR,PATNA,119,60,31,210
BIHAR,PURNIA,48,2,0,50
BIHAR,RANCHI,139,485,0,624
BIHAR,ROHTAS,231,437,2,670
BIHAR,SAHARSA,0,3,0,3
BIHAR,SAHEBGANJ,6,2609,2,2617
BIHAR,SAMASTIPUR,4,3,2,9
BIHAR,SARAN,32,26,0,58
BIHAR,SHEIKHPURA,20,435,0,455
BIHAR,SHEOHAR,0,12,0,12
BIHAR,SINGHBHUM EAST,125,1416,0,1541
BIHAR,SINGHBHUM WEST,254,4059,53,4366
BIHAR,SITAMARHI,7,20,0,27
BIHAR,SIWAN,3,5,0,8
BIHAR,SUPAUL,0,2,0,2
BIHAR,VAISHALI,2,5,0,7
GOA,NORTH GOA,116,2324,2,2442
GOA,SOUTH GOA,26,708,0,734
GUJARAT,,NA,NA,NA,NA
HARYANA,AMBALA,28,371,0,399
HARYANA,BHIWANI,19,41,0,60
HARYANA,FARIDABAD,0,1,0,1
HARYANA,GURGAON,0,16,0,16
HARYANA,HISAR,NA,NA,NA,NA
HARYANA,JIND,NA,NA,NA,NA
HARYANA,KAITHAL,NA,NA,NA,NA
HARYANA,KARNAL,NA,NA,NA,NA
HARYANA,KURUKSHETRA,7,17,0,24
HARYANA,MEHANDERGARH,NA,NA,NA,NA
HARYANA,PANCHKULA,2,8,0,10
HARYANA,PANIPAT,NA,NA,NA,NA
HARYANA,RIWARI,NA,NA,NA,NA
HARYANA,ROHTAK,NA,NA,NA,NA
HARYANA,SIRSA,NA,NA,NA,NA
HARYANA,SONIPAT,NA,NA,NA,NA
HARYANA,YAMUNA NAGAR,NA,NA,NA,NA
HIMACHAL PRADESH,Bilaspur,7,793,0,800
HIMACHAL PRADESH,Chamba,0,622,0,622
HIMACHAL PRADESH,Hamirpur,23,159,0,182
HIMACHAL PRADESH,Kangra,22,2581,0,2603
HIMACHAL PRADESH,Kinnaur,0,442,0,442
HIMACHAL PRADESH,Kullu,4,419,0,423
HIMACHAL PRADESH,Lahul & Spiti,0,445,0,445
HIMACHAL PRADESH,Mandi,25,3741,0,3766
HIMACHAL PRADESH,Shimla,0,1289,0,1289
HIMACHAL PRADESH,Sirmaur,25,1934,0,1959
HIMACHAL PRADESH,Solan,1,1791,0,1792
HIMACHAL PRADESH,Una,0,22,0,22
JAMMU & KASHMIR,Anantnagh,67,962,0,1029
JAMMU & KASHMIR,Baramulla,30,595,0,625
JAMMU & KASHMIR,Budgam,27,477,0,504
JAMMU & KASHMIR,Doda,28,1200,0,1228
JAMMU & KASHMIR,Jammu,0,25,0,25
JAMMU & KASHMIR,Kargil,0,494,0,494
JAMMU & KASHMIR,Kathua,92,378,0,470
JAMMU & KASHMIR,Kupwara,0,378,0,378
JAMMU & KASHMIR,Leh,0,671,0,671
JAMMU & KASHMIR,Poonch,42,272,0,314
JAMMU & KASHMIR,Pulwama,35,610,0,645
JAMMU & KASHMIR,Rajouri,70,662,0,732
JAMMU & KASHMIR,Srinagar,54,885,0,939
JAMMU & KASHMIR,Udhampur,86,1004,0,1090
KARNATAKA,BANGALORE RURAL,251,891,4,1146
KARNATAKA,BANGALORE URBAN,30,618,0,648
KARNATAKA,BELGAUM,1575,1766,4,3345
KARNATAKA,BELLARY,398,2350,27,2775
KARNATAKA,BIDAR,234,554,0,788
KARNATAKA,BIJAPUR,898,2766,129,3793
KARNATAKA,CHIKKAMAGALORE,154,504,0,658
KARNATAKA,CHITRADURGA,2399,2767,173,5339
KARNATAKA,DAKSHINA KANNADA,593,1523,2,2118
KARNATAKA,DHARWAR,1289,4195,29,5513
KARNATAKA,GULBARGA,636,1866,0,2502
KARNATAKA,HASSAN,919,958,5,1882
KARNATAKA,KODAGU,12,15,0,27
KARNATAKA,KOLAR,391,1306,20,1717
KARNATAKA,MANDYA,26,49,0,75
KARNATAKA,MYSORE,220,220,0,440
KARNATAKA,RAICHUR,295,760,46,1101
KARNATAKA,SHIMOGA,421,1138,7,1566
KARNATAKA,TUMKUR,112,737,0,849
KARNATAKA,UTTARA KANNADA,44,2758,2,2804
KERALA,ALAPUZHA,0,76,0,76
KERALA,ERANAKULAM,62,395,0,457
KERALA,IDUKKI,0,290,0,290
KERALA,KANNUR,4,592,0,596
KERALA,KASARAGODE,5,393,0,398
KERALA,KOLLAM,3,473,0,476
KERALA,KOTTAYAM,1,284,0,285
KERALA,KOZHIKODE,91,370,0,461
KERALA,MALAPPURAM,2,807,0,809
KERALA,PALAKKAD,1313,957,0,2270
KERALA,PATHANAMTHITTA,11,221,0,232
KERALA,THIRUVANANTHAPURAM,425,2549,3,2977
KERALA,THRISSUR,73,678,0,751
KERALA,WAYANAD,0,303,0,303
MADHYA PRADESH,BALAGHAT,937,5803,0,6740
MADHYA PRADESH,BASTAR,7,685,0,692
MADHYA PRADESH,BETUL,83,779,0,862
MADHYA PRADESH,BHIND,0,91,0,91
MADHYA PRADESH,BHOPAL,1,46,0,47
MADHYA PRADESH,BILASPUR,1773,3907,0,5680
MADHYA PRADESH,CHHATARPUR,12,572,0,584
MADHYA PRADESH,CHHINDWARA,53,552,0,605
MADHYA PRADESH,DAMOH,34,1359,0,1393
MADHYA PRADESH,DATIA,0,30,0,30
MADHYA PRADESH,DEWAS,28,319,0,347
MADHYA PRADESH,DHAR,78,710,0,788
MADHYA PRADESH,DURG,157,761,0,918
MADHYA PRADESH,GUNA,0,1975,0,1975
MADHYA PRADESH,GWALIOR,0,60,0,60
MADHYA PRADESH,HOSHANGABAD,0,8,0,8
MADHYA PRADESH,INDORE,0,549,0,549
MADHYA PRADESH,JABALPUR,34,249,0,283
MADHYA PRADESH,JHABUA,181,2775,0,2956
MADHYA PRADESH,KHANDWA,1,232,0,233
MADHYA PRADESH,KHARGONE,229,3301,0,3530
MADHYA PRADESH,MANDLA,30,211,0,241
MADHYA PRADESH,MANDSAUR,9,813,0,822
MADHYA PRADESH,MORENA,0,1172,0,1172
MADHYA PRADESH,NARSIMHAPUR,33,207,0,240
MADHYA PRADESH,PANNA,9,87,0,96
MADHYA PRADESH,RAIGARH,251,3993,0,4244
MADHYA PRADESH,RAIPUR,295,2700,0,2995
MADHYA PRADESH,RAISEN,28,65,0,93
MADHYA PRADESH,RAJGARH,3,72,0,75
MADHYA PRADESH,RAJNANDGAON,14,280,0,294
MADHYA PRADESH,RATLAM,3,1052,0,1055
MADHYA PRADESH,REWA,5,511,0,516
MADHYA PRADESH,SAGAR,0,1239,0,1239
MADHYA PRADESH,SATNA,160,263,0,423
MADHYA PRADESH,SEHORE,3,74,0,77
MADHYA PRADESH,SEONI,38,769,0,807
MADHYA PRADESH,SHAHDOL,2,645,0,647
MADHYA PRADESH,SHAJAPUR,9,2690,0,2699
MADHYA PRADESH,SHIVPURI,0,910,0,910
MADHYA PRADESH,SIDHI,1,154,0,155
MADHYA PRADESH,SURGUJA,171,7369,0,7540
MADHYA PRADESH,TIKAMGARH,0,901,0,901
MADHYA PRADESH,UJJAIN,66,434,0,500
MADHYA PRADESH,VIDISHA,0,12,0,12
MAHARASHTRA,,NA,NA,NA,NA
MANIPUR,BISHNUPUR,0,12,0,12
MANIPUR,CHANDEL,0,9,0,9
MANIPUR,CHURACHANDPUR,0,72,0,72
MANIPUR,IMPHAL,0,26,0,26
MANIPUR,SENAPATI,0,32,0,32
MANIPUR,TAMENGLONG,0,37,0,37
MANIPUR,THOUBAL,0,23,0,23
MANIPUR,UKHRUL,0,29,0,29
MEGHALAYA,EAST GARO HILLS,2,1013,0,1015
MEGHALAYA,EAST KHASI HILLS,12,3015,0,3027
MEGHALAYA,JAINTIA HILLS,776,1874,2,2652
MEGHALAYA,RI BHOI DISTRICT,6,4247,1,4254
MEGHALAYA,SOUTH GARO HILLS,0,87,0,87
MEGHALAYA,WEST GARO HILLS,186,397,1,584
MEGHALAYA,WEST KHASI HILLS,22,2623,0,2645
MIZORAM,AIZAWL,4,3943,0,3947
MIZORAM,CHHIMTUIPUI,0,194,0,194
MIZORAM,LUNGLEI,0,634,0,634
NAGALAND,KOHIMA,0,2758,0,2758
NAGALAND,MOKOKCHUNG,0,1814,0,1814
NAGALAND,MON,0,785,0,785
NAGALAND,PHEK,0,4049,0,4049
NAGALAND,TUENSANG,0,2438,0,2438
NAGALAND,WOKHA,0,1261,0,1261
NAGALAND,ZUNHEBOTO,0,954,0,954
ORISSA,ANGUL,2,209,0,211
ORISSA,BALASORE,2,100,0,102
ORISSA,BARAGARH,181,2326,0,2507
ORISSA,BHADRAK,3,67,0,70
ORISSA,BOLANGIR,12,1764,1,1777
ORISSA,BOUDH,10,374,0,384
ORISSA,CUTTACK,396,934,0,1330
ORISSA,DEOGARH,1,290,0,291
ORISSA,DHENKANAL,6,888,0,894
ORISSA,GAJAPATI,0,513,0,513
ORISSA,GANJAM,837,3152,2,3991
ORISSA,JAGATSINGHPUR,0,5,0,5
ORISSA,JAJPUR,6,189,0,195
ORISSA,JHARSUGUDA,3,261,0,264
ORISSA,KALAHANDI,14,838,0,852
ORISSA,KENDRAPARA,0,62,0,62
ORISSA,KEONJHAR,4,649,2,655
ORISSA,KHURDA,12,617,1,630
ORISSA,KORAPUT,36,1947,4,1987
ORISSA,MALKANGIRI,0,120,0,120
ORISSA,MAYURBHANJ,25,1061,0,1086
ORISSA,NAYAGARH,16,321,1,338
ORISSA,NOWRANGPUR,2,189,0,191
ORISSA,NUAPADA,26,875,1,902
ORISSA,PHULBANI,5,300,0,305
ORISSA,PURI,75,898,2,975
ORISSA,RAYAGADA,17,2463,6,2486
ORISSA,SAMBALPUR,9,471,0,480
ORISSA,SONEPUR,164,125,0,289
ORISSA,SUNDARGARH,4,206,1,211
PUNJAB,AMRITSAR,0,13,0,13
PUNJAB,BATHINDA,3,0,0,3
PUNJAB,FARIDKOT,NA,NA,NA,NA
PUNJAB,FATEHGARH SAHIB,3,0,0,3
PUNJAB,FEROZEPUR,NA,NA,NA,NA
PUNJAB,GURDASPUR,11,23,9,43
PUNJAB,HOSHIARPUR,76,53,14,143
PUNJAB,JALANDHAR,NA,NA,NA,NA
PUNJAB,KAPURTHALA,NA,NA,NA,NA
PUNJAB,LUDHIANA,NA,NA,NA,NA
PUNJAB,MANSA,NA,NA,NA,NA
PUNJAB,PATIALA,NA,NA,NA,NA
PUNJAB,ROPAR,6,103,1,110
PUNJAB,SANGRUR,61,18,0,79
RAJASTHAN,AJMER,11,736,2,749
RAJASTHAN,ALWAR,NA,NA,NA,NA
RAJASTHAN,BANSWARA,25,238,1,264
RAJASTHAN,BARAN,0,81,0,81
RAJASTHAN,BARMER,NA,NA,NA,NA
RAJASTHAN,BHARATPUR,0,4,0,4
RAJASTHAN,BHILWARA,18,546,1,565
RAJASTHAN,BIKANER,0,1,0,1
RAJASTHAN,BUNDI,2,103,0,105
RAJASTHAN,CHITTORGARH,13,61,0,74
RAJASTHAN,CHURU,0,1,0,1
RAJASTHAN,DAUSA,2,23,0,25
RAJASTHAN,DHOLPUR,0,37,0,37
RAJASTHAN,DUNGARPUR,26,89,0,115
RAJASTHAN,GANGANAGAR,NA,NA,NA,NA
RAJASTHAN,HANUMANGARH,NA,NA,NA,NA
RAJASTHAN,JAIPUR,1,37,0,38
RAJASTHAN,JAISALMER,NA,NA,NA,NA
RAJASTHAN,JALORE,0,3,0,3
RAJASTHAN,JHALAWAR,1,59,0,60
RAJASTHAN,JHUNJHNU,0,4,0,4
RAJASTHAN,JODHPUR,0,7,0,7
RAJASTHAN,KOTA,17,48,0,65
RAJASTHAN,NAGAUR,0,9,0,9
RAJASTHAN,PALI,4,69,0,73
RAJASTHAN,RAJSAMAND,3,78,2,83
RAJASTHAN,SAWAI-MADHOPUR,2,74,0,76
RAJASTHAN,SIKAR,0,18,0,18
RAJASTHAN,SIROHI,9,33,0,42
RAJASTHAN,TONK,19,403,0,422
RAJASTHAN,UDAIPUR,15,165,1,181
SIKKIM,EAST SIKKIM,0,348,0,348
SIKKIM,NORTH SIKKIM,0,51,0,51
SIKKIM,SOUTH SIKKIM,0,239,0,239
SIKKIM,WEST SIKKIM,0,216,0,216
TAMIL NADU,COIMBATORE,298,0,0,298
TAMIL NADU,CUDDALORE,4177,1766,0,5943
TAMIL NADU,DHARMAPURI,14295,8367,69,22731
TAMIL NADU,DINDIGUL,380,7704,0,8084
TAMIL NADU,ERODE,1705,1320,0,3025
TAMIL NADU,KANCHIPURAM,769,29,2,800
TAMIL NADU,KANNIYAKUMARI,1262,1781,0,3043
TAMIL NADU,KARUR,23,59,0,82
TAMIL NADU,MADRAS,NA,NA,NA,NA
TAMIL NADU,MADURAI,3,0,0,3
TAMIL NADU,NAGAPATTINAM,4,20,0,24
TAMIL NADU,NAMAKKAL,1,3286,3,3290
TAMIL NADU,PERAMBALUR,24,666,0,690
TAMIL NADU,PUDUKOTTAI,170,3959,298,4427
TAMIL NADU,RAMNATHAPURAM,200,1456,1,1657
TAMIL NADU,SALEM,14,46,0,60
TAMIL NADU,SIVAGANGA,4592,1731,0,6323
TAMIL NADU,THANJAVUR,608,27,0,635
TAMIL NADU,THE NILGIRIS,NA,NA,NA,NA
TAMIL NADU,THENI,3525,599,0,4124
TAMIL NADU,THOOTHUGUDI,178,451,0,629
TAMIL NADU,TIRUNELVELI,160,2334,0,2494
TAMIL NADU,TIRUVALLUR,99,743,0,842
TAMIL NADU,TIRUVANNAMALAI,8189,753,69,9011
TAMIL NADU,TIRUVARUR,67,1,0,68
TAMIL NADU,TRICHIRAPPALLI,18,2,767,787
TAMIL NADU,VELLORE,267,264,2,533
TAMIL NADU,VILLUPURAM,376,3776,2,4154
TAMIL NADU,VIRUDHUNAGAR,41,924,1,966
TRIPURA,DHALAI,0,75,0,75
TRIPURA,NORTH,17,130,0,147
TRIPURA,SOUTH,1,222,0,223
TRIPURA,WEST,1,154,0,155
UTTAR PRADESH,AGRA,0,3,0,3
UTTAR PRADESH,ALIGARH,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,73,8,0,81
UTTAR PRADESH,ALMORA,0,4262,0,4262
UTTAR PRADESH,AMBEDKAR NAGAR,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,0,16,0,16
UTTAR PRADESH,BADAUN,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,0,5,0,5
UTTAR PRADESH,BALLIA,9,12,0,21
UTTAR PRADESH,BANDA,38,19,1,58
UTTAR PRADESH,BARABANKI,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,NA,NA,NA,NA
UTTAR PRADESH,BASTI,NA,NA,NA,NA
UTTAR PRADESH,BIJNOR,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,NA,NA,NA,NA
UTTAR PRADESH,CHAMOLI(GOPESHWAR),282,1524,24,1830
UTTAR PRADESH,DEHRADUN,124,523,0,647
UTTAR PRADESH,DEORIA,0,1,0,1
UTTAR PRADESH,ETAH,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,0,1,0,1
UTTAR PRADESH,FAIZABAD,NA,NA,NA,NA
UTTAR PRADESH,FARUKHABAD,1,15,0,16
UTTAR PRADESH,FATEHPUR,NA,NA,NA,NA
UTTAR PRADESH,FIROZABAD,NA,NA,NA,NA
UTTAR PRADESH,GHAZIABAD,NA,NA,NA,NA
UTTAR PRADESH,GHAZIPUR,0,6,0,6
UTTAR PRADESH,GONDA,15,17,0,32
UTTAR PRADESH,GORAKHPUR,NA,NA,NA,NA
UTTAR PRADESH,HAMIRPUR,NA,NA,NA,NA
UTTAR PRADESH,HARDOI,NA,NA,NA,NA
UTTAR PRADESH,HARDWAR,NA,NA,NA,NA
UTTAR PRADESH,JALAUN,47,20,0,67
UTTAR PRADESH,JAUNPUR,NA,NA,NA,NA
UTTAR PRADESH,JHANSI,12,36,0,48
UTTAR PRADESH,KANPUR DEHAT,0,1,0,1
UTTAR PRADESH,KANPUR NAGAR,NA,NA,NA,NA
UTTAR PRADESH,KHIRI,2,3,0,5
UTTAR PRADESH,KUSHI NAGAR,3,0,0,3
UTTAR PRADESH,LALITPUR,NA,NA,NA,NA
UTTAR PRADESH,LUCKNOW,NA,NA,NA,NA
UTTAR PRADESH,MAHOBA,NA,NA,NA,NA
UTTAR PRADESH,MAHRAJGANJ,3,4,0,7
UTTAR PRADESH,MAINPURI,NA,NA,NA,NA
UTTAR PRADESH,MATHURA,NA,NA,NA,NA
UTTAR PRADESH,MAU,NA,NA,NA,NA
UTTAR PRADESH,MEERUT,NA,NA,NA,NA
UTTAR PRADESH,MIRZAPUR,426,487,1,914
UTTAR PRADESH,MORADABAD,NA,NA,NA,NA
UTTAR PRADESH,MUZAFFER NAGAR,NA,NA,NA,NA
UTTAR PRADESH,NAINITAL,797,2503,2,3302
UTTAR PRADESH,PAURI GARHWAL,213,3214,0,3427
UTTAR PRADESH,PILIBHIT,NA,NA,NA,NA
UTTAR PRADESH,PITHORAGARH,187,2340,0,2527
UTTAR PRADESH,PRATAPGARH,NA,NA,NA,NA
UTTAR PRADESH,RAEBARELY,NA,NA,NA,NA
UTTAR PRADESH,RAMPUR,NA,NA,NA,NA
UTTAR PRADESH,SAHARANPUR,NA,NA,NA,NA
UTTAR PRADESH,SANT RAVIDAS NAGAR,NA,NA,NA,NA
UTTAR PRADESH,SHAHJAHANPUR,NA,NA,NA,NA
UTTAR PRADESH,SIDDHARTH NAGAR,NA,NA,NA,NA
UTTAR PRADESH,SITAPUR,NA,NA,NA,NA
UTTAR PRADESH,SONBHADRA,399,606,1,1006
UTTAR PRADESH,SULTANPUR,NA,NA,NA,NA
UTTAR PRADESH,TEHRI GARHWAL,506,2849,0,3355
UTTAR PRADESH,UDHAMSINGH NAGAR,330,349,0,679
UTTAR PRADESH,UNNAO,NA,NA,NA,NA
UTTAR PRADESH,UTTARKASHI,69,1406,0,1475
UTTAR PRADESH,VARANASI,64,25,0,89
WEST BENGAL,BANKURA,3733,10640,0,14373
WEST BENGAL,BIRBHUM,1960,2713,0,4673
WEST BENGAL,BURDWAN,1070,2982,0,4052
WEST BENGAL,COOCHBEHAR,1,218,0,219
WEST BENGAL,DAKSHIN DINAJPUR,413,5103,0,5516
WEST BENGAL,DARJEELING,7,261,0,268
WEST BENGAL,HOOGLY,42,342,0,384
WEST BENGAL,HOWRAH,258,1183,0,1441
WEST BENGAL,JALPAIGURI,51,370,0,421
WEST BENGAL,MALDA,4,752,0,756
WEST BENGAL,MIDNAPORE,1606,5498,0,7104
WEST BENGAL,MURSHIDABAD,93,2004,0,2097
WEST BENGAL,NADIA,NA,NA,NA,NA
WEST BENGAL,NORTH 24 PARGANAS,17,11,0,28
WEST BENGAL,PURULIA,1528,15605,0,17133
WEST BENGAL,SOUTH 24 PARGANAS,348,7616,0,7964
WEST BENGAL,UTTAR DINAJPUR,2,23,0,25
ANDAMAN & NICOBARS,ANDAMAN,NA,NA,NA,NA
ANDAMAN & NICOBARS,NICOBARS,NA,NA,NA,NA
CHANDIGARH,,NA,NA,NA,NA
DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,0,11,0,11
DAMAN & DIU,,NA,NA,NA,NA
DELHI,CENTRAL-DELHI,NA,NA,NA,NA
DELHI,EAST,NA,NA,NA,NA
DELHI,NORTH-EAST,NA,NA,NA,NA
DELHI,NORTH-WEST,3,1351,0,1354
DELHI,SOUTH-EAST,NA,NA,NA,NA
DELHI,SOUTH-WEST,NA,NA,NA,NA
DELHI,WEST,0,29,0,29
LAKSHADWEEP,,NA,NA,NA,NA
PONDICHERRY,KARAIKAL,3,14513,0,14516
PONDICHERRY,MAHE,NA,NA,NA,NA
PONDICHERRY,PONDICHERRY,2,2826,3,2831
PONDICHERRY,YANAM,0,298,0,298
