-----
{
 "description": "The table shows the Budgetary Transactions of the Central and State Governments & Union Territories of India for the years 1980-81, 1990-91, 2000-01, 2007-08, 2008-09, 2009-10, 2010-11 and 2011-12. It gives details of various Budgetary Transactions such as Total Outlay, Current Revenues, Non-Tax ...", 
 "file_name": "tab22.xls", 
 "title": "Download XLS for Budgetary Transactions of the Central and State Governments and Union Territories(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab22.xls"
}
-----
"2.2 BUDGETARY TRANSACTIONS OF THE CENTRAL AND STATE GOVERNMENTS AND UNION TERRITORIES","","","","","","","","",""
"(Including internal and extra-budgetary resources of public sector undertakings for their plans)","","","","","","","","",""
"","","","","","","(` crore)","","",""
"","1980-81","1990-91","2000-01","2007-08","2008-09","2009-10","2010-11","2010-11","2011-12"
"","","","","","","","(BE)","(RE)","(BE)"
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
"I.  TOTAL OUTLAY",36845.0,176548.0,615658.0,1431960.0,1721651.23,2070959.42,2292510.29,2458842.21,2694145.03
"  A.  DEVELOPMENT1",24426.0,105922.0,317464.0,830644.0,999140.0,1170691.0,1339678.4,1442691.0,1583525.0
"  B.  NON-DEVELOPMENT",12419.0,70626.0,298194.0,601316.0,722511.23,900268.42,952831.89,1016151.21,1110620.03
"      1. Defence (net)",3600.0,15427.0,49622.0,91681.0,114223.0,141781.09,147344.0,151581.69,164415.49
"      2. Interest payments",2957.0,25006.0,122792.0,249195.0,277637.0,317286.76,359988.0,359886.42,401185.71
"      3. Tax collection charges",504.0,1973.0,6570.0,11895.0,14858.0,18490.08,20946.0,21221.31,23601.3
"      4. Police",1163.0,5657.0,21343.0,39743.0,51399.0,67829.79,68033.0,78542.18,87454.4
"      5. Others2",4195.0,22563.0,97867.0,208802.0,264394.23,354880.7,356520.89,404919.61,433963.13
"II.   CURRENT REVENUE",24563.0,110607.0,393284.0,1124843.0,1200090.99,1321413.73,1572558.14,1717443.48,1898108.17
