-----
{
 "description": "This table provides area-wise details on the number of research and development proposals not found suitable during 2011-12 and 2012-13.", 
 "file_name": "Areawise_No_of_RnD_Proposals_Not_Found_Suitable_During_2011-12_2012-13_12.xls", 
 "title": "Download XLS for Area-wise Number of Research And Development Proposals Not Found Suitable During 2011-12 And 2012-13", 
 "url": "http://data.gov.in/sites/default/files/Areawise_No_of_RnD_Proposals_Not_Found_Suitable_During_2011-12_2012-13_12.xls"
}
-----
"Name of Areas","2011-2012","2012-2013"
"Agriculture-I",5.0,0.0
"Agriculture-III",7.0,7.0
"ANIMAL BIOTECHNOLOGY",9.0,14.0
"ANIMAL DIAGNOSTIC AND VACCINE",1.0,15.0
"AQUACULTURE AND MARINE BIOTECHNOLOGY",10.0,13.0
"BASIC RESEARCH IN MODERN BIOLOGY",5.0,7.0
"BIOENGINEERING",19.0,22.0
"BIOINFORMATICS R&D PROJECTS",8.0,14.0
"BIOPESTICIDES AND CROP MANAGEMENT",5.0,10.0
"BPPD- MICROBIAL AND INDUSTRIAL BIOTECHNOLOGY",10.0,17.0
"ENERGY BIOSCIENCES - BIOFUELS",10.0,19.0
"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION",20.0,27.0
"FOOD AND NUTRITION SECURITY",6.0,53.0
"INFRASTRUCTURE FACILITIES",1.0,8.0
"MEDICAL BIOTECHNOLOGY - DEVELOPMENTAL AND DISEASE ",39.0,3.0
"MEDICAL BIOTECHNOLOGY - HUMAN GENETICS AND GENOME ",11.0,8.0
"MEDICAL BIOTECHNOLOGY - INFECTIOUS DISEASES",72.0,21.0
"MEDICAL BIOTECHNOLOGY - NON-INFECTIOUS DISEASES",47.0,48.0
"MEDICAL BIOTECHNOLOGY - STEM CELL BIOLOGY",16.0,9.0
"MEDICINAL AND AROMATIC PLANTS",17.0,29.0
"NANOSCIENCE AND NANOTECHNOLOGY APPLICATION IN BIOL",3.0,6.0
"NATIONAL BIO-RESOURCE DEVELOPMENT BOARD - BIOPROSPECTING",9.0,10.0
"PLANT BIOTECHNOLOGY",3.0,14.0
"SERIBIOTECHNOLOGY",1.0,3.0
"Total",334.0,377.0
