-----
{
 "description": "The table refers to district wise irrigation potential utilised under surface flow schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.12.csv", 
 "title": "Download CSV for Districtwise Irrigation potential utilised under Surface Flow Schemes for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.12.csv"
}
-----
State,District,Actual area irrigated (Ha) - Kharif,Actual area irrigated (Ha) - Rabi,Actual area irrigated (Ha) - Perennial,Actual area irrigated (Ha) - Others,Total
ANDHRA PRADESH,ADILABAD,16887,187,0,0,17074
ANDHRA PRADESH,ANANTHAPUR,7450,7161,396,16,15023
ANDHRA PRADESH,CHITTOOR,21075,44445,23,4,65547
ANDHRA PRADESH,CUDDAPAH,7865,9563,304,2,17734
ANDHRA PRADESH,EAST GODAVARI,31095,1058,848,9,33010
ANDHRA PRADESH,GUNTUR,3910,344,0,0,4254
ANDHRA PRADESH,HYDERABAD,61,24,84,0,169
ANDHRA PRADESH,KARIMNAGAR,31987,9499,2,0,41488
ANDHRA PRADESH,KHAMMAM,50256,3657,1,0,53914
ANDHRA PRADESH,KRISHNA,16776,3836,91,140,20843
ANDHRA PRADESH,KURNOOL,11140,2336,3,0,13479
ANDHRA PRADESH,MAHABOOB NAGAR,5134,4991,5,176,10306
ANDHRA PRADESH,MEDAK,20946,1688,287,83,23004
ANDHRA PRADESH,NALGONDA,16197,10778,2,2,26979
ANDHRA PRADESH,NELLORE,14541,104009,381,0,118931
ANDHRA PRADESH,NIZAMABAD,35962,2618,48,38,38666
ANDHRA PRADESH,PRAKASAM,18849,17546,125,0,36520
ANDHRA PRADESH,RANGA REDDY,2672,2372,498,1,5543
ANDHRA PRADESH,SRIKAKULUM,120420,781,211,0,121412
ANDHRA PRADESH,VIJAYA NAGARAM,82621,3066,2730,140,88557
ANDHRA PRADESH,VISAKHAPATNAM,76177,4353,6384,96,87010
ANDHRA PRADESH,WARANGAL,60955,8619,149,0,69723
ANDHRA PRADESH,WEST GODAVARI,19911,597,0,0,20508
ARUNACHAL PRADESH,CHANGLANG,1706,74,0,52,1832
ARUNACHAL PRADESH,DIBANG VALLEY,1373,377,114,313,2177
ARUNACHAL PRADESH,EAST KAMENG,954,126,5,7,1092
ARUNACHAL PRADESH,EAST SIANG,7573,224,13,27,7837
ARUNACHAL PRADESH,LOHIT,1721,110,0,85,1916
ARUNACHAL PRADESH,LOWER SUBANSIRI,6571,2,0,0,6573
ARUNACHAL PRADESH,PAPUM PARE,1161,135,20,41,1357
ARUNACHAL PRADESH,TAWANG,754,241,12,69,1076
ARUNACHAL PRADESH,TIRAP,564,19,3,40,626
ARUNACHAL PRADESH,UPPER SIANG,1373,132,14,13,1532
ARUNACHAL PRADESH,UPPER SUBANSIRI,633,14,4,4,655
ARUNACHAL PRADESH,WEST KAMENG,237,46,0,0,283
ARUNACHAL PRADESH,WEST SIANG,815,25,1,15,856
ASSAM,BARPETA,599,1,0,0,600
ASSAM,BONGAIGAON,417,176,0,101,694
ASSAM,CACHAR,147,85,0,9,241
ASSAM,DARRANG,20545,4192,0,32,24769
ASSAM,DHEMAJI,69,8,0,0,77
ASSAM,DHUBRI,702,492,0,4,1198
ASSAM,DIBRUGARH,5,2,0,0,7
ASSAM,GOALPARA,9597,203,0,0,9800
ASSAM,GOLAGHAT,50,15,0,0,65
ASSAM,HAILAKANDI,NA,NA,NA,NA,NA
ASSAM,JORHAT,390,95,0,0,485
ASSAM,KAMRUP,3629,1585,1,50,5265
ASSAM,KARBI ANGLONG,12385,2247,160,326,15118
ASSAM,KARIMGANJ,0,0,0,0,0
ASSAM,KOKRAJHAR,804,262,0,0,1066
ASSAM,LAKHIMPUR,200,100,0,0,300
ASSAM,MARIGAON,2793,123,0,7,2923
ASSAM,NAGAON,1410,356,0,118,1884
ASSAM,NALBARI,7118,1229,0,20,8367
ASSAM,NORTH CACHAR HILLS,3400,37,0,0,3437
ASSAM,SIBSAGAR,404,108,0,0,512
ASSAM,SONITPUR,10752,693,0,0,11445
ASSAM,TINSUKIA,576,3,0,0,579
BIHAR,ARARIA,0,138,0,0,138
BIHAR,AURANGABAD,NA,NA,NA,NA,NA
BIHAR,BANKA,16446,5395,124,219,22184
BIHAR,BEGUSARAI,0,0,0,0,0
BIHAR,BHABUA,2865,1200,0,0,4065
BIHAR,BHAGALPUR,3707,1610,229,415,5961
BIHAR,BHOJPUR,5739,1677,22,11,7449
BIHAR,BOKARO,1830,362,59,6,2257
BIHAR,BUXAR,1910,1314,24,0,3248
BIHAR,CHAMPARAN EAST,61,32,1,0,94
BIHAR,CHAMPARAN WEST,935,519,0,1,1455
BIHAR,CHATRA,10121,2703,65,45,12934
BIHAR,DARBHANGA,217,319,4,0,540
BIHAR,DEOGHAR,7107,2189,116,84,9496
BIHAR,DHANBAD,1956,1314,20,59,3349
BIHAR,DUMKA,10040,4247,306,307,14900
BIHAR,GARHWA,13200,1994,62,74,15330
BIHAR,GAYA,89459,5916,470,432,96277
BIHAR,GIRIDIH,12582,3849,121,121,16673
BIHAR,GODDA,10373,4512,278,150,15313
BIHAR,GOPALGANJ,NA,NA,NA,NA,NA
BIHAR,GUMLA,1625,865,144,89,2723
BIHAR,HAZARIBAG,3831,1668,102,32,5633
BIHAR,JAMUI,20895,5707,790,405,27797
BIHAR,JEHANABAD,10172,2761,180,21,13134
BIHAR,KATIHAR,NA,NA,NA,NA,NA
BIHAR,KHAGARIA,0,0,0,0,0
BIHAR,KISHANGANJ,NA,NA,NA,NA,NA
BIHAR,KODARMA,1412,790,9,2,2213
BIHAR,LAKHISARAI,3069,1180,0,171,4420
BIHAR,LOHARDAGA,109,165,2,3,279
BIHAR,MADHEPURA,100,100,0,0,200
BIHAR,MADHUBANI,749,1032,43,43,1867
BIHAR,MUNGER,12078,4209,0,0,16287
BIHAR,MUZAFFARPUR,6,4,0,1,11
BIHAR,NALANDA,11191,2046,38,20,13295
BIHAR,NAWADA,67315,3297,55,65,70732
BIHAR,PAKUR,2549,1642,49,28,4268
BIHAR,PALAMU,40012,6041,662,441,47156
BIHAR,PATNA,6598,3971,125,18,10712
BIHAR,PURNIA,14,14,0,0,28
BIHAR,RANCHI,844,645,235,32,1756
BIHAR,ROHTAS,4824,1527,29,9,6389
BIHAR,SAHARSA,0,0,0,0,0
BIHAR,SAHEBGANJ,2512,1557,17,8,4094
BIHAR,SAMASTIPUR,168,477,4,2,651
BIHAR,SARAN,149,4031,91,1,4272
BIHAR,SHEIKHPURA,6422,342,14,0,6778
BIHAR,SHEOHAR,42,56,10,0,108
BIHAR,SINGHBHUM EAST,2511,1872,66,119,4568
BIHAR,SINGHBHUM WEST,7335,2292,190,42,9859
BIHAR,SITAMARHI,537,216,40,2,795
BIHAR,SIWAN,53,75,3,1,132
BIHAR,SUPAUL,30,0,0,0,30
BIHAR,VAISHALI,29,19,4,4,56
GOA,NORTH GOA,11,5092,1117,56,6276
GOA,SOUTH GOA,273,2493,372,69,3207
GUJARAT,,NA,NA,NA,NA,NA
HARYANA,AMBALA,1203,1205,0,0,2408
HARYANA,BHIWANI,8,100,0,0,108
HARYANA,FARIDABAD,6,17,0,0,23
HARYANA,GURGAON,212,212,0,0,424
HARYANA,HISAR,NA,NA,NA,NA,NA
HARYANA,JIND,NA,NA,NA,NA,NA
HARYANA,KAITHAL,NA,NA,NA,NA,NA
HARYANA,KARNAL,NA,NA,NA,NA,NA
HARYANA,KURUKSHETRA,128,128,0,0,256
