-----
{
 "description": "This spread sheet describes the location of Iron Ore deposits in India with locational attributes (locality, state, toposheets, latitude and longitude), geological attributes (host rock and its startigraphic position in terms of geological formation), metallogenesis and morphogenesis.", 
 "file_name": "Iron_Ore_1.xls", 
 "title": "Download XLS for Location of Iron Ore deposits in India and its Salient Features", 
 "url": "http://data.gov.in/sites/default/files/Iron_Ore_1.xls"
}
-----
"METALLOGENESIS","LOCALITY","STATE","TOPOSHEET","LATITUDE","LONGITUDE","LATDD","LONDD","COMMODITY","HOSTROCK","MORPHOGENESIS","FORMATION"
"BABABUDAN RANGE","ATTIGUNDI-GALLIKERA","KARNATAKA","48 O","13 25 N","75 45 E",13.4166666667,75.75,"Iron","BHQ,METAPELITE,METAVOLCANICS","VOLCANOSEDIMENTARY-BEDDED","BABABUDAN Sgp."
"BABABUDAN RANGE","KEMMANAGUNDI","KARNATAKA","48 O","13 32-33 N","75 45 E",13.5333333333,75.75,"Iron","BHQ,METAPELITE,METAVOLCANICS","VOLCANOSEDIMENTARY-BEDDED","DHARWAR Sgp."
"BAILADILA BELT","BAILADILA","CHATTISGARH","65 F","18 40-50 N","81 11-14 E",18.6666666667,81.1833333333,"Iron","BHQ,METAPELITE,METAVOLCANICS","VOLCANOSEDIMENTARY-BEDDED","BAILADILA Gp."
"BELLARY (SANDUR SCHIST BELT)","OBULAPURAM","KARNATAKA","57 A","15 04 15 N","76 50 20 E",15.0708333333,76.8388888889,"Iron","SHALE,PHYLLITE,BHQ","BEDDED","EASTERN GREENSTONE"
"BONAI-BADAMPAHAR BELT","BADAMGARH","ORISSA","73 G","21 48N","85 16E",21.8,85.2666666667,"Iron","BHQ,SHALE INTERLAYERED WITH LAVA","BEDDED-VOLCANOSEDIMENTARY","BONAI Gp."
"BONAI-BADAMPAHAR BELT","BALIA-KHEJURDARI","ORISSA","73 G","21 50N","85 16E",21.8333333333,85.2666666667,"Iron","BHQ,SHALE INTERLAYERED WITH LAVA","BEDDED-VOLCANOSEDIMENTARY","BONAI Gp."
"BONAI-BADAMPAHAR BELT","FULIHARI-KURMITAR-SILJORA","ORISSA","73 G","21 45-21 46N","85 09-85 11E",21.75,85.15,"Iron","BHQ,SHALE INTERLAYERED WITH LAVA","BEDDED-VOLCANOSEDIMENTARY","BONAI Gp."
"BONAI-BADAMPAHAR BELT","KALTA","ORISSA","73 G","21 51N","85 08E",21.85,85.1333333333,"Iron","BHQ,SHALE INTERLAYERED WITH LAVA","BEDDED-VOLCANOSEDIMENTARY","BONAI Gp."
"BONAI-BADAMPAHAR BELT","MANKAMACHA","ORISSA","73 G","21 48N","85 18E",21.8,85.3,"Iron","BHQ,SHALE INTERLAYERED WITH LAVA","BEDDED-VOLCANOSEDIMENTARY","BONAI Gp."
"BONAI-KEONJHAR RANGE BELT","KHANDBAND","ORISSA","73 G","21 57N","85 24E",21.95,85.4,"Iron","BHQ,SHALE","BEDDED-VOLCANOSEDIMENTARY","BONAI Gp."
"BONAI-KEONJHAR RANGE BELT","NAOGOWN","ORISSA","73 G","22 00N","85 07E",22.0,85.1166666667,"Iron","BHQ,SHALE INTERLAYERED WITH LAVA","BEDDED-VOLCANOSEDIMENTARY","BONAI Gp."
"BONAI-NOAMUNDI-JAMDA BELT","BARAIBURU","JHARKHAND","73 F","22 10N","85 10E",22.1666666667,85.1666666667,"Iron","BFQ,SHALE","BEDDED-VOLCANOSEDIMENTARY","BONAI Gp."
"BONAI-NOAMUNDI-JAMDA BELT","KARAMPADA","ORISSA","73 G","22 00N","85 10E",22.0,85.1666666667,"Iron","BHQ,SHALE","BEDDED-VOLCANOSEDIMENTARY","BONAI Gp."
"BONAI-NOAMUNDI-JAMDA PROVINCE","AJITBURU","JHARKHAND","73 F","22 10-22 14N","85 20-85 25E",22.2166666667,85.3833333333,"Iron","BHQ,SHALE-INTERLAYERED WITH LAVA","BEDDED-VOLCANOSEDIMENTARY","BONAI Gp."
"BONAI-NOAMUNDI-JAMDA PROVINCE","BARAJAMDA","ORISSA","73 F","22 05N","85 20E",22.0833333333,85.3333333333,"Iron","BHQ,SHALE INTERLAYERED WITH LAVA FLOW","BEDDED-VOLCANOSEDIMENTARY","IRON ORE Sgp.(BONAI)"
"BONAI-NOAMUNDI-JAMDA PROVINCE","GHATKURI","ORISSA","73 F","22 15N","85 25E",22.25,85.4166666667,"Iron","BHQ,SHALE INTERLAYERED WITH LAVA","BEDDED-VOLCANOSEDIMENTARY","BONAI Gp."
"BONAI-NOAMUNDI-JAMDA PROVINCE","ITAR-BALIJODI","ORISSA","73 F","22 20N","85 35E",22.3333333333,85.5833333333,"Iron","BHQ,SHALE INTERLAYERED WITH LAVA FLOWS","BEDDED-VOLCANOSEDIMENTARY","IRON ORE Sgp.(BONAI)"
"BONAI-NOAMUNDI-JAMDA PROVINCE","JODA","ORISSA","73 F","22 01N","85 26E",22.0166666667,85.4333333333,"Iron","BHJ,SHALE","BEDDED-VOLCANOSEDIMENTARY","BONAI Gp."
"BONAI-NOAMUNDI-JAMDA PROVINCE","KANTORIA","JHARKHAND","73 F","22 10N","85 25E",22.1666666667,85.4166666667,"Iron","BHQ,SHALE INTERLAYERED WITH LAVA FLOWS","BEDDED-VOLCANOSEDIMENTARY","IRON ORE Sgp.(BONAI)"
"BONAI-NOAMUNDI-JAMDA PROVINCE","KUMITRA","JHARKHAND","73 F","22 10N","85 30E",22.1666666667,85.5,"Iron","BHQ,SHALE INTERLAYERED WITH LAVA FLOWS","BEDDED-VOLCANOSEDIMENTARY","IRON ORE Sgp.(BONAI)"
"BONAI-NOAMUNDI-JAMDA PROVINCE","MERALGORA","JHARKHAND","73 F","22 05-22 10N","85 30-85 35E",22.1166666667,85.55,"Iron","BHQ,SHALE,BHQ","BEDDED-VOLCANOSEDIMENTARY","IRON ORE Sgp.(BONAI)"
"BONAI-NOAMUNDI-JAMDA PROVINCE","NOAMUNDI","ORISSA","73 F","22 09N","85 29E",22.15,85.4833333333,"Iron","BHQ,SHALE INTERLAYERED WITH LAVA FLOWS","BEDDED-VOLCANOSEDIMENTARY","IRON ORE Sgp.(BONAI)"
"BONAI-NOAMUNDI-JAMDA PROVINCE","THAKURANI","ORISSA","73 F","22 08-22 09N","85 30E",22.1358333333,85.5,"Iron","BHQ,SHALE INTERLAYERED WITH LAVA FLOWS","BEDDED-VOLCANOSEDIMENTARY","IRON ORE Sgp.(BONAI)"
"CHIRIA-MANOHARPUKUR SECTOR","NOTABURU","JHARKHAND","73 F","22 18N","85 22E",22.3,85.3666666667,"Iron","SHALE,BHQ","BEDDED-SEDIMENTARY","BONAI Gp."
"CHIRIA-MANOHARPUKUR SECTOR","CHIRIA","JHARKHAND","73 F","22 18N","85 17E",22.3,85.2833333333,"Iron","BHJ,QTZT,QTZ.SCHIST,PHYLLITE","BEDDED-SEDIMENTARY","IRON ORE GROUP"
