-----
{
 "description": "This data provides details of Hon\u2019ble Members of the Ninth Lok Sabha from 2nd December 1989 to 13th March 1991. It consists of name of members, constituency name, state name and party name.", 
 "file_name": "Members_of_Ninth_Lok_Sabha_From_2nd_December_1989_to_13th_March_1991.xls", 
 "title": "Download XLS for Members of Ninth Lok Sabha from 2nd December 1989 to 13th March 1991", 
 "url": "http://data.gov.in/sites/default/files/Members_of_Ninth_Lok_Sabha_From_2nd_December_1989_to_13th_March_1991.xls"
}
-----
"Lok Sabha","Member Name","Gender","Constituency Name","State Name","Party Name"
"Ninth Lok Sabha","Shri A.K.A. Abdul Samad","Male","Vellore                                                                                             ","Tamil Nadu                                                  ","Congress (I)"
"Ninth Lok Sabha","Shri Basudeb Acharia","Male","Bankura                                                                                             ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Ninth Lok Sabha","Shri Lourdusamy Adaikalaraj","Male","Tiruchirappalli                                                                                     ","Tamil Nadu                                                  ","Congress (I)"
"Ninth Lok Sabha","Shri Lal Krishna Advani","Male","New Delhi                                                                                           ","Delhi                                                       ","Bharatiya Janata Party"
"Ninth Lok Sabha","Shri Jai Prakash Agarwal","Male","Chandni Chowk                                                                                       ","Delhi                                                       ","Congress (I)"
"Ninth Lok Sabha","Shri Rajendra Agnihotri","Male","Jhansi                                                                                              ","Uttar Pradesh                                               ","Bharatiya Janata Party"
"Ninth Lok Sabha","Dr. Daulatrao Aher","Male","Nashik                                                                                              ","Maharashtra                                                 ","Bharatiya Janata Party"
"Ninth Lok Sabha","Shri Kamaluddin Ahmed","Male","Hanamkonda                                                                                          ","Andhra Pradesh                                              ","Congress (I)"
"Ninth Lok Sabha","Shri Ajay Singh","Male","Agra                                                                                                ","Uttar Pradesh                                               ","Janata Dal"
"Ninth Lok Sabha","Shri Mobashar Jawed Akbar","Male","Kishanganj                                                                                          ","Bihar                                                       ","Congress (I)"
"Ninth Lok Sabha","Shri Vijayaraghavan Alampadan","Male","Palghat                                                                                             ","Kerala                                                      ","Communist Party of India (Marxist)"
"Ninth Lok Sabha","Shri Debananda Amat","Male","Sundergarh-ST                                                                                       ","Odisha                                                      ","Janata Dal"
"Ninth Lok Sabha","Shri Anand Singh","Male","Gonda                                                                                               ","Uttar Pradesh                                               ","Congress (I)"
"Ninth Lok Sabha","Shri Era Anbarasu","Male","Madras Central                                                                                      ","Tamil Nadu                                                  ","Congress (I)"
"Ninth Lok Sabha","Shri Sai Prathap Annayyagari","Male","Rajampet                                                                                            ","Andhra Pradesh                                              ","Congress (I)"
"Ninth Lok Sabha","Shri P.A. Antony","Male","Trichur                                                                                             ","Kerala                                                      ","Congress (I)"
"Ninth Lok Sabha","Shri Abdul Rehman Antulay","Male","Kolaba                                                                                              ","Maharashtra                                                 ","Congress (I)"
"Ninth Lok Sabha","Shri Anwar Ahmad","Male","Unnao                                                                                               ","Uttar Pradesh                                               ","Janata Dal"
"Ninth Lok Sabha","Shri Basavaraj Patil Anwari","Male","Koppal                                                                                              ","Karnataka                                                   ","Janata Dal"
"Ninth Lok Sabha","Shri Chhabiram Argal","Male","Morena-SC                                                                                           ","Madhya Pradesh                                              ","Bharatiya Janata Party"
"Ninth Lok Sabha","Shri Mookaiah Arunachalam","Male","Tenkasi-SC                                                                                          ","Tamil Nadu                                                  ","Congress (I)"
"Ninth Lok Sabha","Shri A. Ashokaraj","Male","Perambalur-SC                                                                                       ","Tamil Nadu                                                  ","All India Anna Dravida Munnetra Kazhagam"
"Ninth Lok Sabha","Shri Dhanuskodi Athithan","Male","Tiruchendur                                                                                         ","Tamil Nadu                                                  ","Congress (I)"
"Ninth Lok Sabha","Sardar Atinder Pal Singh","Male","Patiala                                                                                             ","Punjab                                                      ","Nominated"
"Ninth Lok Sabha","Mahant Avedyanath","Male","Gorakhpur                                                                                           ","Uttar Pradesh                                               ","Akhil Bharatiya Hindu Mahasabha"
"Ninth Lok Sabha","Shri Arif Baig","Male","Betul                                                                                               ","Madhya Pradesh                                              ","Bharatiya Janata Party"
"Ninth Lok Sabha","Shri Ramesh Bais","Male","Raipur                                                                                              ","Madhya Pradesh                                              ","Bharatiya Janata Party"
"Ninth Lok Sabha","Shri Mahendra Baitha","Male","Bagaha-SC                                                                                           ","Bihar                                                       ","Janata Dal"
"Ninth Lok Sabha","Dr. Rajendra Kumari Bajpai","Female","Sitapur                                                                                             ","Uttar Pradesh                                               ","Congress (I)"
"Ninth Lok Sabha","Dr. Asim Bala","Male","Nabadwip-SC                                                                                         ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Ninth Lok Sabha","Shri Tadur Bala Goud","Male","Nizamabad                                                                                           ","Andhra Pradesh                                              ","Congress (I)"
"Ninth Lok Sabha","Shri L. Balaraman","Male","Vandavasi                                                                                           ","Tamil Nadu                                                  ","Congress (I)"
"Ninth Lok Sabha","Dr. Vyjayantimala Bali","Female","Madras South                                                                                        ","Tamil Nadu                                                  ","Congress (I)"
"Ninth Lok Sabha","Shri Gulam Mehmood Banatwalla","Male","Ponnani                                                                                             ","Kerala                                                      ","Muslim League"
"Ninth Lok Sabha","Shri Hemendra Singh Banera","Male","Bhilwara                                                                                            ","Rajasthan                                                   ","Janata Dal"
"Ninth Lok Sabha","Shri Kisan Rao Bankhele","Male","Khed                                                                                                ","Maharashtra                                                 ","Janata Dal"
"Ninth Lok Sabha","Shri Bansi Lal","Male","Bhiwani                                                                                             ","Haryana                                                     ","Congress (I)"
"Ninth Lok Sabha","Shri Palas Barman","Male","Balurghat-SC                                                                                        ","West Bengal                                                 ","Revolutionary Socialist Party"
"Ninth Lok Sabha","Smt. Basava Rajeswari","Female","Bellary                                                                                             ","Karnataka                                                   ","Congress (I)"
"Ninth Lok Sabha","Shri Basavapunnaiah Singam","Male","Tenali                                                                                              ","Andhra Pradesh                                              ","Congress (I)"
"Ninth Lok Sabha","Shri Gangasandra Siddappa Basavaraj","Male","Tumkur                                                                                              ","Karnataka                                                   ","Congress (I)"
"Ninth Lok Sabha","Shri Thalekkunil Basheer","Male","Chirayinkil                                                                                         ","Kerala                                                      ","Congress (I)"
"Ninth Lok Sabha","Shri Anil Basu","Male","Arambagh                                                                                            ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Ninth Lok Sabha","Shri Chitta Basu","Male","Barasat                                                                                             ","West Bengal                                                 ","All India Forward Bloc"
"Ninth Lok Sabha","Shri Yusuf Beg","Male","Mirzapur                                                                                            ","Uttar Pradesh                                               ","Janata Dal"
"Ninth Lok Sabha","Shri Bhajaman Behera","Male","Dhenkanal                                                                                           ","Odisha                                                      ","Janata Dal"
"Ninth Lok Sabha","Dr. Bengali Singh","Male","Hathras-SC                                                                                          ","Uttar Pradesh                                               ","Janata Dal"
"Ninth Lok Sabha","Shri Salagala Benjamin","Male","Bapatla                                                                                             ","Andhra Pradesh                                              ","Congress (I)"
"Ninth Lok Sabha","Shri H.K.L. Bhagat","Male","East Delhi                                                                                          ","Delhi                                                       ","Congress (I)"
"Ninth Lok Sabha","Shri Bhagey Gobardhan","Male","Mayurbhanj-ST                                                                                       ","Odisha                                                      ","Janata Dal"
"Ninth Lok Sabha","Shri Bhajan Lal","Male","Faridabad                                                                                           ","Haryana                                                     ","Congress (I)"
"Ninth Lok Sabha","Shri Manoranjan Bhakta","Male","Andaman and Nicobar Islands                                                                         ","Andaman and Nicobar Islands                                 ","Congress (I)"
"Ninth Lok Sabha","Shri Paras Ram Bhardwaj","Male","Sarangarh-SC                                                                                        ","Madhya Pradesh                                              ","Congress (I)"
"Ninth Lok Sabha","Shri Girdhari Lal Bhargav","Male","Jaipur                                                                                              ","Rajasthan                                                   ","Bharatiya Janata Party"
"Ninth Lok Sabha","Shri Santosh Bhartiya","Male","Farrukhabad                                                                                         ","Uttar Pradesh                                               ","Janata Dal"
"Ninth Lok Sabha","Shri Mohammad Shafi Bhat","Male","Srinagar                                                                                            ","Jammu and Kashmir                                           ","Jammu and Kashmir National Conference"
"Ninth Lok Sabha","Shri Ramsewak Bhatia","Male","Jalaun-SC                                                                                           ","Uttar Pradesh                                               ","Janata Dal"
"Ninth Lok Sabha","Prof. (Smt.) Malini Bhattacharya","Female","Jadavpur                                                                                            ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Ninth Lok Sabha","Shri Nani Bhattacharya","Male","Berhampore                                                                                          ","West Bengal                                                 ","Revolutionary Socialist Party"
"Ninth Lok Sabha","Shri Prataprao Baburao Bhosale","Male","Satara                                                                                              ","Maharashtra                                                 ","Congress (I)"
"Ninth Lok Sabha","Shri Reshma Motiram Bhoye","Male","Dhule-ST                                                                                            ","Maharashtra                                                 ","Congress (I)"
"Ninth Lok Sabha","Shri Dileep Singh Bhuria","Male","Jhabua-ST                                                                                           ","Madhya Pradesh                                              ","Congress (I)"
"Ninth Lok Sabha","Dr. Khushal Parasram Bopche","Male","Bhandara                                                                                            ","Maharashtra                                                 ","Bharatiya Janata Party"
"Ninth Lok Sabha","Shri Brahm Dutt","Male","Tehri Garhwal                                                                                       ","Uttar Pradesh                                               ","Congress (I)"
"Ninth Lok Sabha","Shri Prakash Koko Brahmbhatt","Male","Baroda                                                                                              ","Gujarat                                                     ","Janata Dal"
"Ninth Lok Sabha","Smt. Rajinder Kaur Bulara","Female","Ludhiana                                                                                            ","Punjab                                                      ","Shiromani Akali Dal (Simranjit Singh Mann)"
"Ninth Lok Sabha","Shri Susanta Chakraborty","Male","Howrah                                                                                              ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Ninth Lok Sabha","Shri Chand Ram","Male","Hardoi-SC                                                                                           ","Uttar Pradesh                                               ","Janata Dal"
"Ninth Lok Sabha","Shri Chandra Shekhar","Male","Ballia                                                                                              ","Uttar Pradesh                                               ","Janata Dal"
"Ninth Lok Sabha","Shri Chandra Shekhar Singh","Male","Maharajganj                                                                                         ","Bihar                                                       ","Janata Dal"
"Ninth Lok Sabha","Smt. Maragatham Chandrasekhar","Female","Sriperumbudur-SC                                                                                    ","Tamil Nadu                                                  ","Congress (I)"
"Ninth Lok Sabha","Shri T.V. Chandrashekarappa","Male","Shimoga                                                                                             ","Karnataka                                                   ","Congress (I)"
"Ninth Lok Sabha","Shri A. Charles","Male","Trivandrum                                                                                          ","Kerala                                                      ","Congress (I)"
"Ninth Lok Sabha","Shri Nirmal Kanti Chatterjee","Male","Dumdum                                                                                              ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Ninth Lok Sabha","Shri Somnath Chatterjee","Male","Bolpur                                                                                              ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Ninth Lok Sabha","Shri Ishwar Chaudhary","Male","Gaya-SC                                                                                             ","Bihar                                                       ","Bharatiya Janata Party"
"Ninth Lok Sabha","Shri Ram Prakash Chaudhary","Male","Ambala-SC                                                                                           ","Haryana                                                     ","Congress (I)"
"Ninth Lok Sabha","Shri Rudrasen Chaudhary","Male","Kaiserganj                                                                                          ","Uttar Pradesh                                               ","Bharatiya Janata Party"
"Ninth Lok Sabha","Sqn.Ldr.(Retd.) Kamal Chaudhry","Male","Hoshiarpur                                                                                          ","Punjab                                                      ","Bharatiya Janata Party"
"Ninth Lok Sabha","Shri Bega Ram Chauhan","Male","Ganganagar-SC                                                                                       ","Rajasthan                                                   ","Janata Dal"
