-----
{
 "description": "The table shows the Financial Performance of Indian Railways. It gives item-wise details for the years 1980-81, 1990-91, 2001-02, 2008-09, 2009-10, 2010-11, 2011-12 and 2012-13. It is observed that the Net revenues have drastically increased since 2002.\r", 
 "file_name": "tab217.xls", 
 "title": "Download XLS for Financial Performance of Indian Railways(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab217.xls"
}
-----
"2.17 FINANCIAL PERFORMANCE OF INDIAN RAILWAYS","","","","","","","",""
"","","","","","","(` crore)","",""
"","1980-81","1990-91","2001-02","2008-09","2009-10","2010-11","2011-12","2012-13"
"","","","","","","","","(BE)"
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
"1. Gross traffic receipts",2624.0,12096.0,37837.0,79862.0,86964.0,94536.0,104110.36,132552.0
"    (i) Passenger coaching",827.0,3147.0,11197.0,21931.0,23488.0,25793.0,28246.43,36073.0
"    (ii) Other coaching",116.0,336.0,872.0,1972.0,2235.0,2470.0,2716.53,2994.0
"    (iii) Goods",1618.0,8408.0,24845.0,53433.0,58502.0,62845.0,69547.59,89339.0
"    (iv) Other earnings",82.0,242.0,944.0,2501.0,2880.0,3418.0,3643.0,4096.0
"    (v) Suspense account",-19.0,-37.0,-21.0,25.0,-141.0,10.0,-43.19,50.0
"2. Working expenses",2537.0,11154.0,36293.0,71839.0,82915.0,89474.0,98667.41,112400.0
"    (i) Ordinary working expenses",2233.0,8234.0,28703.0,54349.0,65810.0,68139.0,74537.41,84400.0
"    (ii) Appropriations to depreciation",220.0,1950.0,2000.0,10490.0,2187.0,5515.0,6520.0,9500.0
"         reserve fund","","","","","","","",""
"    (iii) Appropriation to pension fund",84.0,970.0,5590.0,7000.0,14918.0,15820.0,17610.0,18500.0
"3. Net traffic receipts (1-2)",87.0,942.0,1544.0,8023.0,4049.0,5062.0,5442.95,20152.0
"4. Net miscellaneous receipts",40.0,171.0,793.0,1152.0,1495.0,1285.0,1338.65,2081.0
"5. Net revenues (3+4)",127.0,1113.0,2337.0,9175.0,5544.0,6347.0,6781.6,22233.0
"6. Dividend ","","","","","","","",""
"   (i)Payable to general revenues",325.0,938.0,2337.0,4718.0,5543.0,4941.0,5656.03,6676.0
"   (ii) Payment of Deferred Dividend","","","","","","","",""
"   (iii) Deferred dividend",0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
"   (iv)Net dividend payable",325.0,938.0,1337.0,4718.0,5543.0,4941.0,5656.03,6676.0
"7. Surplus (+) or deficit (-)",-198.0,175.0,1000.0,4457.0,1.0,1406.0,1125.57,15557.0
"8. (i) Capital at charge",6096.0,16126.0,37757.0,72238.0,87655.0,130540.0,122772.04,140852.0
"   (ii) Investment from capital fund",0.0,0.0,10390.0,32063.0,35346.0,38676.0,38675.93,43591.0
"   (iii) Total[(i)+(ii)]",6096.0,16126.0,48147.0,104301.0,123001.0,169216.0,161447.97,184443.0
"9. Item 5 as % of item 8(iii)",2.08333333333,6.90189755674,4.85388497726,8.79665583264,4.50728042861,3.75082734493,4.2004863858,12.0541305444
"10. Item 7 as % of item 8(iii)",-3.24803149606,1.08520401836,2.07697260473,4.27320926933,0.000813001520313,0.830890695915,0.697171974352,8.43458412626
"Source : Ministry of Railways."," BE: Budget Estimates. ","","","","","","",""
