-----
{
 "description": "The table shows Number of Visits by Supervisors in AWC and Issues discussed as reported by AWW. It gives details regarding visits in the last 30 days, last 90 days and last 6 months and the issues discussed thereof. ", 
 "file_name": "ICDS_Table6.21.xls", 
 "title": "Download XLS for Number of Visits by Supervisors in AWC and Issues Discussed: Reported by AWW", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table6.21.xls"
}
-----
"States/UTs","Visits by ICDS supervisor (no.)-During last 30 days     ","Visits by ICDS supervisor (no.)-During last 90 days","Visits by ICDS supervisor (no.)-During last 6 months","What did he/she do? (%.)-Ensuring supply of food","What did he/she do? (%.)-Ensuring supply of other material","What did he/she do? (%.)-Guidance for preparing growth charts","What did he/she do? (%.)-Record keeping","What did he/she do? (%.)-Target/ priority setting","What did he/she do? (%.)-Link with administration"
"Andhra Pradesh",1.0,2.0,4.0,5.9,2.5,3.3,85.2,1.6,1.6
"Assam",1.0,2.0,4.0,8.6,5.6,8.6,52.4,13.6,11.2
"Bihar",0.0,1.0,2.0,22.2,3.9,0.8,62.7,3.9,6.5
"Chhattisgarh",1.0,3.0,6.0,6.6,6.0,1.4,75.3,6.0,4.8
"Gujarat",1.0,3.0,6.0,11.1,7.2,11.6,54.7,13.7,1.6
"Haryana",2.0,3.0,8.0,1.2,1.5,0.0,94.0,1.7,1.7
"Himachal Pradesh",1.0,2.0,3.0,14.8,0.0,0.0,67.9,14.9,2.4
"Jammu and Kashmir",1.0,2.0,4.0,23.8,3.2,0.0,69.1,3.9,0.0
"Jharkhand",1.0,3.0,5.0,5.2,1.1,2.8,87.2,0.0,3.7
"Karnataka",1.0,2.0,3.0,21.1,2.5,12.2,45.0,12.5,6.7
"Kerala",1.0,3.0,6.0,12.3,8.0,9.3,48.1,22.4,0.0
"Madhya Pradesh",1.0,3.0,6.0,8.1,10.5,2.3,69.7,6.3,3.3
"Maharashtra",1.0,3.0,6.0,9.0,13.0,9.9,62.3,2.9,2.9
"Orissa",1.0,2.0,5.0,14.1,1.3,15.2,64.0,2.1,3.3
"Punjab",1.0,3.0,5.0,70.8,0.0,0.0,29.2,0.0,0.0
"Rajasthan",1.0,2.0,5.0,3.2,3.9,9.8,60.3,18.6,4.2
"Tamil Nadu",1.0,2.0,5.0,13.7,11.0,3.5,55.5,5.3,11.0
"Uttar Pradesh",1.0,2.0,4.0,19.3,3.1,2.4,68.0,6.4,0.8
"Uttrakhand",1.0,2.0,4.0,6.1,2.2,0.0,89.6,2.2,0.0
"West Bengal",1.0,2.0,5.0,5.8,0.7,3.6,87.5,0.0,2.5
"Delhi",2.0,3.0,6.0,11.9,0.0,0.0,88.1,0.0,0.0
"Chandigarh",2.0,3.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0
"Arunachal Pradesh",0.0,0.0,0.0,0.0,0.0,0.0,50.5,49.6,0.0
"Manipur",1.0,2.0,4.0,4.0,0.0,0.0,76.0,20.0,0.0
"Meghalaya",1.0,2.0,5.0,30.6,0.0,15.7,22.4,31.3,0.0
"Mizoram",1.0,3.0,6.0,20.0,0.0,40.0,20.0,20.0,0.0
"Nagaland",1.0,2.0,2.0,16.2,0.0,6.3,75.1,2.4,0.0
"Tripura",1.0,3.0,6.0,18.1,17.3,0.0,64.6,0.0,0.0
"Sikkim",1.0,3.0,5.0,0.0,0.0,0.0,76.7,0.0,23.4
"Dadar & Nagar Haveli",1.0,3.0,7.0,20.0,0.0,20.0,40.0,20.0,0.0
"Daman & Diu",1.0,3.0,6.0,0.0,0.0,40.0,60.0,0.0,0.0
"Goa",1.0,3.0,6.0,20.0,40.0,0.0,40.0,0.0,0.0
"Puducherry",1.0,1.0,1.0,0.0,0.0,0.0,66.7,0.0,33.3
"Andaman & Nicobar Island",1.0,3.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0
"All India",1.0,2.0,5.0,12.8,5.0,5.3,67.1,6.6,3.3
