-----
{
 "description": "The table shows Estimates of Components of Health Check-up and Some Other Selected Indexes. It gives state-wise details regarding  factors such as Child weighed at birth, Initiated breastfeeding within one hour after birth, child had no diarrhea, households using iodised salt, households using ...", 
 "file_name": "ICDS_Table8.5.xls", 
 "title": "Download XLS for Estimates of Components of Health Check-up and Some Other Selected Indexes", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table8.5.xls"
}
-----
"States/UTs ","Child weighed at birth","Initiated breastfeeding within one hour after birth","Child had no diarrhea","Mother reporting received deworming tablets from AWC","Households using iodised salt","Households using boiling water during illness","Households aware of any method to delay or avoid pregnancy","Households aware of measures to prevent anemia"
"Andhra Pradesh",74.6,75.0,76.4,78.2,69.3,69.3,36.8,57.4
"Assam",55.3,73.2,80.0,9.4,96.3,87.3,89.8,27.2
"Bihar",13.8,7.7,83.9,13.6,81.8,32.3,50.6,16.8
"Chhattisgarh",65.6,41.6,65.9,70.9,85.3,84.2,73.8,27.9
"Gujarat",59.8,38.5,48.3,82.0,87.9,37.2,86.0,41.3
"Haryana",60.6,31.8,75.1,85.9,98.7,70.8,44.1,43.6
"Himachal Pradesh",82.2,60.6,90.4,76.2,97.9,86.0,78.5,35.7
"Jammu and Kashmir",14.6,42.6,73.7,72.8,94.7,87.7,33.5,21.9
"Jharkhand",39.3,27.8,94.8,66.0,92.8,53.2,81.4,24.3
"Karnataka",47.1,61.5,74.8,67.7,55.7,79.9,13.3,15.2
"Kerala",99.6,73.0,82.0,11.1,99.0,97.8,98.1,94.9
"Madhya Pradesh",49.6,45.4,67.3,92.8,88.9,78.3,62.7,26.3
"Maharashtra",88.8,74.3,71.8,79.3,94.7,56.6,84.3,26.6
"Orissa",69.4,77.5,77.7,63.7,87.3,78.1,93.4,58.6
"Punjab",55.4,9.3,79.2,45.6,46.0,55.7,77.2,53.2
"Rajasthan",36.4,23.1,33.5,81.6,90.2,34.4,92.3,37.0
"Tamil Nadu",95.5,65.1,51.6,51.8,80.4,90.0,63.2,22.2
"Uttar Pradesh",10.5,20.6,58.6,73.1,51.2,48.7,76.8,29.7
"Uttrakhand",27.0,28.3,54.5,57.1,75.7,62.1,72.0,34.5
"West Bengal",58.8,30.8,93.9,41.0,89.2,48.5,74.0,21.2
"Delhi",48.4,39.3,89.1,87.8,99.3,84.1,83.2,76.3
"Chandigarh",65.5,25.3,95.6,100.0,69.1,90.6,95.0,61.6
"Arunachal Pradesh",0.5,75.2,45.0,44.4,84.0,73.1,84.5,18.6
"Manipur",74.4,75.7,63.6,0.0,100.0,98.6,99.8,52.5
"Meghalaya",52.2,75.8,67.7,65.0,100.0,59.0,77.1,44.7
"Mizoram",83.0,100.0,66.1,48.6,100.0,21.0,96.0,61.1
"Nagaland",41.2,37.7,60.0,59.6,98.7,96.9,72.8,12.7
"Tripura",73.8,32.3,85.8,8.8,91.3,49.9,60.1,6.0
"Sikkim",68.4,85.6,38.8,56.3,77.0,91.2,96.9,16.7
"Dadar& Nagar Haveli",80.5,70.7,84.8,46.5,100.0,82.2,82.5,11.9
"Daman & Diu",89.2,50.0,74.3,73.8,100.0,92.3,100.0,25.6
"Goa",96.4,96.4,64.8,0.0,100.0,99.1,100.0,67.5
"Puducherry",96.9,60.0,78.9,36.1,97.4,89.0,95.5,54.4
"Andaman & Nicobar Islands",94.5,5.0,99.0,50.7,97.9,22.2,91.5,12.6
"All India",46.5,42.8,69.3,56.0,76.4,60.6,71.6,32.8
