-----
{
 "description": "The table refers to Block wise Distribution of Surface Flow Schemes (Permanent diversion) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.16.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes (Permanent diversion) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.16.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. in use - Public,No. in use - Private,No. in use - Total,Potential created (Ha) - Public,Potential created (Ha) - Private,Potential created (Ha) - Total,Potential utilised (Ha) - Public,Potential utilised (Ha) - Private,Potential utilised (Ha) - Total
ANDHRA PRADESH,ADILABAD,ADILABAD,182,0,182,276,0,276,193,0,193
ANDHRA PRADESH,ADILABAD,BEJJUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BHAINSA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BHEEMINI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BOATH,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,CHENNUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,DAHEGAON,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,DANDEPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,DILAWARPUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,ICHODA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,INDERAVELLY,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,JAINAD,111,0,111,101,0,101,101,0,101
ANDHRA PRADESH,ADILABAD,JAINOOR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,JAIPUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,JANNARAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KADDAMPEDDUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KASIPET,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KERAMERI,0,7,7,0,6,6,0,6,6
ANDHRA PRADESH,ADILABAD,KHANPUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KOTAPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KOUTHALA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KUBEER,1,0,1,17,0,17,13,0,13
ANDHRA PRADESH,ADILABAD,KUNTALA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,LOHESRA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,LUXETTIPET,0,1,1,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,MAMDA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,MANCHERIAL,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,MANDAMARRI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,NENNAL,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,NERADIGONDA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,NIRMAL,6,0,6,78,0,78,76,0,76
ANDHRA PRADESH,ADILABAD,REBBANA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,SARANGAPUR,2,0,2,75,0,75,75,0,75
ANDHRA PRADESH,ADILABAD,SIRPUR (T),0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,SIRPUR (U),0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,TALAMADUGU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,TANDUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,TANUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,VEMANPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,AGALI,1,0,1,38,0,38,0,0,0
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,2,0,2,735,0,735,97,0,97
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,0,0,0,0,0,0,0,0,0
