-----
{
 "description": "The table refers to Proportion Unemployed (per 1000) for persons of age 15-59 years according to current weekly status approach for each State/UT. Proportion Unemployed is defined as the number of person/person-days unemployed per 1000 persons/person-days in the relevant population group. This ...", 
 "file_name": "UnemployedWeekly.csv", 
 "title": "Download CSV for Proportion Unemployed (per 1000) for persons of age 15-59 years according to current weekly status approach for each State/UT", 
 "url": "http://data.gov.in/sites/default/files/UnemployedWeekly.csv"
}
-----
"State/UT","Rural Male","Rural Female","Rural Male + Rural Female","Urban Male","Urban Female","Urban Male + Urban Female","Rural Male + Urban Male","Rural Female + Urban Female","Rural Male + Urban Male + Rural Female + Urban Female"
"Andhra Pradesh","25","16","20","38","21","30","30","18","24"
"Arunachal Pradesh","15","9","12","26","18","22","17","11","14"
"Assam","40","11","26","47","9","29","41","11","26"
"Bihar","29","7","18","37","19","29","29","8","19"
"Chhattisgarh","42","13","28","66","27","47","47","16","32"
"Delhi","84","0","47","33","7","21","37","7","23"
"Goa","56","2","30","23","25","24","40","14","27"
"Gujarat","9","2","6","6","3","5","8","2","5"
"Haryana","30","9","20","31","9","21","30","9","20"
"Himachal Pradesh","21","9","15","17","24","21","21","11","16"
"Jammu & Kashmir","25","19","22","38","43","40","28","25","27"
"Jharkhand","19","12","16","46","10","28","26","11","19"
"Karnataka","12","7","10","25","13","19","17","9","13"
"Kerala","54","72","64","39","56","48","50","68","60"
"Madhya Pradesh","16","2","9","28","8","18","19","4","12"
"Maharashtra","20","9","15","19","13","16","20","11","16"
"Manipur","22","13","17","48","35","42","28","19","24"
"Meghalaya","4","2","3","18","14","16","7","5","6"
"Mizoram","13","14","13","32","27","29","22","21","21"
"Nagaland","157","97","126","144","111","128","152","102","127"
"Odisha","47","15","30","46","5","26","47","13","30"
"Punjab","34","7","21","29","8","19","32","8","20"
"Rajasthan","28","4","16","39","7","24","31","5","18"
"Sikkim","22","8","15","26","1","15","23","7","15"
"Tamil Nadu","42","19","30","30","18","24","36","19","27"
"Tripura","63","86","74","102","209","157","70","107","88"
"Uttarakhand","23","11","17","20","33","26","22","17","19"
"Uttar Pradesh","28","3","16","43","7","26","32","4","18"
"West Bengal","40","16","28","47","19","33","42","17","30"
"A & N Islands","26","72","49","43","87","65","32","78","55"
"Chandigarh","0","0","0","48","27","38","45","25","36"
"Dadra & Nagar Haveli","0","0","0","0","0","0","0","0","0"
"Daman & Diu","0","0","0","0","7","3","0","2","1"
"Lakshadweep","102","115","108","55","81","68","78","98","88"
"Puducherry","9","4","7","44","10","27","32","8","19"
"All India","29","12","20","32","15","24","30","13","21"
