-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on disposal of juveniles arrested (under IPC And SLL) crimes.", 
 "file_name": "DISPOSAL_OF_JUVENILES_ARRESTED_UNDER_IPC_AND_SLL_CRIMES.xls", 
 "title": "Download XLS for All India And State-wise Disposal Of Juveniles Arrested Under IPC And SLL Crimes", 
 "url": "http://data.gov.in/sites/default/files/DISPOSAL_OF_JUVENILES_ARRESTED_UNDER_IPC_AND_SLL_CRIMES.xls"
}
-----
"State/U.T","Year","Arrested and sent to courts","Sent to Home after Advice or Admonition","Releasd on probation and placed under care of Parents/Guardians","Releasd on probation and placed under care of Fit Instt.","Sent to Special Homes","Dealt with fine","Acquitted or otherwise disposed of","Pending disposal"
"Total 2009",2009.0,33642.0,4986.0,4822.0,1241.0,5420.0,1113.0,1507.0,14553.0
"Andhra Pradesh",2009.0,1565.0,238.0,125.0,81.0,212.0,30.0,62.0,817.0
"Arunachal Pradesh",2009.0,139.0,86.0,53.0,0.0,0.0,0.0,0.0,0.0
"Assam",2009.0,563.0,163.0,155.0,15.0,83.0,30.0,33.0,84.0
"Bihar",2009.0,1066.0,24.0,23.0,0.0,154.0,0.0,17.0,848.0
"Chhattisgarh",2009.0,3112.0,41.0,143.0,27.0,619.0,142.0,131.0,2009.0
"Goa",2009.0,76.0,1.0,6.0,0.0,3.0,0.0,5.0,61.0
"Gujarat",2009.0,2466.0,197.0,329.0,117.0,101.0,106.0,311.0,1305.0
"Haryana",2009.0,1374.0,1.0,2.0,0.0,6.0,13.0,8.0,1344.0
"Himachal Pradesh",2009.0,170.0,48.0,33.0,0.0,5.0,0.0,0.0,84.0
"Jammu & Kashmir",2009.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0
"Jharkhand",2009.0,788.0,56.0,96.0,34.0,376.0,46.0,88.0,92.0
"Karnataka",2009.0,282.0,53.0,43.0,14.0,27.0,6.0,5.0,134.0
"Kerala",2009.0,707.0,112.0,147.0,26.0,56.0,8.0,19.0,339.0
"Madhya Pradesh",2009.0,6186.0,1726.0,619.0,259.0,511.0,543.0,374.0,2154.0
"Maharashtra",2009.0,6972.0,979.0,1768.0,404.0,1173.0,71.0,109.0,2468.0
"Manipur",2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Meghalaya",2009.0,88.0,0.0,23.0,1.0,3.0,0.0,17.0,44.0
"Mizoram",2009.0,20.0,0.0,3.0,0.0,0.0,0.0,3.0,14.0
"Nagaland",2009.0,20.0,0.0,0.0,2.0,4.0,0.0,5.0,9.0
"Orissa",2009.0,483.0,110.0,87.0,0.0,164.0,0.0,4.0,118.0
"Punjab",2009.0,233.0,0.0,4.0,4.0,14.0,2.0,7.0,202.0
"Rajasthan",2009.0,2456.0,246.0,372.0,60.0,1070.0,2.0,72.0,634.0
"Sikkim",2009.0,60.0,9.0,8.0,5.0,22.0,0.0,0.0,16.0
"Tamil Nadu",2009.0,2921.0,648.0,531.0,129.0,145.0,73.0,194.0,1201.0
"Tripura",2009.0,91.0,33.0,29.0,0.0,4.0,0.0,9.0,16.0
"Uttar Pradesh",2009.0,475.0,10.0,7.0,26.0,274.0,18.0,14.0,126.0
"Uttarakhand",2009.0,254.0,8.0,77.0,11.0,136.0,0.0,1.0,21.0
"WestBengal",2009.0,195.0,29.0,70.0,2.0,3.0,9.0,7.0,75.0
"A. & N.Islands",2009.0,38.0,0.0,0.0,0.0,9.0,0.0,0.0,29.0
"Chandigarh",2009.0,135.0,3.0,6.0,0.0,45.0,11.0,0.0,70.0
"D. & N.Haveli",2009.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
"Daman and Diu",2009.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
"Delhi",2009.0,586.0,161.0,61.0,24.0,201.0,3.0,12.0,124.0
"Lakshadweep",2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Puducherry",2009.0,81.0,0.0,2.0,0.0,0.0,0.0,0.0,79.0
"Total 2010",2010.0,30303.0,4145.0,5729.0,1047.0,5798.0,1089.0,1685.0,10810.0
"Andhra Pradesh",2010.0,1949.0,548.0,298.0,42.0,263.0,10.0,67.0,721.0
"Arunachal Pradesh",2010.0,81.0,9.0,72.0,0.0,0.0,0.0,0.0,0.0
"Assam",2010.0,385.0,158.0,112.0,75.0,4.0,0.0,12.0,24.0
"Bihar",2010.0,742.0,255.0,69.0,33.0,99.0,12.0,26.0,248.0
