-----
{
 "description": "The table refers to block wise distribution of Deep Tubewells according to ownership . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.2.csv", 
 "title": "Download CSV for Block wise Distribution of Deep Tubewells according to ownership for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.2.csv"
}
-----
-----
{
 "description": "The table refers to district wise irrigation potential utilised through Deep Tubewells . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.14.csv", 
 "title": "Download CSV for District wise Irrigation potential utilised through Deep Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.14.csv"
}
-----
"State","District","Actual area irrigated (Ha) - Kharif","Actual area irrigated (Ha) - Rabi","Actual area irrigated (Ha) - Perennial","Actual area irrigated (Ha) - Others","Total"
"ANDHRA PRADESH","ADILABAD",177,97,2,0,276
"ANDHRA PRADESH","ANANTHAPUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR",4127,2968,43,13,7151
"ANDHRA PRADESH","CUDDAPAH",10745,7344,629,235,18953
"ANDHRA PRADESH","EAST GODAVARI",7770,5050,2675,127,15622
"ANDHRA PRADESH","GUNTUR",1010,375,0,0,1385
"ANDHRA PRADESH","HYDERABAD",NA,NA,NA,NA,NA
"ANDHRA PRADESH","KARIMNAGAR",509,105,19,0,633
"ANDHRA PRADESH","KHAMMAM",2004,768,106,0,2878
"ANDHRA PRADESH","KRISHNA",2001,1889,578,538,5006
"ANDHRA PRADESH","KURNOOL",2317,2348,15,0,4680
"ANDHRA PRADESH","MAHABOOB NAGAR",41,25,2,1,69
"ANDHRA PRADESH","MEDAK",58,25,41,0,124
"ANDHRA PRADESH","NALGONDA",9,7,0,0,16
"ANDHRA PRADESH","NELLORE",96,78,193,0,367
"ANDHRA PRADESH","NIZAMABAD",NA,NA,NA,NA,NA
"ANDHRA PRADESH","PRAKASAM",177,160,81,0,418
"ANDHRA PRADESH","RANGA REDDY",93,37,8,0,138
"ANDHRA PRADESH","SRIKAKULUM",0,171,0,0,171
"ANDHRA PRADESH","VIJAYA NAGARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM",28,11,6,0,45
"ANDHRA PRADESH","WARANGAL",494,161,0,0,655
"ANDHRA PRADESH","WEST GODAVARI",28825,24506,5570,4481,63382
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA,NA
"ASSAM","BARPETA",125,133,0,5,263
"ASSAM","BONGAIGAON",224,66,0,0,290
"ASSAM","CACHAR",5,2,0,0,7
"ASSAM","DARRANG",313,293,0,0,606
"ASSAM","DHEMAJI",335,105,0,10,450
"ASSAM","DHUBRI",77,38,0,5,120
"ASSAM","DIBRUGARH",56,20,0,0,76
"ASSAM","GOALPARA",607,358,0,30,995
"ASSAM","GOLAGHAT",1106,344,0,0,1450
"ASSAM","HAILAKANDI",105,34,0,0,139
"ASSAM","JORHAT",596,262,0,0,858
"ASSAM","KAMRUP",227,127,4,51,409
"ASSAM","KARBI ANGLONG",101,61,25,21,208
"ASSAM","KARIMGANJ",0,41,0,0,41
"ASSAM","KOKRAJHAR",60,32,0,0,92
"ASSAM","LAKHIMPUR",481,167,0,11,659
"ASSAM","MARIGAON",156,109,0,0,265
"ASSAM","NAGAON",62,74,0,0,136
"ASSAM","NALBARI",494,383,0,2,879
"ASSAM","NORTH CACHAR HILLS",10,0,0,0,10
"ASSAM","SIBSAGAR",162,61,0,0,223
"ASSAM","SONITPUR",202,40,0,0,242
"ASSAM","TINSUKIA",273,71,0,0,344
"BIHAR","ARARIA",50,40,0,0,90
"BIHAR","AURANGABAD",232,137,3,0,372
"BIHAR","BANKA",39,22,0,0,61
"BIHAR","BEGUSARAI",1334,3412,223,128,5097
"BIHAR","BHABUA",2644,1679,80,28,4431
"BIHAR","BHAGALPUR",2085,1946,274,113,4418
"BIHAR","BHOJPUR",1821,2383,52,46,4302
"BIHAR","BOKARO",NA,NA,NA,NA,NA
"BIHAR","BUXAR",745,712,68,18,1543
"BIHAR","CHAMPARAN EAST",1217,1744,97,33,3091
"BIHAR","CHAMPARAN WEST",193,193,0,0,386
"BIHAR","CHATRA",NA,NA,NA,NA,NA
"BIHAR","DARBHANGA",1865,2656,206,382,5109
"BIHAR","DEOGHAR",NA,NA,NA,NA,NA
"BIHAR","DHANBAD",NA,NA,NA,NA,NA
"BIHAR","DUMKA",0,2,0,0,2
"BIHAR","GARHWA",2,5,0,0,7
"BIHAR","GAYA",103,35,0,0,138
"BIHAR","GIRIDIH",30,31,0,0,61
"BIHAR","GODDA",NA,NA,NA,NA,NA
"BIHAR","GOPALGANJ",1141,816,118,25,2100
"BIHAR","GUMLA",NA,NA,NA,NA,NA
"BIHAR","HAZARIBAG",NA,NA,NA,NA,NA
"BIHAR","JAMUI",5,19,0,0,24
"BIHAR","JEHANABAD",339,190,0,0,529
"BIHAR","KATIHAR",480,637,359,0,1476
"BIHAR","KHAGARIA",568,892,63,3,1526
"BIHAR","KISHANGANJ",222,244,0,0,466
"BIHAR","KODARMA",4,4,4,4,16
"BIHAR","LAKHISARAI",335,302,0,20,657
"BIHAR","LOHARDAGA",NA,NA,NA,NA,NA
"BIHAR","MADHEPURA",207,433,0,0,640
"BIHAR","MADHUBANI",2172,2988,123,135,5418
"BIHAR","MUNGER",7,7,0,0,14
"BIHAR","MUZAFFARPUR",871,2641,214,73,3799
"BIHAR","NALANDA",1583,1260,162,72,3077
"BIHAR","NAWADA",1148,1066,213,100,2527
"BIHAR","PAKUR",0,18,0,0,18
"BIHAR","PALAMU",NA,NA,NA,NA,NA
"BIHAR","PATNA",2790,2472,212,135,5609
"BIHAR","PURNIA",40,55,10,0,105
"BIHAR","RANCHI",NA,NA,NA,NA,NA
"BIHAR","ROHTAS",575,505,89,1,1170
"BIHAR","SAHARSA",98,200,0,4,302
"BIHAR","SAHEBGANJ",NA,NA,NA,NA,NA
"BIHAR","SAMASTIPUR",1291,2633,334,115,4373
"BIHAR","SARAN",114,275,17,15,421
"BIHAR","SHEIKHPURA",1388,1423,355,0,3166
"BIHAR","SHEOHAR",0,0,0,0,0
"BIHAR","SINGHBHUM EAST",123,42,1,1,167
"BIHAR","SINGHBHUM WEST",0,0,0,0,0
"BIHAR","SITAMARHI",2544,3964,806,489,7803
"BIHAR","SIWAN",509,641,1,1,1152
"BIHAR","SUPAUL",130,250,65,0,445
"BIHAR","VAISHALI",225,462,77,105,869
"GOA","NORTH GOA",0,12,18,0,30
"GOA","SOUTH GOA",0,0,15,0,15
"GUJARAT","",NA,NA,NA,NA,NA
"HARYANA","AMBALA",8823,8823,0,0,17646
"HARYANA","BHIWANI",8,34,0,0,42
"HARYANA","FARIDABAD",NA,NA,NA,NA,NA
"HARYANA","GURGAON",178,246,0,0,424
"HARYANA","HISAR",NA,NA,NA,NA,NA
"HARYANA","JIND",452,462,0,0,914
"HARYANA","KAITHAL",1614,1610,0,0,3224
"HARYANA","KARNAL",4335,4317,0,0,8652
"HARYANA","KURUKSHETRA",827,765,0,0,1592
"HARYANA","MEHANDERGARH",14,126,0,0,140
"HARYANA","PANCHKULA",753,753,0,0,1506
"HARYANA","PANIPAT",539,538,0,0,1077
"HARYANA","RIWARI",NA,NA,NA,NA,NA
"HARYANA","ROHTAK",NA,NA,NA,NA,NA
"HARYANA","SIRSA",607,613,0,0,1220
"HARYANA","SONIPAT",49,49,0,0,98
"HARYANA","YAMUNA NAGAR",604,571,2,0,1177
"HIMACHAL PRADESH","Bilaspur",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Chamba",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Hamirpur",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Kangra",882,922,0,0,1804
"HIMACHAL PRADESH","Kinnaur",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Kullu",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Lahul & Spiti",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Mandi",17,17,0,0,34
"HIMACHAL PRADESH","Shimla",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Sirmaur",247,244,0,0,491
"HIMACHAL PRADESH","Solan",170,619,11,0,800
"HIMACHAL PRADESH","Una",1817,2762,49,7,4635
"JAMMU & KASHMIR","Anantnagh",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Baramulla",52,4,0,0,56
"JAMMU & KASHMIR","Budgam",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Doda",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Jammu",2212,1600,0,0,3812
"JAMMU & KASHMIR","Kargil",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Kathua",62,50,0,0,112
"JAMMU & KASHMIR","Kupwara",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Leh",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Poonch",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Pulwama",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Rajouri",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Srinagar",7,0,0,0,7
"JAMMU & KASHMIR","Udhampur",NA,NA,NA,NA,NA
"KARNATAKA","BANGALORE RURAL",7895.06,3426.59,4586.59,446.09,16354.33
"KARNATAKA","BANGALORE URBAN",11568.26,4885.08,2853.18,207.6,19514.12
"KARNATAKA","BELGAUM",16400.93,5391.27,1307.92,427.8,23527.92
"KARNATAKA","BELLARY",19551.2,6273.84,1683.21,2150.54,29658.79
"KARNATAKA","BIDAR",3519.37,3806.16,839.52,32.1,8197.15
"KARNATAKA","BIJAPUR",7091.62,2980.65,770.14,2179.34,13021.75
"KARNATAKA","CHIKKAMAGALORE",765.85,251.37,2499.26,83.26,3599.74
"KARNATAKA","CHITRADURGA",13834.93,2251.18,6988.14,4570.44,27644.69
"KARNATAKA","DAKSHINA KANNADA",140.24,801.67,2351.61,130.36,3423.88
"KARNATAKA","DHARWAR",13437.53,10096.22,2889.59,3018.2,29441.54
"KARNATAKA","GULBARGA",229.69,230.68,29.46,8.7,498.53
"KARNATAKA","HASSAN",815.96,669.89,585.69,60.58,2132.12
"KARNATAKA","KODAGU",33.5,22.5,2.5,0,58.5
"KARNATAKA","KOLAR",18140.27,9033.31,7114.05,1413.81,35701.44
"KARNATAKA","MANDYA",1630.84,947.29,828.6,307.53,3714.26
"KARNATAKA","MYSORE",4645.47,1102.69,2757.54,864.79,9370.49
"KARNATAKA","RAICHUR",7831,4072.72,326.98,805.3,13036
"KARNATAKA","SHIMOGA",4497.51,1332.97,11402.71,947.69,18180.88
"KARNATAKA","TUMKUR",18109.16,5712.79,14325.15,1754.47,39901.57
"KARNATAKA","UTTARA KANNADA",500.7,332.33,60.24,33.45,926.72
"KERALA","ALAPUZHA",0,5,8,17,30
"KERALA","ERANAKULAM",18,8,40,3,69
"KERALA","IDUKKI",0,0,1,0,1
"KERALA","KANNUR",0,0,24,1,25
"KERALA","KASARAGODE",43,16,53,24,136
"KERALA","KOLLAM",0,0,5,1,6
"KERALA","KOTTAYAM",0,44,236,53,333
"KERALA","KOZHIKODE",0,0,1,1,2
"KERALA","MALAPPURAM",8,5,23,9,45
"KERALA","PALAKKAD",12,14,4,16,46
"KERALA","PATHANAMTHITTA",0,0,1,5,6
"KERALA","THIRUVANANTHAPURAM",0,0,1,0,1
"KERALA","THRISSUR",0,0,6,2,8
"KERALA","WAYANAD",NA,NA,NA,NA,NA
"MADHYA PRADESH","BALAGHAT",5,4,0,0,9
"MADHYA PRADESH","BASTAR",0,5,4,0,9
"MADHYA PRADESH","BETUL",49,854,0,0,903
"MADHYA PRADESH","BHIND",1,1054,0,0,1055
"MADHYA PRADESH","BHOPAL",NA,NA,NA,NA,NA
"MADHYA PRADESH","BILASPUR",1555,949,8,4,2516
"MADHYA PRADESH","CHHATARPUR",0,286,0,0,286
"MADHYA PRADESH","CHHINDWARA",235,4655,1,553,5444
"MADHYA PRADESH","DAMOH",0,747,0,0,747
"MADHYA PRADESH","DATIA",NA,NA,NA,NA,NA
"MADHYA PRADESH","DEWAS",267,2139,5,70,2481
"MADHYA PRADESH","DHAR",479,513,1,1,994
"MADHYA PRADESH","DURG",531,273,5,13,822
"MADHYA PRADESH","GUNA",8,2627,0,0,2635
"MADHYA PRADESH","GWALIOR",4,267,0,0,271
"MADHYA PRADESH","HOSHANGABAD",28,2396,0,0,2424
"MADHYA PRADESH","INDORE",32,2766,0,0,2798
"MADHYA PRADESH","JABALPUR",55,1413,0,0,1468
"MADHYA PRADESH","JHABUA",80,118,0,0,198
"MADHYA PRADESH","KHANDWA",636,1506,1075,31,3248
"MADHYA PRADESH","KHARGONE",3044,1837,188,0,5069
"MADHYA PRADESH","MANDLA",0,9,0,0,9
"MADHYA PRADESH","MANDSAUR",239,3032,23,0,3294
"MADHYA PRADESH","MORENA",6,1568,0,0,1574
"MADHYA PRADESH","NARSIMHAPUR",709,5678,14,0,6401
"MADHYA PRADESH","PANNA",0,340,0,0,340
"MADHYA PRADESH","RAIGARH",286,636,0,0,922
"MADHYA PRADESH","RAIPUR",4848,1475,27,0,6350
"MADHYA PRADESH","RAISEN",0,880,0,0,880
"MADHYA PRADESH","RAJGARH",1,781,0,0,782
"MADHYA PRADESH","RAJNANDGAON",404,130,0,6,540
"MADHYA PRADESH","RATLAM",613,3370,14,2,3999
"MADHYA PRADESH","REWA",3,2228,2,2,2235
"MADHYA PRADESH","SAGAR",0,601,0,0,601
"MADHYA PRADESH","SATNA",56,9666,182,35,9939
"MADHYA PRADESH","SEHORE",0,30,0,0,30
"MADHYA PRADESH","SEONI",177,797,0,0,974
"MADHYA PRADESH","SHAHDOL",10,1008,0,0,1018
"MADHYA PRADESH","SHAJAPUR",130,907,0,1,1038
"MADHYA PRADESH","SHIVPURI",22,1320,0,0,1342
"MADHYA PRADESH","SIDHI",0,292,0,0,292
"MADHYA PRADESH","SURGUJA",255,1521,0,0,1776
"MADHYA PRADESH","TIKAMGARH",281,1629,0,0,1910
"MADHYA PRADESH","UJJAIN",9,2488,31,0,2528
"MADHYA PRADESH","VIDISHA",0,650,0,0,650
"MAHARASHTRA","",NA,NA,NA,NA,NA
"MANIPUR","BISHNUPUR",NA,NA,NA,NA,NA
"MANIPUR","CHANDEL",NA,NA,NA,NA,NA
"MANIPUR","CHURACHANDPUR",NA,NA,NA,NA,NA
"MANIPUR","IMPHAL",NA,NA,NA,NA,NA
"MANIPUR","SENAPATI",NA,NA,NA,NA,NA
"MANIPUR","TAMENGLONG",NA,NA,NA,NA,NA
"MANIPUR","THOUBAL",NA,NA,NA,NA,NA
"MANIPUR","UKHRUL",NA,NA,NA,NA,NA
"MEGHALAYA","EAST GARO HILLS",0,0,0,0,0
"MEGHALAYA","EAST KHASI HILLS",NA,NA,NA,NA,NA
"MEGHALAYA","JAINTIA HILLS",NA,NA,NA,NA,NA
"MEGHALAYA","RI BHOI DISTRICT",NA,NA,NA,NA,NA
"MEGHALAYA","SOUTH GARO HILLS",NA,NA,NA,NA,NA
"MEGHALAYA","WEST GARO HILLS",143,95,1,8,247
"MEGHALAYA","WEST KHASI HILLS",NA,NA,NA,NA,NA
"MIZORAM","AIZAWL",NA,NA,NA,NA,NA
"MIZORAM","CHHIMTUIPUI",NA,NA,NA,NA,NA
