-----
{
 "description": "The table refers to block wise irrigation through supplemntary sources under surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.15.csv", 
 "title": "Download CSV for Blockwise Irrigation through supplementary sources under surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.15.csv"
}
-----
-----
{
 "description": "The table refers to block wise irrigation through supplemntary sources under surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.15.csv", 
 "title": "Download CSV for Blockwise Irrigation through supplementary sources under surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.15.csv"
}
-----
"State","District","Block","Supplementary irrigation - Kharif","Supplementary irrigation - Rabi","Supplementary irrigation - Perennial","Supplementary irrigation - Others","Total"
"ANDHRA PRADESH","ADILABAD","ADILABAD",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","ASIFABAD",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","BAZARHATHNOOR",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","BELA",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","BHAINSA",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","BOATH",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","CHENNUR",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","DANDEPALLE",23,14,0,0,37
"ANDHRA PRADESH","ADILABAD","DILAWARPUR",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","INDERAVELLY",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","JAINAD",8,0,0,0,8
"ANDHRA PRADESH","ADILABAD","JAINOOR",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","KADDAM (PEDDUR)",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","KAGAZNAGAR",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","KASIPET",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","KERAMERI",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","KHANPUR",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","KUNTALA",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","LAHESRA",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","LUXETTIPET",18,0,0,0,18
"ANDHRA PRADESH","ADILABAD","MANCHERIAL",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","MUDHOLE",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","NARNOOR",0,0,0,0,0
