-----
{
 "description": "This table provides data related to 9th Plan Allocation, 9th Plan Anticipated Expenditure, 10th Plan Allocation as Agreed by Planning Commission.", 
 "file_name": "Outlays_for_Department_of_Health_as_agreed_by_Planning_Commission_during_Tenth_Plan.xls", 
 "title": "Download XLS for Outlays for Department of Health as agreed by Planning Commission during Tenth Plan", 
 "url": "http://data.gov.in/sites/default/files/Outlays_for_Department_of_Health_as_agreed_by_Planning_Commission_during_Tenth_Plan.xls"
}
-----
"Category","Major Scheme","Name of the Schemes / Institution","9th Plan Allocation","9th Plan Anticipated Expenditure","10th Plan Alocation Agreed by PC","2002-03 Outlay"
"CENTRALLY SPONSORED SCHEMES","Control of communicable Diseases:","National Vector Borne Diseases Control Programme (Malaria, Kala-Azar, Filaria, Dengue and J.E.)",1000.0,954.95,1370.0,235.0
"CENTRALLY SPONSORED SCHEMES","Control of communicable Diseases:","National Leprosy Eradication Programme.",301.0,388.48,255.0,75.0
"CENTRALLY SPONSORED SCHEMES","Control of communicable Diseases:","National AIDS Control Programme including Blood Safety Measures and National S.T.D. Control Programme",760.0,745.26,1270.0,225.0
"CENTRALLY SPONSORED SCHEMES","Control of communicable Diseases:","National Guinea Worm Eradication Prog.",2.0,1.29,"NA","NA"
"CENTRALLY SPONSORED SCHEMES","Control of communicable Diseases:","Disease Surveillance Programme",25.0,20.32,190.0,10.0
"CENTRALLY SPONSORED SCHEMES","Control of communicable Diseases:","Hospital Waste Management",2.0,1.79,10.0,5.0
"CENTRALLY SPONSORED SCHEMES","Strengthening of Drug & Food Administration & Control Capacity Building","Assistance to States for Capacity Building (drug Quality)",20.0,29.0,60.0,20.0
"CENTRALLY SPONSORED SCHEMES","Strengthening of Drug & Food Administration & Control Capacity Building","Capacity Building for drug & PFA",20.0,1.0,97.0,1.3
"CENTRALLY SPONSORED SCHEMES","Strengthening of Drug & Food Administration & Control Capacity Building","Strengthening of State Drug Analytical Laboratories",5.0,5.1,"NA","NA"
"CENTRALLY SPONSORED SCHEMES","Strengthening of Drug & Food Administration & Control Capacity Building","Strengthening of State Drug Control organisations including improvement of their information system and strengthening
of enforcement and supporting staff
",5.0,"NA","NA","NA"
"CENTRALLY SPONSORED SCHEMES","Strengthening of Drug & Food Administration & Control Capacity Building","Financial Assistance to the States for Strenghening their food testing laboratories",5.0,0.8,"NA","NA"
"CENTRALLY SPONSORED SCHEMES","Strengthening of Drug & Food Administration & Control Capacity Building","Setting up of District Food Inspection Units in the States/ UTs including Management Information System",3.16,"NA","NA","NA"
"CENTRALLY SPONSORED SCHEMES","Control/Containment of Non-communicable Diseases:","National Programme for Control of Blindness",448.0,464.79,445.0,86.0
"CENTRALLY SPONSORED SCHEMES","Control/Containment of Non-communicable Diseases:","National Cancer Control Programme and Anti-Tobacco Initiative",190.0,198.14,285.0,61.0
