-----
{
 "description": "This table contains data related to Mineral and State wise Resources Reserves as on 1st April 2010.", 
 "file_name": "Mineralwise_Statewise_reserves_resouces_as_on_1.4.2010F_1.xls", 
 "title": "Download XLS for Mineral and State wise Resources Reserves As On 1st April 2010", 
 "url": "http://data.gov.in/sites/default/files/Mineralwise_Statewise_reserves_resouces_as_on_1.4.2010F_1.xls"
}
-----
"Mineral","Unit","All India/State","Reserves","Remaining Resources","Total  Resources"
"Andalusite ","000 Tonnes   ","All India",0.0,18450.0,18450.0
"Andalusite ","000 Tonnes   ","Jharkhand",0.0,4000.0,4000.0
"Andalusite ","000 Tonnes   ","Uttar Pradesh",0.0,14450.0,14450.0
"Antimony ","Tonnes","India Ore",0.0,10588.0,10588.0
"Antimony ","Tonnes","India Metal",0.0,174.0,174.0
"Antimony ","Tonnes","Himachal Pradesh Ore",0.0,10588.0,10588.0
"Antimony ","Tonnes","Himachal Pradesh Metal",0.0,174.0,174.0
"Apatite","Tonnes","All India",2090216.0,22138530.0,24228746.0
"Apatite","Tonnes","Andhra Pradesh",37699.0,200163.0,237862.0
"Apatite","Tonnes","Gujarat",0.0,351000.0,351000.0
"Apatite","Tonnes","Jharkhand",0.0,7270000.0,7270000.0
"Apatite","Tonnes","Meghalaya",0.0,1300000.0,1300000.0
"Apatite","Tonnes","Rajasthan",0.0,1067521.0,1067521.0
"Apatite","Tonnes","Tamil nadu",0.0,240000.0,240000.0
"Apatite","Tonnes","West Bengal",2052517.0,11709846.0,13762363.0
"Asbestos ","Tonnes","All India",2510841.0,19655762.0,22166603.0
"Asbestos ","Tonnes","Andhra Pradesh",14782.0,41749.0,56531.0
"Asbestos ","Tonnes","Jharkhand",0.0,154893.0,154893.0
"Asbestos ","Tonnes","Karnataka",0.0,8282457.0,8282457.0
"Asbestos ","Tonnes","Odisha",0.0,56700.0,56700.0
"Asbestos ","Tonnes","Rajasthan",2496059.0,11119651.0,13615710.0
"Asbestos ","Tonnes","UIttarakhand",0.0,311.0,311.0
"BallClay   ","Tonnes","All India",16777842.0,66615662.0,83393504.0
"BallClay   ","Tonnes","Andhra Pradesh",7306132.0,43975167.0,51281299.0
"BallClay   ","Tonnes","Gujarat",0.0,299480.0,299480.0
"BallClay   ","Tonnes","Rajasthan",9471710.0,22341015.0,31812725.0
"Barytes       ","Tonnes","All India",31584128.0,41149746.0,72733874.0
"Barytes       ","Tonnes","Andhra Pradesh",31321242.0,37157193.0,68478435.0
"Barytes       ","Tonnes","Haryana",0.0,440.0,440.0
"Barytes       ","Tonnes","Himchal Pradesh",39933.0,77120.0,117053.0
