-----
{
 "description": "This data consists of details on scientific research publications by researchers at National Institute of Immunology, New Delhi during the period 1st April 2012 to 31st March 2013.", 
 "file_name": "Research_Publications_from_NII_2012-13.xls", 
 "title": "Download XLS for Research Publications from National Institute of Immunology, New Delhi during 2012-13 ", 
 "url": "http://data.gov.in/sites/default/files/Research_Publications_from_NII_2012-13.xls"
}
-----
"Serial No.","Authors ","Year ","Title ","Journal "
1.0," Agarwal S,  Rastogi R, Gupta D,  Patel N, Raje M, Mukhopadhyay Amitabha ",2013.0," Clathrin-mediated hemoglobin endocytosis is essential for survival of Leishmania"," Biochim Biophys Acta 1833: 1065–1077"
2.0," Agarwal S, Saini S, Parashar D, Verma A, Jagadish N, Batra A, Suri S, Bhatnagar A, Gupta A, Ansari A S, Lohiya N K and Suri A ",2013.0," Expression and humoral response of A-Kinase Anchor Protein 4 (AKAP4) in cervical cancer"," Inter J Gynecol Cancer (DOI: 10.1097/IGC.0b013e31828a0698)"
3.0," Ahmed A,  Gaadhe K,  Sharma G P,  Kumar N,  Neculai M,  Hui R,  Mohanty D  and  Sharma  P ",2012.0,"  Novel insights into the regulation of malarial Calcium Dependent Protein Kinase 1"," FASEB J 26: 3212-3221"
4.0," Anand R, Shankar J, Singh AP, Tiwary BN ",2013.0," Cytokine milieu in renal cavities of immunocompetent mice in response to intravenous challenge of Aspergillus flavus leading to aspergillosis"," Cytokine 61: 63-70"
5.0," Anand S, Mohanty D ",2012.0," Modeling holo-ACP:DH and holo-ACP:KR complexes of modular polyketide synthases: A docking and molecular dynamics study","  BMC Struct Biol 12:10"
6.0,"  Andrabi R, Kumar R, Bala M, Nair A, Biswas A, Wig N, Kumar P, Pal R, Sinha S, Luthra K ",2012.0," Production and characterization of human anti-V3 monoclonal antibodies from the cells of HIV-1 infected Indian donors"," Virol J 9:196-206"
7.0," Anish CK, Goswami DG, Kanchan V, Mathew S, Panda AK ",2012.0," The immunogenic characteristics associated with multivalent display of Vi polysaccharide antigen using biodegradable polymer particles"," Biomaterials 33: 6843-6857"
8.0," Bajaj D, Batra JK ",2012.0," The C-terminus of ClpC1 of Mycobacterium tuberculosis is crucial for its oligomerization and function"," Plos One 7(12): e51261"
9.0," Banerjee Hridesh, Das Abhishek, Srivastava Smita, Mattoo Hamid, Krishnamurthy R, Thyagarajan, Khalsa Jasneet Kaur, Tanwar Shalini, Das Deepika Sharma, Majumdar Subeer S, George Anna, Bal Vineeta, Durdik Jeannine M, Rath Satyajit ",2012.0," A role for apoptosis-inducing factor in T cell development"," J Exp Med 209: 1641-1653"
10.0," Banerjee T, Jaijyan DK, Surolia N, Singh AP, Surolia A ",2012.0," Apicoplast triose phosphate transporter (TPT) gene knockout is lethal for Plasmodium"," Mol Biochem Parasitol 186: 44-50"
11.0," Bhattacharya I, Pradhan BSr, Sarda K, Gautam M, Basu S, Majumdar SS ",2012.0," A switch in Sertoli cell responsiveness to FSH may be responsible for robust onset of germ cell differentiation during prepubartal testicular maturation in rats"," Am J Physiol (Endocrinol and Metabol) 303: E886-E8898"
12.0," Bhowmick A, Salunke DM ",2013.0," Limited conformational flexibility in the paratope may be responsible for degenerate specificity of HIV epitope recognition"," Int Immunol 25: 77-90"
13.0," Chandola TR, Taneja S, Goyal N, Rathore SS, Appaiahgari MB, Mishra A, Singh S, Vrati S, Bhandari N ",2013.0," Descriptive epidemiology of rotavirus infection in a community in North India"," Epidemiol Infec (DOI:10.1017/S0950268812002762)."
14.0," Chang T, Xu S, Tailor P, Kanno T, Ozato K ",2012.0," The Small Ubiquitin-like Modifier-Deconjugating Enzyme Sentrin-Specific Peptidase 1 Switches IFN Regulatory Factor 8 from a Repressor to an Activator during Macrophage Activation"," J Immunol 189: 3548-3556"
15.0," Chhabra A, Haque AS, Pal RK, Goyal A, Rai R, Joshi S, Panjikar S, Pasha S, Sankaranarayanan, R, Gokhale RS ",2012.0," Nonprocessive [2+2]e- Offloading Reductase Domains from Mycobacterial Non-ribosomal Peptide Synthetases"," Proc Natl Acad Sci (USA) 109 (15): 5681-86"
16.0," Chhabra G, Mathur D, Dixit A, Garg LC ",2012.0," Heterologous expression and biochemical characterization of recombinant alpha phosphoglucomutase from Mycobacterium tuberculosis H37Rv"," Prot Expr  Purif 85: 117–124"
17.0," De S, Kumari J, Mudgal R, Modi P, Gupta S, Futami K, Goto H, Lindor NM, Furuichi Y, Mohanty D, Sengupta S ",2012.0," RECQL4 is essential for the transport of p53 to mitochondria in normal human cells in the absence of exogenous stress. "," J Cell Sci 125: 2509-2522"
18.0," Duhan V, Joshi N, Nagarajan P, Upadhyay P ",2012.0," Protocol for long duration whole body hyperthermia in mice"," J Vis Exp 66: e3801"
19.0," Goel P, Tailor P, Chande A, Basu A, Mukhopadhyaya R ",2013.0," An infectious HHV-6B isolate from a healthy adult with chromosomally integrated virus and a  reporter based relative viral titer assay"," Virus Res(DOI 10.1016/j.virusres.2013.02.006)"
20.0," Goswami R,  Singh A, Gupta N,  Consortium IGV,  Rani R  ",2012.0," Presence of strong association of the Major Histocompatibility Complex (MHC) Class I allele HLA-A*26:01 with idiopathic hypoparathyroidism"," J Clin Endocrinol Meta 97: E1820-E1824"
21.0," Gupta A, Ahmad FJ, Gupta UD, Natrajan M, Katoch VM, Bhaskar S ",2012.0," Protective efficacy of Mycobacterium indicus pranii against tuberculosis and underlying local lung immune responses in guinea pig model"," Vaccine 30: 6198-6209"
