-----
{
 "description": "The table refers to the distribution of person per 1000 no. of persons within each Monthly Per Capita Expenditure bracket obtained by the NSS Consumer expenditure survey when household consumer expenditure on each item is recorded for a reference period of last 30 days preceeding the date of survey ...", 
 "file_name": "ruralMPCEURP.csv", 
 "title": "Download CSV for Distribution of persons of each sector of each State/UT over 12 classes of Monthly Per Capita Expenditure (URP) for Rural India", 
 "url": "http://data.gov.in/sites/default/files/ruralMPCEURP.csv"
}
-----
"State/UT","Less_than_525","525-600","600-720","720-825","825-925","925-1035","1035-1165","1165-1335","1335-1585","1585-2055","2055-2625","Greater_than_2625","ALL","Average.MPCE(Rs)"
"Andhra Pradesh",6,19,43,53,84,90,121,124,157,139,81,83,1000,1533.2
"Arunachal Pradesh",57,52,132,78,57,85,45,75,75,119,81,143,1000,1583.9
"Assam",32,55,133,155,149,102,102,90,89,55,23,16,1000,1043.03
"Bihar",56,88,138,133,127,119,83,104,67,48,20,16,1000,1004.98
"Chhattisgarh",169,168,150,116,96,60,66,51,47,36,26,14,1000,881.04
"Delhi",0,0,3,0,124,0,88,39,13,161,197,375,1000,2348.76
"Goa",0,0,0,29,0,0,36,118,99,202,201,315,1000,2458.24
"Gujarat",10,13,35,81,122,108,93,130,150,141,50,67,1000,1460.62
"Haryana",1,9,29,25,48,48,62,90,140,255,136,158,1000,1882.02
"Himachal Pradesh",0,6,40,33,69,68,87,130,150,187,102,128,1000,1858.52
"Jammu & Kashmir",9,15,41,41,56,78,94,133,179,175,109,71,1000,1582.55
"Jharkhand",109,105,193,146,105,91,82,66,49,30,15,10,1000,897.89
"Karnataka",10,18,87,128,125,117,105,97,119,92,51,51,1000,1399.66
"Kerala",3,4,19,25,40,63,83,98,130,194,138,203,1000,2509.92
"Madhya Pradesh",114,77,119,110,117,105,88,77,75,63,27,27,1000,1044.78
"Maharashtra",32,19,51,63,100,106,111,122,153,112,68,62,1000,1433.66
"Manipur",0,2,41,98,108,140,146,141,143,113,33,35,1000,1280.92
"Meghalaya",1,14,33,98,57,160,126,179,145,121,46,20,1000,1270.62
"Mizoram",38,15,57,87,82,126,136,118,99,121,62,58,1000,1318.96
"Nagaland",0,0,19,18,26,35,88,120,203,247,158,87,1000,1725.35
"Odisha",149,131,167,129,96,90,68,54,50,41,17,7,1000,880.24
"Punjab",0,6,8,21,24,43,87,115,162,211,114,209,1000,2076.43
"Rajasthan",24,26,39,54,72,64,145,151,138,160,79,48,1000,1432.55
"Sikkim",0,1,24,40,81,123,128,214,157,118,76,39,1000,1388.21
"Tamil Nadu",11,12,57,88,78,96,120,128,119,146,76,71,1000,1504.82
"Tripura",16,35,101,142,129,121,119,112,99,77,34,14,1000,1109.97
"Uttar Pradesh",77,70,141,130,122,104,96,77,66,66,27,23,1000,1046.81
"Uttarakhand",0,1,51,61,92,108,144,125,134,135,70,78,1000,1553.76
"West Bengal",34,44,120,128,111,114,103,103,93,93,32,26,1000,1143.18
"A & N Islands",0,0,2,17,29,61,43,44,109,231,172,292,1000,2457.27
"Chandigarh",0,0,16,0,0,0,0,60,155,293,229,247,1000,2368.93
"Dadra & N. Haveli",115,235,109,157,60,28,25,109,21,80,24,36,1000,982.53
"Daman & Diu",0,0,0,0,0,15,0,0,203,372,112,298,1000,2277.65
"Lakshadweep",0,0,0,0,0,0,31,114,152,190,215,299,1000,2926.03
"Puducherry",19,0,2,17,5,42,77,30,101,322,194,190,1000,2287.61
"All-India",50,51,97,101,103,97,99,101,102,99,50,50,1000,1278.94
