-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells according to water lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.8.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells according to Water Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.8.csv"
}
-----
-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells according to water lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.8.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells according to Water Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.8.csv"
}
-----
"State","District","Submersible pumps","Turbine pumps","Others","Total"
"ANDHRA PRADESH","ADILABAD",96,0,0,96
"ANDHRA PRADESH","ANANTHAPUR",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR",5445,7,14,5466
"ANDHRA PRADESH","CUDDAPAH",7873,85,2,7960
"ANDHRA PRADESH","EAST GODAVARI",2304,13,0,2317
"ANDHRA PRADESH","GUNTUR",663,4,0,667
"ANDHRA PRADESH","HYDERABAD",NA,NA,NA,NA
"ANDHRA PRADESH","KARIMNAGAR",117,0,0,117
"ANDHRA PRADESH","KHAMMAM",535,2,0,537
"ANDHRA PRADESH","KRISHNA",823,25,0,848
"ANDHRA PRADESH","KURNOOL",1575,19,0,1594
"ANDHRA PRADESH","MAHABOOB NAGAR",108,1,0,109
"ANDHRA PRADESH","MEDAK",63,0,0,63
"ANDHRA PRADESH","NALGONDA",8,0,0,8
"ANDHRA PRADESH","NELLORE",191,22,0,213
"ANDHRA PRADESH","NIZAMABAD",NA,NA,NA,NA
"ANDHRA PRADESH","PRAKASAM",153,24,1,178
"ANDHRA PRADESH","RANGA REDDY",86,0,0,86
"ANDHRA PRADESH","SRIKAKULUM",41,0,1,42
"ANDHRA PRADESH","VIJAYA NAGARAM",NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM",15,3,0,18
"ANDHRA PRADESH","WARANGAL",212,1,0,213
"ANDHRA PRADESH","WEST GODAVARI",10644,27,13,10684
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA
"ASSAM","BARPETA",9,2,0,11
"ASSAM","BONGAIGAON",27,1,0,28
"ASSAM","CACHAR",0,0,5,5
"ASSAM","DARRANG",34,0,0,34
"ASSAM","DHEMAJI",14,1,0,15
"ASSAM","DHUBRI",18,2,0,20
"ASSAM","DIBRUGARH",11,4,0,15
"ASSAM","GOALPARA",34,2,0,36
"ASSAM","GOLAGHAT",70,2,2,74
"ASSAM","HAILAKANDI",8,0,0,8
"ASSAM","JORHAT",32,27,4,63
"ASSAM","KAMRUP",44,5,0,49
"ASSAM","KARBI ANGLONG",7,1,0,8
"ASSAM","KARIMGANJ",5,0,0,5
"ASSAM","KOKRAJHAR",5,1,0,6
"ASSAM","LAKHIMPUR",46,7,2,55
"ASSAM","MARIGAON",8,0,0,8
"ASSAM","NAGAON",24,0,0,24
"ASSAM","NALBARI",28,1,40,69
"ASSAM","NORTH CACHAR HILLS",0,0,2,2
"ASSAM","SIBSAGAR",10,0,0,10
"ASSAM","SONITPUR",8,2,1,11
"ASSAM","TINSUKIA",32,4,0,36
"BIHAR","ARARIA",15,0,0,15
"BIHAR","AURANGABAD",69,15,0,84
"BIHAR","BANKA",2,1,0,3
"BIHAR","BEGUSARAI",169,69,15,253
"BIHAR","BHABUA",115,3,2,120
"BIHAR","BHAGALPUR",147,18,17,182
"BIHAR","BHOJPUR",166,26,2,194
"BIHAR","BOKARO",NA,NA,NA,NA
"BIHAR","BUXAR",142,8,19,169
"BIHAR","CHAMPARAN EAST",168,82,32,282
"BIHAR","CHAMPARAN WEST",31,25,1,57
"BIHAR","CHATRA",NA,NA,NA,NA
"BIHAR","DARBHANGA",116,50,29,195
"BIHAR","DEOGHAR",NA,NA,NA,NA
"BIHAR","DHANBAD",NA,NA,NA,NA
"BIHAR","DUMKA",0,1,0,1
"BIHAR","GARHWA",4,2,5,11
"BIHAR","GAYA",27,5,6,38
"BIHAR","GIRIDIH",0,0,1,1
"BIHAR","GODDA",NA,NA,NA,NA
"BIHAR","GOPALGANJ",68,24,4,96
"BIHAR","GUMLA",NA,NA,NA,NA
"BIHAR","HAZARIBAG",NA,NA,NA,NA
"BIHAR","JAMUI",6,3,0,9
"BIHAR","JEHANABAD",99,7,1,107
"BIHAR","KATIHAR",17,10,3,30
"BIHAR","KHAGARIA",98,21,3,122
"BIHAR","KISHANGANJ",8,2,10,20
"BIHAR","KODARMA",0,0,16,16
"BIHAR","LAKHISARAI",30,0,1,31
"BIHAR","LOHARDAGA",NA,NA,NA,NA
"BIHAR","MADHEPURA",19,2,0,21
"BIHAR","MADHUBANI",103,278,594,975
"BIHAR","MUNGER",0,2,0,2
"BIHAR","MUZAFFARPUR",236,58,2,296
"BIHAR","NALANDA",258,23,51,332
"BIHAR","NAWADA",92,83,39,214
"BIHAR","PAKUR",0,18,4,22
"BIHAR","PALAMU",NA,NA,NA,NA
"BIHAR","PATNA",326,83,25,434
"BIHAR","PURNIA",4,0,3,7
"BIHAR","RANCHI",NA,NA,NA,NA
"BIHAR","ROHTAS",81,25,4,110
"BIHAR","SAHARSA",6,0,9,15
"BIHAR","SAHEBGANJ",NA,NA,NA,NA
"BIHAR","SAMASTIPUR",172,64,19,255
"BIHAR","SARAN",80,32,25,137
"BIHAR","SHEIKHPURA",73,18,3,94
"BIHAR","SHEOHAR",2,0,1,3
"BIHAR","SINGHBHUM EAST",5,1,0,6
"BIHAR","SINGHBHUM WEST",0,0,1,1
"BIHAR","SITAMARHI",142,468,610,1220
"BIHAR","SIWAN",55,8,30,93
"BIHAR","SUPAUL",31,0,4,35
"BIHAR","VAISHALI",72,14,46,132
"GOA","NORTH GOA",15,0,3,18
"GOA","SOUTH GOA",1,0,0,1
"GUJARAT","",NA,NA,NA,NA
"HARYANA","AMBALA",2193,30,40,2263
"HARYANA","BHIWANI",0,25,0,25
"HARYANA","FARIDABAD",NA,NA,NA,NA
"HARYANA","GURGAON",72,58,0,130
"HARYANA","HISAR",NA,NA,NA,NA
"HARYANA","JIND",228,72,0,300
"HARYANA","KAITHAL",413,413,1,827
"HARYANA","KARNAL",1701,4,1,1706
"HARYANA","KURUKSHETRA",339,1,0,340
"HARYANA","MEHANDERGARH",100,0,0,100
"HARYANA","PANCHKULA",114,0,0,114
"HARYANA","PANIPAT",189,6,0,195
"HARYANA","RIWARI",NA,NA,NA,NA
"HARYANA","ROHTAK",NA,NA,NA,NA
"HARYANA","SIRSA",184,2,24,210
"HARYANA","SONIPAT",18,2,0,20
"HARYANA","YAMUNA NAGAR",176,8,0,184
"HIMACHAL PRADESH","Bilaspur",NA,NA,NA,NA
"HIMACHAL PRADESH","Chamba",NA,NA,NA,NA
"HIMACHAL PRADESH","Hamirpur",NA,NA,NA,NA
"HIMACHAL PRADESH","Kangra",49,0,7,56
"HIMACHAL PRADESH","Kinnaur",NA,NA,NA,NA
"HIMACHAL PRADESH","Kullu",NA,NA,NA,NA
"HIMACHAL PRADESH","Lahul & Spiti",NA,NA,NA,NA
"HIMACHAL PRADESH","Mandi",0,0,2,2
"HIMACHAL PRADESH","Shimla",NA,NA,NA,NA
"HIMACHAL PRADESH","Sirmaur",10,0,0,10
"HIMACHAL PRADESH","Solan",24,0,2,26
"HIMACHAL PRADESH","Una",113,13,10,136
"JAMMU & KASHMIR","Anantnagh",NA,NA,NA,NA
"JAMMU & KASHMIR","Baramulla",1,8,0,9
"JAMMU & KASHMIR","Budgam",NA,NA,NA,NA
"JAMMU & KASHMIR","Doda",NA,NA,NA,NA
"JAMMU & KASHMIR","Jammu",64,0,0,64
"JAMMU & KASHMIR","Kargil",NA,NA,NA,NA
"JAMMU & KASHMIR","Kathua",3,6,0,9
"JAMMU & KASHMIR","Kupwara",NA,NA,NA,NA
"JAMMU & KASHMIR","Leh",NA,NA,NA,NA
"JAMMU & KASHMIR","Poonch",NA,NA,NA,NA
"JAMMU & KASHMIR","Pulwama",NA,NA,NA,NA
"JAMMU & KASHMIR","Rajouri",NA,NA,NA,NA
"JAMMU & KASHMIR","Srinagar",15,0,0,15
"JAMMU & KASHMIR","Udhampur",NA,NA,NA,NA
"KARNATAKA","BANGALORE RURAL",9992,72,478,10542
"KARNATAKA","BANGALORE URBAN",7358,43,186,7587
"KARNATAKA","BELGAUM",11901,12,196,12109
"KARNATAKA","BELLARY",8911,12,1197,10120
"KARNATAKA","BIDAR",3384,158,204,3746
"KARNATAKA","BIJAPUR",5378,58,230,5666
"KARNATAKA","CHIKKAMAGALORE",1850,92,111,2053
"KARNATAKA","CHITRADURGA",9388,134,31,9553
"KARNATAKA","DAKSHINA KANNADA",1783,40,92,1915
"KARNATAKA","DHARWAR",10545,43,581,11169
"KARNATAKA","GULBARGA",269,7,31,307
"KARNATAKA","HASSAN",1208,5,54,1267
"KARNATAKA","KODAGU",21,1,1,23
"KARNATAKA","KOLAR",21824,257,487,22568
"KARNATAKA","MANDYA",3080,32,241,3353
"KARNATAKA","MYSORE",4959,132,421,5512
"KARNATAKA","RAICHUR",4613,16,40,4669
"KARNATAKA","SHIMOGA",6036,85,498,6619
"KARNATAKA","TUMKUR",30041,298,1055,31394
"KARNATAKA","UTTARA KANNADA",363,16,31,410
"KERALA","ALAPUZHA",13,0,45,58
"KERALA","ERANAKULAM",12,0,0,12
"KERALA","IDUKKI",2,0,0,2
"KERALA","KANNUR",1,2,14,17
"KERALA","KASARAGODE",7,12,11,30
"KERALA","KOLLAM",7,0,1,8
"KERALA","KOTTAYAM",0,0,11,11
"KERALA","KOZHIKODE",0,1,1,2
"KERALA","MALAPPURAM",5,0,8,13
"KERALA","PALAKKAD",23,0,6,29
"KERALA","PATHANAMTHITTA",7,0,2,9
"KERALA","THIRUVANANTHAPURAM",1,0,5,6
"KERALA","THRISSUR",0,0,1,1
"KERALA","WAYANAD",NA,NA,NA,NA
"MADHYA PRADESH","BALAGHAT",1,0,0,1
"MADHYA PRADESH","BASTAR",2,1,1,4
"MADHYA PRADESH","BETUL",224,10,20,254
"MADHYA PRADESH","BHIND",120,0,2,122
"MADHYA PRADESH","BHOPAL",NA,NA,NA,NA
